		AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
ratio	Bias as ratio mean	6190.58	5984.25	6635.13	6305.54	9609.63	6567.61	7923.57	7156.41	8624.40	9696.42	1607.87	7153.33	7433.90	7352.07	5017.34	7222.26	8147.57	7373.62	6427.68	6190.57	7730.58	6809.79	7896.22	6095.60	6879.65	6117.40	7119.19	5264.50	5835.31	7295.35	6547.63	10043.70	3693.02	5867.19	3954.34	8261.92	2989.75	10108.20	7315.92	6109.51	6381.80	7882.00	8015.13	6261.55	4105.27	5653.21	5633.01	7889.42	8178.46	4503.42	9818.93	8190.79	7519.75	6392.95	6354.87	5639.76	7245.95	6597.79	7319.06	7241.17	8503.57	6165.37	6810.02
																																																																
	take log																																																															
	-4.0	-4.012248	-3.813322	-3.709615	-4.221168	-4.141583	-3.871534	-3.907923	-3.992561	-3.905604	-4.113310	-3.130479	-3.937184	-3.847751	-3.958766	-3.727311	-3.847859	-4.097798	-3.945172	-3.781930	-3.792915	-3.995994	-3.794878	-3.821624	-3.983300	-3.839369	-3.789584	-4.060552	-3.645502	-3.685633	-3.859660	-3.761187	-3.941678	-3.594938	-3.761285	-3.354399	-4.013925	-3.422792	-4.098014	-3.904111	-3.693814	-3.643101	-3.724267	-3.872159	-3.857230	-3.530743	-3.619466	-3.715555	-3.857469	-3.734248	-3.745476	-4.104654	-3.982833	-3.952194	-3.774072	-3.703052	-3.883385	-3.873383	-3.657016	-3.710307	-3.883292	-3.921974	-3.739209	-3.817652
	-4.0	-3.786563	-3.748381	-4.003766	-3.522365	-3.904386	-3.811038	-4.170778	-3.853965	-4.108415	-4.023527	-3.103142	-3.822278	-3.870828	-3.798968	-3.651129	-3.857694	-3.971584	-3.721124	-3.849985	-3.687510	-3.776105	-3.743383	-4.007445	-3.641200	-3.783860	-3.805585	-3.826502	-3.704710	-3.970743	-3.677519	-3.928174	-3.983215	-3.527910	-3.739867	-3.726487	-3.933581	-3.606464	-3.913927	-4.006407	-3.707799	-3.883937	-4.027846	-3.871952	-3.683337	-3.588532	-3.623200	-3.882795	-3.963433	-4.046764	-3.589813	-3.886923	-3.952166	-3.855765	-3.815376	-4.036550	-3.693445	-3.778929	-3.994448	-3.982602	-3.939718	-3.899516	-3.968168	-3.817948
	-4.0	-3.649910	-3.771799	-3.801769	-3.938084	-3.937872	-3.775067	-3.726968	-3.750785	-3.836651	-3.861286	-3.472728	-3.814576	-3.896436	-3.856292	-3.727530	-3.870770	-3.740861	-3.985706	-3.795202	-3.927513	-3.921948	-4.001677	-3.883269	-3.796468	-3.896796	-3.765473	-3.732117	-3.834823	-3.697007	-4.201021	-3.777570	-4.094842	-3.582254	-3.806804	-3.890225	-3.824656	-3.422283	-4.021945	-3.728571	-4.033041	-3.950807	-4.008147	-3.975622	-3.876599	-3.748991	-4.280913	-3.679670	-3.877370	-4.033252	-3.639558	-4.012311	-3.822206	-3.829968	-3.829589	-3.739877	-3.702077	-3.943833	-3.875736	-3.954855	-3.773200	-3.970296	-3.706236	-3.865575
	-3.0	-2.990053	-2.884208	-2.896577	-2.930570	-3.267155	-2.815237	-2.871889	-2.933252	-2.803522	-3.014632	-2.426949	-2.892797	-3.002108	-2.917464	-2.714249	-2.924080	-2.914951	-2.946933	-2.857823	-2.835889	-2.941562	-2.801337	-2.893920	-2.943907	-2.920486	-2.912995	-2.960237	-2.932431	-2.862301	-3.148632	-2.918030	-2.987566	-2.807742	-2.815273	-2.938698	-2.774210	-2.624693	-2.999202	-2.974930	-2.923218	-2.854992	-2.891375	-3.147948	-2.779089	-2.773839	-3.034827	-2.942686	-2.961500	-2.864382	-2.804006	-2.997267	-2.917250	-2.869751	-2.967005	-2.911574	-2.929035	-2.896335	-2.890333	-2.933421	-3.029764	-2.804288	-2.796889	-2.962749
	-3.0	-2.867852	-2.807094	-2.924186	-2.844776	-2.984392	-2.870832	-2.949846	-2.879300	-2.845601	-3.057638	-2.453181	-2.914448	-2.967984	-2.941328	-2.737953	-2.885517	-2.971912	-2.940527	-2.945965	-2.940496	-2.995599	-2.957257	-2.923650	-2.860946	-2.954186	-2.949656	-2.972789	-2.797936	-2.912978	-3.014115	-2.862873	-2.977341	-2.841623	-2.850358	-2.973982	-2.820170	-2.608948	-2.916584	-3.120661	-2.905142	-2.894667	-2.918389	-3.107420	-2.751055	-2.795010	-2.968752	-2.930218	-2.899949	-2.905338	-2.744831	-2.982744	-2.958379	-2.982301	-2.969798	-2.911974	-3.007331	-2.948340	-2.906211	-2.972998	-2.978247	-2.855727	-2.828873	-2.957875
	-3.0	-2.948578	-2.832552	-2.972512	-2.863190	-3.031757	-2.834158	-2.936582	-2.882199	-2.915584	-3.097686	-2.455343	-2.953319	-2.994702	-3.018107	-2.770567	-2.855805	-3.017288	-2.905011	-2.886686	-2.884474	-2.972124	-2.905751	-2.895165	-2.977131	-2.893172	-2.989948	-2.940708	-2.804876	-2.937332	-3.055821	-2.963252	-3.037200	-2.835400	-2.989208	-2.973040	-2.898578	-2.667907	-2.915714	-3.036038	-2.959222	-2.913646	-2.930172	-3.064737	-2.913216	-2.784584	-3.092952	-2.994254	-2.915630	-2.926895	-2.886513	-2.938021	-2.898226	-2.977781	-2.932392	-2.910855	-2.939892	-2.944372	-2.928414	-2.895394	-2.974196	-2.871936	-2.918615	-2.969567
	-2.0	-1.919166	-1.869677	-1.898767	-1.889342	-1.937169	-1.885891	-1.937633	-1.921789	-1.875581	-2.054580	-1.642088	-1.917104	-1.965641	-1.917299	-1.843800	-1.890933	-1.939211	-1.901228	-1.903139	-1.945884	-1.864977	-1.896826	-1.869042	-1.910495	-1.956874	-1.875809	-1.924504	-1.866121	-1.933063	-1.898579	-1.927594	-1.952682	-1.837041	-1.897985	-1.908182	-1.863541	-1.678383	-1.948334	-2.028035	-1.910557	-1.847765	-1.922403	-1.967884	-1.850533	-1.794236	-1.950166	-1.918748	-1.889239	-1.902083	-1.859308	-1.898145	-1.911425	-1.937823	-1.991174	-1.889189	-1.916710	-1.925507	-1.911893	-1.910112	-1.897733	-1.834767	-1.834808	-1.903483
	-2.0	-1.946437	-1.914060	-1.922626	-1.922905	-2.109979	-1.887200	-1.942297	-1.937402	-1.916848	-2.011947	-1.650402	-1.914392	-1.973004	-2.004610	-1.830885	-1.910330	-1.940080	-1.986976	-1.928013	-1.932734	-1.898202	-1.883028	-1.967389	-1.963353	-1.963564	-1.909182	-2.020072	-1.862072	-1.924963	-1.941244	-1.939283	-1.944874	-1.901304	-1.895323	-1.921707	-1.902791	-1.745249	-1.981164	-1.991117	-1.943912	-1.888034	-1.905442	-2.008222	-1.882425	-1.835749	-1.971756	-1.954788	-1.961887	-1.892094	-1.879920	-1.897410	-1.961968	-1.929445	-1.915785	-1.929475	-1.940223	-1.888037	-1.867185	-1.935998	-1.932478	-1.913779	-1.930342	-1.950213
	-2.0	-1.906559	-1.966721	-1.906896	-1.894103	-1.969028	-1.852106	-1.919099	-1.964777	-1.878107	-1.947430	-1.579971	-1.915267	-1.954839	-1.977702	-1.820941	-1.951880	-1.948546	-1.966645	-1.900637	-1.968564	-1.920597	-1.902227	-1.904612	-1.934258	-1.993319	-1.852718	-1.980499	-1.872628	-1.939014	-1.991280	-1.923082	-1.941534	-1.880748	-1.897658	-1.944736	-1.942193	-1.723935	-1.938827	-1.954369	-1.916165	-1.886874	-1.851955	-2.028438	-1.838119	-1.829021	-2.028799	-1.925693	-1.912882	-1.931059	-1.847561	-1.920976	-1.892047	-1.923655	-1.957426	-1.917683	-1.918687	-1.928297	-1.962349	-1.986275	-1.991796	-1.886638	-1.903281	-1.952394
	-1.0	-0.990252	-0.914468	-0.995930	-1.002660	-0.994929	-0.994233	-1.016582	-0.958556	-0.958384	-1.023036	-0.826822	-0.999352	-1.038336	-1.012786	-0.932671	-1.006111	-0.969657	-0.985036	-1.015448	-0.977826	-0.966398	-0.982045	-0.995764	-1.004292	-1.003766	-0.977404	-0.996081	-0.970548	-0.971717	-0.979897	-0.963826	-0.982281	-0.989830	-0.920521	-1.010523	-0.983811	-0.883979	-1.047571	-1.039164	-0.998961	-0.963373	-0.966521	-1.025371	-0.924462	-0.931334	-1.020572	-0.946067	-1.004043	-0.996385	-0.922811	-0.996947	-0.962446	-0.969146	-0.984626	-0.972736	-1.038997	-0.965255	-0.961044	-0.958914	-0.903898	-0.950671	-0.954852	-1.032532
	-1.0	-0.966536	-0.903632	-0.994991	-0.942990	-1.019803	-0.999134	-1.015986	-0.991305	-0.957336	-1.035204	-0.811283	-1.009342	-1.043571	-1.020934	-0.927341	-0.990737	-0.988319	-0.962959	-1.045330	-0.971147	-0.959249	-0.983874	-0.979043	-1.006454	-0.992505	-0.940635	-1.002793	-0.957224	-0.957461	-0.996043	-0.962694	-1.002883	-0.936722	-0.922900	-1.002227	-1.002472	-0.905262	-1.031169	-1.036105	-1.018892	-0.979887	-0.961928	-1.025089	-0.957520	-0.924168	-1.044376	-1.002735	-1.002980	-1.020752	-0.968781	-1.020258	-0.972291	-1.024802	-1.036546	-0.976998	-1.027290	-0.969285	-0.986926	-1.004893	-0.995717	-0.945700	-1.048251	-1.011934
	-1.0	-0.963030	-0.883337	-0.965831	-0.981250	-0.945027	-0.996725	-0.938549	-0.899049	-0.926545	-1.001210	-0.767371	-0.962682	-1.028286	-0.978798	-0.890394	-0.973848	-0.913092	-0.951989	-0.878328	-0.951589	-0.923357	-0.944387	-0.943010	-0.963035	-0.955966	-0.931108	-0.973358	-0.969979	-0.915376	-0.955724	-0.932566	-0.933534	-0.913959	-0.905472	-0.984199	-0.886345	-0.845169	-0.995309	-1.000300	-0.976514	-0.952854	-0.872092	-1.016166	-0.894420	-0.901738	-1.023427	-0.960944	-1.000892	-0.971864	-0.917680	-0.964670	-0.911881	-0.942582	-0.965527	-0.951181	-0.981937	-0.967720	-0.936868	-0.953773	-0.905727	-0.918914	-0.935310	-1.005757
	0.0	-0.059417	0.003515	-0.028262	-0.027198	0.006609	-0.006706	-0.006035	-0.041704	-0.034646	0.000266	-0.014942	0.011078	-0.003698	-0.005242	-0.010265	0.004363	-0.043706	-0.055100	-0.005599	-0.027375	-0.028875	-0.013798	-0.000101	-0.022533	-0.012285	-0.032418	-0.017977	0.018399	-0.044937	-0.006567	-0.019853	0.001359	-0.001134	-0.016105	-0.042697	-0.028770	-0.017316	-0.012027	-0.016319	-0.059229	0.003180	-0.022285	0.006206	-0.023918	-0.010303	-0.023926	-0.036070	0.015474	-0.007829	-0.026380	0.012389	-0.028307	-0.033342	-0.050483	-0.031223	-0.029692	-0.011017	0.026882	0.019843	0.037997	-0.013777	-0.021692	-0.006617
	0.0	0.031193	0.024497	0.033151	0.031345	0.022939	0.015974	0.016101	0.020949	0.023582	0.009407	0.012413	0.007125	0.004250	0.004663	-0.007302	0.014996	0.022028	0.040369	0.034232	0.034393	0.076016	0.056752	0.007265	0.030001	0.025581	0.064378	0.028670	0.018171	0.066516	0.019584	0.020114	-0.022068	0.011140	0.035990	0.032571	-0.004780	0.021509	0.010642	0.007276	0.049542	0.027225	0.020422	0.001035	0.016621	0.019215	0.013875	-0.018388	0.018223	0.034699	0.016621	0.032973	0.035761	0.032266	0.008266	0.040273	0.030353	0.020660	0.043032	0.017365	0.012226	0.017884	0.039865	0.013246
	0.0	0.022594	-0.029724	-0.007146	-0.006184	-0.031318	-0.009725	-0.010536	0.017927	0.008972	-0.009887	0.002090	-0.018806	-0.000589	0.000523	0.017046	-0.020101	0.018579	0.009342	-0.031144	-0.009361	-0.058966	-0.049795	-0.007286	-0.009199	-0.014475	-0.039938	-0.012197	-0.039056	-0.030217	-0.013729	-0.001183	0.019702	-0.010272	-0.022275	0.006788	0.031426	-0.005105	0.001087	0.008593	0.002880	-0.032472	0.000812	-0.007348	0.006283	-0.009570	0.009084	0.049666	-0.035799	-0.029333	0.008567	-0.049546	-0.009984	-0.001402	0.037635	-0.012243	-0.002747	-0.010404	-0.079884	-0.039789	-0.055510	-0.004722	-0.021096	-0.006938
SSx	30																																																															
		AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	slope = bias	0.959095	0.949533	0.962077	0.969027	1.009590	0.948150	0.979920	0.967827	0.980653	1.003544	0.811394	0.964535	0.969485	0.969744	0.922775	0.961529	0.988246	0.972857	0.953353	0.952383	0.980824	0.960674	0.973978	0.954889	0.961777	0.956959	0.971228	0.933420	0.951918	0.992063	0.960570	1.004029	0.901798	0.950569	0.927477	0.972014	0.872280	0.994154	0.977778	0.954964	0.957292	0.981927	0.989758	0.949975	0.911047	0.968446	0.950129	0.972050	0.977707	0.919113	0.997852	0.981220	0.972140	0.957047	0.959535	0.946056	0.969252	0.962486	0.972487	0.978624	0.976634	0.947578	0.961390
	correlation = R	0.998357	0.999640	0.998948	0.995386	0.998029	0.999691	0.998062	0.999288	0.998661	0.999185	0.997692	0.999699	0.999640	0.999458	0.999809	0.999859	0.998633	0.999089	0.999469	0.999216	0.999054	0.998923	0.999501	0.998531	0.999679	0.999248	0.998759	0.999261	0.998648	0.996644	0.999489	0.999581	0.998869	0.999432	0.995246	0.998882	0.999281	0.999354	0.998459	0.998295	0.998855	0.998655	0.998802	0.999130	0.999267	0.993893	0.998770	0.999692	0.998586	0.999314	0.999147	0.999534	0.999555	0.999413	0.998654	0.998698	0.999635	0.998637	0.999020	0.999072	0.999368	0.998780	0.999609
																																																																
	Sres	0.083620	0.038715	0.067089	0.141901	0.096440	0.035812	0.092821	0.055514	0.077179	0.061572	0.083890	0.035965	0.039516	0.048510	0.027388	0.024545	0.078583	0.063112	0.047197	0.057320	0.064848	0.067781	0.046782	0.078703	0.037036	0.056411	0.073576	0.054549	0.075284	0.123789	0.046665	0.044157	0.065218	0.048678	0.137879	0.069881	0.050270	0.054321	0.082558	0.084818	0.069648	0.077454	0.073651	0.060252	0.053034	0.163344	0.071654	0.036682	0.079069	0.051737	0.062638	0.045538	0.044084	0.049852	0.075701	0.073406	0.039769	0.076416	0.065462	0.064100	0.052777	0.071166	0.040847
	Sxx	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
	se of slope	0.015267	0.007068	0.012249	0.025907	0.017607	0.006538	0.016947	0.010135	0.014091	0.011241	0.015316	0.006566	0.007215	0.008857	0.005000	0.004481	0.014347	0.011523	0.008617	0.010465	0.011840	0.012375	0.008541	0.014369	0.006762	0.010299	0.013433	0.009959	0.013745	0.022601	0.008520	0.008062	0.011907	0.008887	0.025173	0.012758	0.009178	0.009918	0.015073	0.015486	0.012716	0.014141	0.013447	0.011000	0.009683	0.029822	0.013082	0.006697	0.014436	0.009446	0.011436	0.008314	0.008049	0.009102	0.013821	0.013402	0.007261	0.013952	0.011952	0.011703	0.009636	0.012993	0.007458
expected slope	1																																																															
	t	2.679331	7.139788	3.096099	1.195537	0.544629	7.930161	1.184901	3.174312	1.372997	0.315269	12.314138	5.401045	4.229624	3.416150	15.444067	8.584794	0.819270	2.355610	5.413443	4.550032	1.619644	3.177798	3.046610	3.139446	5.652762	4.179017	2.141898	6.685227	3.498170	0.351200	4.628042	0.499734	8.247389	5.561963	2.880960	2.193558	13.916029	0.589417	1.474301	2.908286	3.358645	1.278043	0.761691	4.547517	9.186906	1.058063	3.812151	4.173425	1.544259	8.563162	0.187812	2.258892	3.461469	4.719280	2.927739	4.025064	4.234786	2.688889	2.302041	1.826559	2.424959	4.034607	5.177231
	p (slope = 1)	1.8925e-02	7.5913e-06	8.5104e-03	2.5323e-01	5.9523e-01	2.4612e-06	2.5727e-01	7.3208e-03	1.9297e-01	7.5756e-01	1.5319e-08	1.2093e-04	9.8377e-04	4.5975e-03	9.6272e-10	1.0244e-06	4.2740e-01	3.4860e-02	1.1839e-04	5.4511e-04	1.2930e-01	7.2719e-03	9.3608e-03	7.8291e-03	7.8931e-05	1.0810e-03	5.1715e-02	1.5043e-05	3.9278e-03	7.3106e-01	4.7298e-04	6.2561e-01	1.5996e-06	9.1968e-05	1.2870e-02	4.7051e-02	3.4700e-09	5.6568e-01	1.6420e-01	1.2212e-02	5.1346e-03	2.2358e-01	4.5984e-01	5.4762e-04	4.7686e-07	3.0929e-01	2.1570e-03	1.0924e-03	1.4651e-01	1.0537e-06	8.5392e-01	4.1717e-02	4.2143e-03	4.0102e-04	1.1764e-02	1.4424e-03	9.7437e-04	1.8583e-02	3.8513e-02	9.0810e-02	3.0619e-02	1.4168e-03	1.7801e-04
																																																																
	Derivation from regression																																																															
	is independent of scaling																																																															
	ncount	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
	ngroups	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
																																																																
	var	1.977628	1.933420	1.987591	2.030868	2.192789	1.927594	2.065664	2.010052	2.066276	2.161593	1.417307	1.994762	2.015525	2.017335	1.825370	1.981712	2.098512	2.031808	1.949671	1.946693	2.065368	1.981899	2.034819	1.959637	1.983447	1.965322	2.026349	1.869775	1.947009	2.123204	1.979223	2.161969	1.746604	1.938447	1.860969	2.029128	1.632786	2.120618	2.055007	1.960871	1.968234	2.071672	2.104223	1.937199	1.781197	2.034535	1.939221	2.025995	2.054187	1.812704	2.137305	2.065051	2.026925	1.965033	1.978267	1.922907	2.014574	1.990520	2.030544	2.056039	2.046472	1.928783	1.982129
	SStotal	27.686786	27.067879	27.826277	28.432146	30.699040	26.986323	28.919292	28.140729	28.927859	30.262307	19.842293	27.926665	28.217349	28.242694	25.555185	27.743972	29.379168	28.445309	27.295396	27.253707	28.915146	27.746589	28.487466	27.434922	27.768262	27.514503	28.368880	26.176855	27.258130	29.724857	27.709125	30.267567	24.452456	27.138263	26.053563	28.407795	22.859009	29.688646	28.770099	27.452189	27.555273	29.003415	29.459128	27.120787	24.936764	28.483487	27.149094	28.363933	28.758614	25.377857	29.922274	28.910714	28.376947	27.510468	27.695742	26.920697	28.204033	27.867286	28.427621	28.784547	28.650604	27.002967	27.749813
																																																																
	variance per concentration	0.033483	0.001082	0.022637	0.123547	0.016480	0.002377	0.049801	0.014718	0.019957	0.016317	0.042413	0.004716	0.000593	0.006554	0.001940	0.000132	0.032761	0.020307	0.001301	0.014471	0.012517	0.018689	0.008958	0.029341	0.003189	0.000408	0.028593	0.009380	0.026058	0.070626	0.008472	0.006274	0.001268	0.001169	0.075395	0.009024	0.011276	0.008557	0.019745	0.036842	0.026193	0.028856	0.003575	0.011327	0.012787	0.145019	0.011753	0.003172	0.031209	0.006321	0.011943	0.007272	0.004151	0.000832	0.033432	0.011504	0.006846	0.029299	0.022453	0.007172	0.001308	0.020353	0.000761
		0.003862	0.001544	0.001477	0.002040	0.022935	0.000799	0.001740	0.000921	0.003204	0.001725	0.000250	0.000940	0.000322	0.002766	0.000800	0.001172	0.002629	0.000510	0.002019	0.002740	0.000734	0.006311	0.000283	0.003581	0.000934	0.001482	0.000261	0.005735	0.001465	0.004741	0.002527	0.001025	0.000325	0.008461	0.000404	0.003955	0.000932	0.002299	0.005355	0.000758	0.000896	0.000396	0.001731	0.007512	0.000112	0.003862	0.001153	0.001023	0.001008	0.005064	0.000954	0.000945	0.004060	0.000434	0.000000	0.001799	0.000838	0.000366	0.001506	0.000960	0.001247	0.003982	0.000034
		0.000415	0.002360	0.000147	0.000330	0.008458	0.000396	0.000151	0.000474	0.000535	0.002910	0.001481	0.000002	0.000083	0.001999	0.000131	0.000970	0.000027	0.002008	0.000229	0.000329	0.000783	0.000098	0.002480	0.000701	0.000376	0.000806	0.002306	0.000028	0.000050	0.002153	0.000070	0.000033	0.001077	0.000002	0.000342	0.001547	0.001167	0.000493	0.001357	0.000319	0.000525	0.001352	0.000950	0.000522	0.000496	0.001651	0.000366	0.001373	0.000410	0.000268	0.000180	0.001303	0.000051	0.001426	0.000429	0.000170	0.000505	0.002267	0.001500	0.002262	0.001612	0.002425	0.000763
		0.000219	0.000250	0.000293	0.000914	0.001450	0.000006	0.002014	0.002187	0.000327	0.000297	0.000951	0.000604	0.000060	0.000500	0.000530	0.000260	0.001535	0.000283	0.007931	0.000186	0.000532	0.000497	0.000727	0.000599	0.000624	0.000598	0.000238	0.000057	0.000858	0.000412	0.000314	0.001268	0.001516	0.000089	0.000181	0.003889	0.000928	0.000714	0.000467	0.000450	0.000186	0.002835	0.000027	0.000996	0.000238	0.000169	0.000863	0.000003	0.000598	0.000792	0.000779	0.001051	0.001761	0.001351	0.000192	0.000908	0.000004	0.000627	0.000792	0.002755	0.000292	0.003643	0.000197
		0.002502	0.000748	0.000974	0.000880	0.000775	0.000197	0.000203	0.001248	0.000918	0.000093	0.000191	0.000264	0.000016	0.000025	0.000225	0.000324	0.001369	0.002372	0.001086	0.001009	0.005021	0.002938	0.000053	0.000746	0.000507	0.003385	0.000647	0.001096	0.003666	0.000307	0.000400	0.000438	0.000115	0.001024	0.001463	0.000918	0.000394	0.000130	0.000197	0.002978	0.000902	0.000457	0.000047	0.000444	0.000283	0.000424	0.002049	0.000926	0.001062	0.000523	0.001845	0.001089	0.001076	0.002013	0.001372	0.000905	0.000328	0.004461	0.001138	0.002333	0.000266	0.001251	0.000134
	SS per concentration	0.066966	0.002163	0.045273	0.247095	0.032961	0.004753	0.099602	0.029437	0.039914	0.032633	0.084825	0.009432	0.001186	0.013107	0.003880	0.000264	0.065522	0.040615	0.002603	0.028943	0.025035	0.037378	0.017916	0.058682	0.006378	0.000815	0.057186	0.018759	0.052116	0.141252	0.016945	0.012548	0.002536	0.002337	0.150789	0.018048	0.022553	0.017114	0.039491	0.073684	0.052386	0.057712	0.007151	0.022655	0.025573	0.290038	0.023506	0.006344	0.062417	0.012641	0.023885	0.014544	0.008301	0.001663	0.066864	0.023008	0.013693	0.058597	0.044906	0.014344	0.002616	0.040706	0.001522
		0.007723	0.003088	0.002955	0.004080	0.045870	0.001598	0.003480	0.001842	0.006409	0.003450	0.000500	0.001881	0.000644	0.005531	0.001599	0.002344	0.005259	0.001020	0.004039	0.005481	0.001468	0.012622	0.000566	0.007162	0.001868	0.002963	0.000523	0.011469	0.002930	0.009483	0.005054	0.002050	0.000651	0.016921	0.000808	0.007909	0.001864	0.004599	0.010711	0.001516	0.001792	0.000791	0.003463	0.015024	0.000224	0.007723	0.002305	0.002046	0.002017	0.010128	0.001907	0.001891	0.008119	0.000868	0.000001	0.003599	0.001676	0.000732	0.003012	0.001919	0.002495	0.007965	0.000069
		0.000831	0.004720	0.000294	0.000660	0.016915	0.000792	0.000301	0.000947	0.001070	0.005820	0.002963	0.000004	0.000167	0.003999	0.000263	0.001939	0.000053	0.004015	0.000458	0.000657	0.001566	0.000196	0.004960	0.001402	0.000753	0.001612	0.004612	0.000057	0.000099	0.004306	0.000140	0.000065	0.002154	0.000004	0.000683	0.003093	0.002333	0.000987	0.002713	0.000638	0.001051	0.002704	0.001901	0.001045	0.000993	0.003301	0.000731	0.002746	0.000819	0.000537	0.000359	0.002606	0.000101	0.002852	0.000858	0.000340	0.001011	0.004534	0.003000	0.004525	0.003223	0.004849	0.001527
		0.000439	0.000499	0.000586	0.001828	0.002900	0.000012	0.004029	0.004375	0.000654	0.000593	0.001901	0.001207	0.000121	0.000999	0.001060	0.000521	0.003069	0.000567	0.015862	0.000372	0.001064	0.000994	0.001454	0.001197	0.001249	0.001195	0.000476	0.000114	0.001716	0.000824	0.000629	0.002537	0.003032	0.000179	0.000362	0.007778	0.001857	0.001429	0.000934	0.000899	0.000371	0.005670	0.000055	0.001992	0.000477	0.000338	0.001726	0.000005	0.001195	0.001584	0.001558	0.002101	0.003521	0.002701	0.000383	0.001817	0.000008	0.001253	0.001585	0.005511	0.000584	0.007287	0.000393
		0.005003	0.001495	0.001947	0.001759	0.001550	0.000395	0.000407	0.002497	0.001835	0.000186	0.000382	0.000527	0.000032	0.000049	0.000449	0.000648	0.002737	0.004743	0.002171	0.002018	0.010043	0.005875	0.000106	0.001491	0.001014	0.006769	0.001293	0.002192	0.007332	0.000615	0.000800	0.000877	0.000231	0.002049	0.002926	0.001837	0.000788	0.000259	0.000393	0.005955	0.001804	0.000914	0.000094	0.000887	0.000567	0.000847	0.004098	0.001852	0.002124	0.001045	0.003690	0.002178	0.002153	0.004026	0.002743	0.001809	0.000656	0.008923	0.002276	0.004665	0.000532	0.002502	0.000267
	SSwithin	0.080962	0.011966	0.051055	0.255421	0.100196	0.007549	0.107818	0.039098	0.049883	0.042684	0.090571	0.013051	0.002150	0.023686	0.007252	0.005716	0.076641	0.050960	0.025132	0.037470	0.039176	0.057065	0.025001	0.069934	0.011262	0.013355	0.064089	0.032591	0.064194	0.156479	0.023568	0.018078	0.008603	0.021490	0.155570	0.038664	0.029395	0.024388	0.054242	0.082693	0.057404	0.067791	0.012663	0.041603	0.027834	0.302247	0.032366	0.012993	0.068572	0.025935	0.031399	0.023319	0.022196	0.012112	0.070849	0.030573	0.017044	0.074039	0.054778	0.030964	0.009450	0.063309	0.003778
	SSbetween	27.605825	27.055913	27.775222	28.176725	30.598845	26.978774	28.811474	28.101631	28.877976	30.219624	19.751722	27.913614	28.215199	28.219009	25.547933	27.738256	29.302527	28.394349	27.270264	27.216237	28.875970	27.689525	28.462465	27.364987	27.757000	27.501148	28.304791	26.144265	27.193936	29.568378	27.685557	30.249489	24.443853	27.116773	25.897993	28.369131	22.829614	29.664259	28.715857	27.369497	27.497869	28.935624	29.446465	27.079183	24.908930	28.181240	27.116728	28.350941	28.690042	25.351922	29.890875	28.887395	28.354751	27.498356	27.624893	26.890124	28.186989	27.793248	28.372843	28.753583	28.641154	26.939658	27.746035
																																																																
