			AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		1.1760912590556813	-9.841019	-9.717294	-21.771722	-9.863050	-9.825689	-9.577858	-9.706567	-9.902805	-9.942075	-9.588438	-9.642653	-9.718480	-9.761493	-9.885717	-9.895148	-9.798467	-9.742891	-9.738744	-9.801529	-9.814784	-9.805486	-9.810148	-9.828539	-9.782360	-9.951455	-9.755305	-9.940641	-9.713921	-10.039268	-9.869259	-9.786840	-9.795548	-9.808832	-9.836790	-10.233945	-10.056036	-9.765572	-9.684538	-9.637751	-9.870109	-9.765269	-9.675092	-9.635042	-10.057217	-9.700119	-9.613008	-9.969026	-9.577410	-9.837739	-9.842263	-9.788297	-9.646994	-9.755637	-9.829146	-9.858241	-9.736016	-9.907357	-9.711209	-9.821565	-9.736541	-9.795117	-9.469764	-9.884608	-9.708203
		2.1760912590556813	-8.914556	-8.723493	-20.079866	-8.913268	-8.799125	-8.657218	-8.670587	-8.885109	-8.947054	-8.471285	-8.699886	-8.748037	-8.791650	-8.960889	-8.975681	-8.747958	-8.764933	-8.737173	-8.833619	-8.845654	-8.852932	-8.863758	-8.834608	-8.776761	-9.026692	-8.800998	-9.063342	-8.776614	-9.103348	-8.947885	-8.916702	-8.846190	-8.809700	-9.034471	-9.308791	-9.303762	-8.641581	-8.708617	-8.563413	-9.015889	-8.856110	-8.719958	-8.614455	-9.238160	-8.653455	-8.697749	-9.111618	-8.713050	-8.801435	-8.777681	-8.865055	-8.580611	-8.750945	-8.870969	-8.960948	-8.776166	-9.037769	-8.751267	-8.855394	-8.765005	-8.904635	-8.354272	-8.874507	-8.807644
		3.1760912590556813	-7.878171	-7.760373	-20.353793	-7.869744	-7.784594	-7.589147	-7.655519	-7.859531	-7.929754	-7.476081	-7.644348	-7.712068	-7.720817	-7.908939	-7.940520	-7.769415	-7.737607	-7.718195	-7.816176	-7.812021	-7.829367	-7.765870	-7.799950	-7.766276	-7.992899	-7.818181	-7.938243	-7.747104	-8.050721	-7.918782	-7.788159	-7.829195	-7.759181	-7.958097	-8.235117	-8.185525	-7.690459	-7.658432	-7.571218	-7.932397	-7.795934	-7.646241	-7.574097	-8.137884	-7.645580	-7.620970	-8.047716	-7.659103	-7.794270	-7.740500	-7.842826	-7.546351	-7.705517	-7.809764	-7.896573	-7.735229	-7.966899	-7.683211	-7.787335	-7.738492	-7.831112	-7.372085	-7.848585	-7.731315
		4.176091259055681	-6.866206	-6.686021	-19.363750	-6.896474	-6.793542	-6.581126	-6.725651	-6.914394	-6.928100	-6.527319	-6.664204	-6.721083	-6.793354	-6.952941	-6.960819	-6.764617	-6.778654	-6.710886	-6.818824	-6.842867	-6.850914	-6.803203	-6.842016	-6.763564	-7.007565	-6.783337	-6.964980	-6.755672	-7.099748	-6.889679	-6.828449	-6.810171	-6.786877	-6.944114	-7.238116	-7.187583	-6.703766	-6.691739	-6.624199	-6.943567	-6.827928	-6.709764	-6.608011	-7.153889	-6.670045	-6.650558	-7.048768	-6.639937	-6.843432	-6.807114	-6.825363	-6.619977	-6.745286	-6.851461	-6.925643	-6.751690	-7.000663	-6.729104	-6.820469	-6.751217	-6.813273	-6.413186	-6.889336	-6.774145
		5.176091259055681	-5.865172	-5.736129	-17.129760	-5.871539	-5.828424	-5.615958	-5.679033	-5.888176	-5.951415	-5.560539	-5.660546	-5.732017	-5.760740	-5.889539	-5.902539	-5.790124	-5.736069	-5.751820	-5.808896	-5.816164	-5.806465	-5.840429	-5.824876	-5.788906	-5.960864	-5.764103	-5.989898	-5.724312	-6.041070	-5.898336	-5.830948	-5.813766	-5.820303	-5.881987	-6.269304	-6.114168	-5.734405	-5.693022	-5.607468	-5.906367	-5.779253	-5.680175	-5.638193	-6.099352	-5.691812	-5.636592	-6.000391	-5.614084	-5.816851	-5.827510	-5.808051	-5.627397	-5.758536	-5.838872	-5.875945	-5.748315	-5.925861	-5.722455	-5.838982	-5.743403	-5.840880	-5.440350	-5.877216	-5.724872
x-mean	3.176091																																																																	
SSx	27.857143																																																																	
n	3.000000																																																																	
alpha	0.950000																																																																	
t	6.205347																																																																	
			0.059210	0.029118	0.765221	0.047557	0.096804	0.060872	0.024579	0.071241	0.041437	0.052661	0.042553	0.068647	0.031762	0.025951	0.037390	0.020686	0.017122	0.053929	0.047120	0.031397	0.039572	0.046484	0.050817	0.034936	0.058351	0.025436	0.043314	0.053268	0.041998	0.056122	0.084919	0.032488	0.032373	0.055456	0.036881	0.106225	0.047566	0.041007	0.040019	0.059928	0.066100	0.053390	0.053797	0.050501	0.044585	0.040777	0.115142	0.049371	0.026784	0.057964	0.042319	0.040689	0.029616	0.034246	0.033380	0.056766	0.050296	0.028824	0.060181	0.047390	0.044632	0.036936	0.050011	0.029246
			0.052098	0.025621	0.673305	0.041845	0.085177	0.053560	0.021626	0.062684	0.036459	0.046336	0.037442	0.060402	0.027947	0.022834	0.032899	0.018201	0.015065	0.047451	0.041460	0.027626	0.034819	0.040901	0.044713	0.030739	0.051342	0.022380	0.038111	0.046869	0.036953	0.049381	0.074719	0.028585	0.028484	0.048794	0.032451	0.093466	0.041852	0.036081	0.035212	0.052730	0.058160	0.046977	0.047335	0.044435	0.039230	0.035879	0.101312	0.043441	0.023567	0.051002	0.037235	0.035802	0.026058	0.030133	0.029371	0.049947	0.044254	0.025361	0.052953	0.041698	0.039271	0.032500	0.044003	0.025733
			0.049501	0.024343	0.639738	0.039759	0.080930	0.050890	0.020548	0.059559	0.034642	0.044026	0.035575	0.057390	0.026554	0.021696	0.031259	0.017294	0.014314	0.045085	0.039393	0.026248	0.033083	0.038862	0.042484	0.029207	0.048782	0.021265	0.036211	0.044533	0.035111	0.046919	0.070994	0.027160	0.027064	0.046362	0.030833	0.088806	0.039766	0.034282	0.033456	0.050101	0.055261	0.044635	0.044975	0.042220	0.037274	0.034090	0.096261	0.041275	0.022392	0.048459	0.035379	0.034017	0.024759	0.028630	0.027906	0.047457	0.042048	0.024097	0.050313	0.039619	0.037313	0.030880	0.041810	0.024450
			0.052098	0.025621	0.673305	0.041845	0.085177	0.053560	0.021626	0.062684	0.036459	0.046336	0.037442	0.060402	0.027947	0.022834	0.032899	0.018201	0.015065	0.047451	0.041460	0.027626	0.034819	0.040901	0.044713	0.030739	0.051342	0.022380	0.038111	0.046869	0.036953	0.049381	0.074719	0.028585	0.028484	0.048794	0.032451	0.093466	0.041852	0.036081	0.035212	0.052730	0.058160	0.046977	0.047335	0.044435	0.039230	0.035879	0.101312	0.043441	0.023567	0.051002	0.037235	0.035802	0.026058	0.030133	0.029371	0.049947	0.044254	0.025361	0.052953	0.041698	0.039271	0.032500	0.044003	0.025733
			0.059210	0.029118	0.765221	0.047557	0.096804	0.060872	0.024579	0.071241	0.041437	0.052661	0.042553	0.068647	0.031762	0.025951	0.037390	0.020686	0.017122	0.053929	0.047120	0.031397	0.039572	0.046484	0.050817	0.034936	0.058351	0.025436	0.043314	0.053268	0.041998	0.056122	0.084919	0.032488	0.032373	0.055456	0.036881	0.106225	0.047566	0.041007	0.040019	0.059928	0.066100	0.053390	0.053797	0.050501	0.044585	0.040777	0.115142	0.049371	0.026784	0.057964	0.042319	0.040689	0.029616	0.034246	0.033380	0.056766	0.050296	0.028824	0.060181	0.047390	0.044632	0.036936	0.050011	0.029246
																																																																		
		log(upper)																																																																
			-9.473600	-9.536604	-17.023261	-9.567940	-9.224984	-9.200125	-9.554048	-9.460730	-9.684946	-9.261657	-9.378594	-9.292499	-9.564398	-9.724681	-9.663130	-9.670104	-9.636644	-9.404098	-9.509133	-9.619956	-9.559929	-9.521697	-9.513204	-9.565573	-9.589368	-9.597468	-9.671865	-9.383376	-9.778655	-9.521000	-9.259886	-9.593950	-9.607949	-9.492669	-10.005085	-9.396871	-9.470410	-9.430076	-9.389422	-9.498233	-9.355096	-9.343789	-9.301212	-9.743841	-9.423454	-9.359974	-9.254528	-9.271044	-9.671532	-9.482575	-9.525695	-9.394504	-9.571862	-9.616637	-9.651105	-9.383766	-9.595256	-9.532348	-9.448119	-9.442468	-9.518162	-9.240561	-9.574275	-9.526722
			-8.591270	-8.564508	-15.901778	-8.653605	-8.270575	-8.324858	-8.536389	-8.496135	-8.720811	-8.183756	-8.467545	-8.373224	-8.618229	-8.819197	-8.771533	-8.635014	-8.671449	-8.442724	-8.576344	-8.674227	-8.636870	-8.609954	-8.557150	-8.586013	-8.708098	-8.662119	-8.826851	-8.485774	-8.874039	-8.641458	-8.453044	-8.668808	-8.632946	-8.731685	-9.107422	-8.723775	-8.381873	-8.484720	-8.344913	-8.688682	-8.495206	-8.428450	-8.320724	-8.962426	-8.410022	-8.475108	-8.482944	-8.443484	-8.655192	-8.461197	-8.633997	-8.358449	-8.589245	-8.683986	-8.778692	-8.466227	-8.763157	-8.593891	-8.526805	-8.506256	-8.660947	-8.152600	-8.601450	-8.647962
			-7.571002	-7.609313	-16.383998	-7.623027	-7.282394	-7.273356	-7.528011	-7.489949	-7.714790	-7.202886	-7.423591	-7.355941	-7.556041	-7.774310	-7.746548	-7.662101	-7.648783	-7.438425	-7.571727	-7.649141	-7.624077	-7.524720	-7.536324	-7.585038	-7.690188	-7.686226	-7.713542	-7.470763	-7.832845	-7.627632	-7.347616	-7.660655	-7.591240	-7.670406	-8.043787	-7.634452	-7.443698	-7.445698	-7.363611	-7.621502	-7.453023	-7.369265	-7.295010	-7.875896	-7.414283	-7.409429	-7.450384	-7.402976	-7.655318	-7.439794	-7.623287	-7.335265	-7.551878	-7.632103	-7.723403	-7.440742	-7.705977	-7.533681	-7.475127	-7.492642	-7.599573	-7.180467	-7.589141	-7.579593
			-6.542921	-6.527036	-15.185662	-6.636811	-6.264992	-6.248765	-6.591453	-6.525420	-6.701857	-6.239790	-6.431864	-6.346270	-6.619933	-6.811249	-6.756670	-6.651673	-6.685169	-6.416437	-6.561549	-6.671441	-6.634852	-6.549400	-6.564558	-6.572816	-6.688971	-6.644458	-6.728489	-6.464831	-6.870439	-6.583253	-6.364791	-6.632788	-6.610123	-6.641328	-7.036747	-6.607596	-6.444058	-6.467842	-6.405699	-6.616359	-6.467024	-6.418256	-6.314280	-6.878155	-6.426612	-6.427917	-6.420093	-6.370371	-6.697189	-6.490630	-6.594305	-6.397815	-6.583586	-6.664478	-6.743388	-6.441751	-6.726051	-6.571727	-6.491880	-6.492467	-6.569586	-6.211514	-6.616279	-6.614463
			-5.497753	-5.555440	-12.381300	-5.576429	-5.227719	-5.238225	-5.526515	-5.446101	-5.694286	-5.233758	-5.396487	-5.306037	-5.563645	-5.728503	-5.670520	-5.661761	-5.629822	-5.417175	-5.516499	-5.621336	-5.560908	-5.551978	-5.509541	-5.572119	-5.598777	-5.606266	-5.721122	-5.393767	-5.780458	-5.550078	-5.303994	-5.612167	-5.619420	-5.537866	-6.040445	-5.455004	-5.439243	-5.438560	-5.359139	-5.534490	-5.369081	-5.348872	-5.304363	-5.785976	-5.415147	-5.383558	-5.285893	-5.307718	-5.650644	-5.467821	-5.545450	-5.374907	-5.574761	-5.626363	-5.668809	-5.396064	-5.613760	-5.543595	-5.465536	-5.449330	-5.563925	-5.211147	-5.566882	-5.543391
		log(lower)																																																																
			-10.208438	-9.897983	-26.520182	-10.158161	-10.426394	-9.955591	-9.859085	-10.344880	-10.199204	-9.915219	-9.906711	-10.144460	-9.958589	-10.046753	-10.127167	-9.926830	-9.849138	-10.073389	-10.093926	-10.009613	-10.051044	-10.098600	-10.143874	-9.999148	-10.313542	-9.913143	-10.209417	-10.044465	-10.299880	-10.217517	-10.313794	-9.997146	-10.009715	-10.180911	-10.462804	-10.715200	-10.060734	-9.938999	-9.886080	-10.241986	-10.175441	-10.006396	-9.968872	-10.370593	-9.976784	-9.866042	-10.683524	-9.883776	-10.003946	-10.201952	-10.050898	-9.899484	-9.939411	-10.041655	-10.065377	-10.088267	-10.219459	-9.890069	-10.195011	-10.030614	-10.072072	-9.698968	-10.194941	-9.889684
			-9.237841	-8.882479	-24.257954	-9.172931	-9.327675	-8.989579	-8.804785	-9.274083	-9.173297	-8.758814	-8.932226	-9.122850	-8.965071	-9.102582	-9.179830	-8.860903	-8.858418	-9.031622	-9.090894	-9.017080	-9.068994	-9.117561	-9.112066	-8.967508	-9.345286	-8.939876	-9.299834	-9.067455	-9.332657	-9.254312	-9.380360	-9.023573	-8.986453	-9.337257	-9.510160	-9.883750	-8.901289	-8.932514	-8.781914	-9.343097	-9.217013	-9.011466	-8.908186	-9.513894	-8.896887	-8.920389	-9.740293	-8.982616	-8.947677	-9.094165	-9.096113	-8.802772	-8.912645	-9.057952	-9.143203	-9.086106	-9.312381	-8.908644	-9.183982	-9.023755	-9.148322	-8.555944	-9.147563	-8.967326
			-8.185339	-7.911432	-24.323587	-8.116462	-8.286794	-7.904938	-7.783027	-8.229113	-8.144718	-7.749275	-7.865105	-8.068194	-7.885592	-8.043568	-8.134491	-7.876728	-7.826432	-7.997964	-8.060625	-7.974901	-8.034658	-8.007020	-8.063576	-7.947514	-8.295609	-7.950136	-8.162944	-8.023445	-8.268598	-8.209933	-8.228701	-7.997734	-7.927123	-8.245788	-8.426447	-8.736597	-7.937220	-7.871167	-7.778825	-8.243292	-8.138846	-7.923216	-7.853184	-8.399872	-7.876877	-7.832512	-8.645049	-7.915230	-7.933221	-8.041206	-8.062365	-7.757437	-7.859156	-7.987426	-8.069742	-8.029717	-8.227821	-7.832742	-8.099542	-7.984342	-8.062651	-7.563703	-8.108029	-7.883036
			-7.189492	-6.845007	-23.541838	-7.156136	-7.322092	-6.913486	-6.859849	-7.303368	-7.154343	-6.814849	-6.896545	-7.095895	-6.966775	-7.094634	-7.164968	-6.877562	-6.872139	-7.005335	-7.076099	-7.014293	-7.066976	-7.057007	-7.119474	-6.954311	-7.326159	-6.922215	-7.201471	-7.046512	-7.329056	-7.196106	-7.292106	-6.987554	-6.963630	-7.246900	-7.439485	-7.767571	-6.963475	-6.915635	-6.842699	-7.270774	-7.188831	-7.001272	-6.901742	-7.429624	-6.913478	-6.873198	-7.677443	-6.909503	-6.989674	-7.123598	-7.056421	-6.842139	-6.906987	-7.038444	-7.107899	-7.061629	-7.275276	-6.886480	-7.149057	-7.009966	-7.056961	-6.614858	-7.162393	-6.933827
			-6.232590	-5.916818	-21.878220	-6.166650	-6.429129	-5.993690	-5.831551	-6.330250	-6.208543	-5.887321	-5.924605	-6.157997	-5.957835	-6.050575	-6.134557	-5.918487	-5.842316	-6.086466	-6.101293	-6.010993	-6.052023	-6.128880	-6.140211	-6.005693	-6.322950	-5.921941	-6.258673	-6.054856	-6.301683	-6.246595	-6.357901	-6.015364	-6.021186	-6.226108	-6.498163	-6.773333	-6.029567	-5.947484	-5.855797	-6.278243	-6.189426	-6.011478	-5.972023	-6.412728	-5.968477	-5.889627	-6.714889	-5.920449	-5.983058	-6.187198	-6.070652	-5.879887	-5.942311	-6.051382	-6.083081	-6.100565	-6.237963	-5.901316	-6.212428	-6.037476	-6.117835	-5.669554	-6.187549	-5.906353
																																																																		
		upper																																																																
			3.360e-10	2.907e-10	9.478e-18	2.704e-10	5.957e-10	6.308e-10	2.792e-10	3.462e-10	2.066e-10	5.474e-10	4.182e-10	5.099e-10	2.726e-10	1.885e-10	2.172e-10	2.137e-10	2.309e-10	3.944e-10	3.096e-10	2.399e-10	2.755e-10	3.008e-10	3.068e-10	2.719e-10	2.574e-10	2.527e-10	2.129e-10	4.136e-10	1.665e-10	3.013e-10	5.497e-10	2.547e-10	2.466e-10	3.216e-10	9.884e-11	4.010e-10	3.385e-10	3.715e-10	4.079e-10	3.175e-10	4.415e-10	4.531e-10	4.998e-10	1.804e-10	3.772e-10	4.365e-10	5.565e-10	5.357e-10	2.130e-10	3.292e-10	2.981e-10	4.032e-10	2.680e-10	2.417e-10	2.233e-10	4.133e-10	2.539e-10	2.935e-10	3.564e-10	3.610e-10	3.033e-10	5.747e-10	2.665e-10	2.974e-10
			2.563e-09	2.726e-09	1.254e-16	2.220e-09	5.363e-09	4.733e-09	2.908e-09	3.191e-09	1.902e-09	6.550e-09	3.408e-09	4.234e-09	2.409e-09	1.516e-09	1.692e-09	2.317e-09	2.131e-09	3.608e-09	2.653e-09	2.117e-09	2.307e-09	2.455e-09	2.772e-09	2.594e-09	1.958e-09	2.177e-09	1.490e-09	3.268e-09	1.336e-09	2.283e-09	3.523e-09	2.144e-09	2.328e-09	1.855e-09	7.809e-10	1.889e-09	4.151e-09	3.276e-09	4.519e-09	2.048e-09	3.197e-09	3.729e-09	4.778e-09	1.090e-09	3.890e-09	3.349e-09	3.289e-09	3.602e-09	2.212e-09	3.458e-09	2.323e-09	4.381e-09	2.575e-09	2.070e-09	1.665e-09	3.418e-09	1.725e-09	2.547e-09	2.973e-09	3.117e-09	2.183e-09	7.037e-09	2.504e-09	2.249e-09
			2.685e-08	2.459e-08	4.130e-17	2.382e-08	5.219e-08	5.329e-08	2.965e-08	3.236e-08	1.928e-08	6.268e-08	3.771e-08	4.406e-08	2.779e-08	1.681e-08	1.792e-08	2.177e-08	2.245e-08	3.644e-08	2.681e-08	2.243e-08	2.376e-08	2.987e-08	2.909e-08	2.600e-08	2.041e-08	2.060e-08	1.934e-08	3.382e-08	1.469e-08	2.357e-08	4.491e-08	2.184e-08	2.563e-08	2.136e-08	9.041e-09	2.320e-08	3.600e-08	3.583e-08	4.329e-08	2.391e-08	3.524e-08	4.273e-08	5.070e-08	1.331e-08	3.852e-08	3.896e-08	3.545e-08	3.954e-08	2.211e-08	3.633e-08	2.381e-08	4.621e-08	2.806e-08	2.333e-08	1.891e-08	3.625e-08	1.968e-08	2.926e-08	3.349e-08	3.216e-08	2.514e-08	6.600e-08	2.575e-08	2.633e-08
			2.865e-07	2.971e-07	6.521e-16	2.308e-07	5.433e-07	5.639e-07	2.562e-07	2.982e-07	1.987e-07	5.757e-07	3.699e-07	4.505e-07	2.399e-07	1.544e-07	1.751e-07	2.230e-07	2.065e-07	3.833e-07	2.744e-07	2.131e-07	2.318e-07	2.822e-07	2.725e-07	2.674e-07	2.047e-07	2.267e-07	1.869e-07	3.429e-07	1.348e-07	2.611e-07	4.317e-07	2.329e-07	2.454e-07	2.284e-07	9.189e-08	2.468e-07	3.597e-07	3.405e-07	3.929e-07	2.419e-07	3.412e-07	3.817e-07	4.850e-07	1.324e-07	3.744e-07	3.733e-07	3.801e-07	4.262e-07	2.008e-07	3.231e-07	2.545e-07	4.001e-07	2.609e-07	2.165e-07	1.806e-07	3.616e-07	1.879e-07	2.681e-07	3.222e-07	3.218e-07	2.694e-07	6.144e-07	2.419e-07	2.430e-07
			3.179e-06	2.783e-06	4.156e-13	2.652e-06	5.919e-06	5.778e-06	2.975e-06	3.580e-06	2.022e-06	5.838e-06	4.013e-06	4.943e-06	2.731e-06	1.869e-06	2.135e-06	2.179e-06	2.345e-06	3.827e-06	3.044e-06	2.391e-06	2.748e-06	2.806e-06	3.094e-06	2.678e-06	2.519e-06	2.476e-06	1.901e-06	4.039e-06	1.658e-06	2.818e-06	4.966e-06	2.442e-06	2.402e-06	2.898e-06	9.111e-07	3.507e-06	3.637e-06	3.643e-06	4.374e-06	2.921e-06	4.275e-06	4.478e-06	4.962e-06	1.637e-06	3.845e-06	4.135e-06	5.177e-06	4.924e-06	2.235e-06	3.405e-06	2.848e-06	4.218e-06	2.662e-06	2.364e-06	2.144e-06	4.017e-06	2.434e-06	2.860e-06	3.423e-06	3.554e-06	2.729e-06	6.150e-06	2.711e-06	2.862e-06
		lower																																																																
			6.188e-11	1.265e-10	3.019e-27	6.948e-11	3.746e-11	1.108e-10	1.383e-10	4.520e-11	6.321e-11	1.216e-10	1.240e-10	7.170e-11	1.100e-10	8.979e-11	7.462e-11	1.184e-10	1.415e-10	8.445e-11	8.055e-11	9.781e-11	8.891e-11	7.969e-11	7.180e-11	1.002e-10	4.858e-11	1.221e-10	6.174e-11	9.027e-11	5.013e-11	6.060e-11	4.855e-11	1.007e-10	9.779e-11	6.593e-11	3.445e-11	1.927e-11	8.695e-11	1.151e-10	1.300e-10	5.728e-11	6.677e-11	9.854e-11	1.074e-10	4.260e-11	1.055e-10	1.361e-10	2.072e-11	1.307e-10	9.910e-11	6.281e-11	8.894e-11	1.260e-10	1.150e-10	9.085e-11	8.602e-11	8.161e-11	6.033e-11	1.288e-10	6.382e-11	9.319e-11	8.471e-11	2.000e-10	6.384e-11	1.289e-10
			5.783e-10	1.311e-09	5.521e-25	6.715e-10	4.702e-10	1.024e-09	1.568e-09	5.320e-10	6.710e-10	1.743e-09	1.169e-09	7.536e-10	1.084e-09	7.896e-10	6.610e-10	1.378e-09	1.385e-09	9.298e-10	8.112e-10	9.614e-10	8.531e-10	7.628e-10	7.726e-10	1.078e-09	4.516e-10	1.148e-09	5.014e-10	8.561e-10	4.649e-10	5.568e-10	4.165e-10	9.472e-10	1.032e-09	4.600e-10	3.089e-10	1.307e-10	1.255e-09	1.168e-09	1.652e-09	4.538e-10	6.067e-10	9.739e-10	1.235e-09	3.063e-10	1.268e-09	1.201e-09	1.818e-10	1.041e-09	1.128e-09	8.051e-10	8.015e-10	1.575e-09	1.223e-09	8.751e-10	7.191e-10	8.202e-10	4.871e-10	1.234e-09	6.547e-10	9.468e-10	7.107e-10	2.780e-09	7.119e-10	1.078e-09
			6.526e-09	1.226e-08	4.747e-25	7.648e-09	5.167e-09	1.245e-08	1.648e-08	5.900e-09	7.166e-09	1.781e-08	1.364e-08	8.547e-09	1.301e-08	9.045e-09	7.337e-09	1.328e-08	1.491e-08	1.005e-08	8.697e-09	1.059e-08	9.233e-09	9.840e-09	8.638e-09	1.128e-08	5.063e-09	1.122e-08	6.872e-09	9.474e-09	5.388e-09	6.167e-09	5.906e-09	1.005e-08	1.183e-08	5.678e-09	3.746e-09	1.834e-09	1.156e-08	1.345e-08	1.664e-08	5.711e-09	7.264e-09	1.193e-08	1.402e-08	3.982e-09	1.328e-08	1.471e-08	2.264e-09	1.216e-08	1.166e-08	9.095e-09	8.662e-09	1.748e-08	1.383e-08	1.029e-08	8.516e-09	9.339e-09	5.918e-09	1.470e-08	7.952e-09	1.037e-08	8.657e-09	2.731e-08	7.798e-09	1.309e-08
			6.464e-08	1.429e-07	2.872e-24	6.980e-08	4.763e-08	1.220e-07	1.381e-07	4.973e-08	7.009e-08	1.532e-07	1.269e-07	8.019e-08	1.080e-07	8.042e-08	6.840e-08	1.326e-07	1.342e-07	9.878e-08	8.393e-08	9.676e-08	8.571e-08	8.770e-08	7.595e-08	1.111e-07	4.719e-08	1.196e-07	6.288e-08	8.984e-08	4.688e-08	6.366e-08	5.104e-08	1.029e-07	1.087e-07	5.664e-08	3.635e-08	1.708e-08	1.088e-07	1.214e-07	1.436e-07	5.361e-08	6.474e-08	9.971e-08	1.254e-07	3.719e-08	1.220e-07	1.339e-07	2.102e-08	1.232e-07	1.024e-07	7.523e-08	8.782e-08	1.438e-07	1.239e-07	9.153e-08	7.800e-08	8.677e-08	5.305e-08	1.299e-07	7.095e-08	9.773e-08	8.771e-08	2.427e-07	6.880e-08	1.165e-07
			5.853e-07	1.211e-06	1.324e-22	6.813e-07	3.723e-07	1.015e-06	1.474e-06	4.675e-07	6.187e-07	1.296e-06	1.190e-06	6.950e-07	1.102e-06	8.901e-07	7.336e-07	1.206e-06	1.438e-06	8.195e-07	7.920e-07	9.750e-07	8.871e-07	7.432e-07	7.241e-07	9.870e-07	4.754e-07	1.197e-06	5.512e-07	8.813e-07	4.992e-07	5.668e-07	4.386e-07	9.652e-07	9.524e-07	5.941e-07	3.176e-07	1.685e-07	9.342e-07	1.129e-06	1.394e-06	5.269e-07	6.465e-07	9.739e-07	1.067e-06	3.866e-07	1.075e-06	1.289e-06	1.928e-07	1.201e-06	1.040e-06	6.498e-07	8.499e-07	1.319e-06	1.142e-06	8.884e-07	8.259e-07	7.933e-07	5.781e-07	1.255e-06	6.132e-07	9.173e-07	7.624e-07	2.140e-06	6.493e-07	1.241e-06
		mean																																																																
			1.442e-10	1.917e-10	1.692e-22	1.371e-10	1.494e-10	2.643e-10	1.965e-10	1.251e-10	1.143e-10	2.580e-10	2.277e-10	1.912e-10	1.732e-10	1.301e-10	1.273e-10	1.590e-10	1.808e-10	1.825e-10	1.579e-10	1.532e-10	1.565e-10	1.548e-10	1.484e-10	1.651e-10	1.118e-10	1.757e-10	1.146e-10	1.932e-10	9.136e-11	1.351e-10	1.634e-10	1.601e-10	1.553e-10	1.456e-10	5.835e-11	8.789e-11	1.716e-10	2.068e-10	2.303e-10	1.349e-10	1.717e-10	2.113e-10	2.317e-10	8.766e-11	1.995e-10	2.438e-10	1.074e-10	2.646e-10	1.453e-10	1.438e-10	1.628e-10	2.254e-10	1.755e-10	1.482e-10	1.386e-10	1.836e-10	1.238e-10	1.944e-10	1.508e-10	1.834e-10	1.603e-10	3.390e-10	1.304e-10	1.958e-10
			1.217e-09	1.890e-09	8.320e-21	1.221e-09	1.588e-09	2.202e-09	2.135e-09	1.303e-09	1.130e-09	3.378e-09	1.996e-09	1.786e-09	1.616e-09	1.094e-09	1.058e-09	1.787e-09	1.718e-09	1.832e-09	1.467e-09	1.427e-09	1.403e-09	1.368e-09	1.463e-09	1.672e-09	9.404e-10	1.581e-09	8.643e-10	1.673e-09	7.882e-10	1.127e-09	1.211e-09	1.425e-09	1.550e-09	9.237e-10	4.911e-10	4.969e-10	2.283e-09	1.956e-09	2.733e-09	9.641e-10	1.393e-09	1.906e-09	2.430e-09	5.779e-10	2.221e-09	2.006e-09	7.734e-10	1.936e-09	1.580e-09	1.668e-09	1.364e-09	2.627e-09	1.774e-09	1.346e-09	1.094e-09	1.674e-09	9.167e-10	1.773e-09	1.395e-09	1.718e-09	1.246e-09	4.423e-09	1.335e-09	1.557e-09
			1.324e-08	1.736e-08	4.428e-21	1.350e-08	1.642e-08	2.575e-08	2.210e-08	1.382e-08	1.176e-08	3.341e-08	2.268e-08	1.941e-08	1.902e-08	1.233e-08	1.147e-08	1.701e-08	1.830e-08	1.913e-08	1.527e-08	1.542e-08	1.481e-08	1.714e-08	1.585e-08	1.713e-08	1.016e-08	1.520e-08	1.153e-08	1.790e-08	8.898e-09	1.206e-08	1.629e-08	1.482e-08	1.741e-08	1.101e-08	5.819e-09	6.523e-09	2.040e-08	2.196e-08	2.684e-08	1.168e-08	1.600e-08	2.258e-08	2.666e-08	7.280e-09	2.262e-08	2.393e-08	8.959e-09	2.192e-08	1.606e-08	1.818e-08	1.436e-08	2.842e-08	1.970e-08	1.550e-08	1.269e-08	1.840e-08	1.079e-08	2.074e-08	1.632e-08	1.826e-08	1.475e-08	4.245e-08	1.417e-08	1.856e-08
