		AHCY	AKR1C1	ALUsq-Eur	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
ratio	Bias as ratio mean	15087.99	13263.34	41.35	12908.33	12890.98	29474.77	17587.60	15109.23	16698.16	19078.59	21063.61	4636.08	13842.07	14806.95	13572.61	11301.22	13949.60	18273.06	15864.46	12857.29	16065.00	18020.37	17871.80	15195.29	11690.13	11819.15	11948.58	15252.69	11309.85	10998.10	13927.75	13250.22	19907.11	6820.56	14250.86	8407.18	22839.91	10577.67	19773.07	23845.10	13453.24	14134.73	19953.40	15471.30	15332.98	13761.11	10246.22	13377.38	17861.47	15995.93	10888.46	24598.92	15607.13	18209.38	13308.76	14557.41	12025.75	15779.10	19722.36	14489.07	16081.40	19217.20	18344.65	19089.21
																																																																	
	take log																																																																
	-4.0	-4.438158	-4.167715	-1.686438	-3.995205	-4.531697	-4.636774	-4.315635	-4.209059	-4.379775	-4.259808	-4.471447	-3.587515	-4.221017	-4.132786	-4.212325	-4.072147	-4.138211	-4.480253	-4.276540	-4.082210	-4.199827	-4.367364	-4.222367	-4.103391	-4.283868	-4.081518	-4.074883	-4.414297	-3.985238	-3.953592	-4.140047	-4.069079	-4.242532	-3.875407	-4.142688	-3.655122	-4.459418	-3.959721	-4.396692	-4.447072	-4.022973	-3.979007	-4.105386	-4.179257	-4.262010	-4.050006	-3.869519	-4.094159	-4.196772	-4.022024	-4.139623	-4.502043	-4.258026	-4.338452	-4.083524	-4.051393	-4.207310	-4.210396	-4.114890	-3.997005	-4.236186	-4.280719	-4.213527	-4.258684
	-4.0	-4.145218	-4.086243	-1.631121	-4.315809	-3.833220	-4.383845	-4.237432	-4.490734	-4.212028	-4.459311	-4.351601	-3.552944	-4.108009	-4.177218	-4.063427	-4.024986	-4.133477	-4.329484	-4.047871	-4.149971	-4.100022	-4.136599	-4.137922	-4.311616	-3.925152	-4.023580	-4.102790	-4.162450	-4.017696	-4.275985	-3.956180	-4.242601	-4.279870	-3.779485	-4.131814	-4.081690	-4.395921	-4.181399	-4.194993	-4.552637	-4.044715	-4.246677	-4.461364	-4.165090	-4.055821	-4.120563	-3.878163	-4.262907	-4.331381	-4.341323	-3.972143	-4.284076	-4.221676	-4.230046	-4.144598	-4.423081	-4.018350	-4.125029	-4.497274	-4.289517	-4.304791	-4.257946	-4.453969	-4.260719
	-4.0	-4.041948	-4.117856	-1.543858	-4.081075	-4.247907	-4.427326	-4.191499	-3.981066	-4.115886	-4.170457	-4.192803	-3.963970	-4.104389	-4.204420	-4.134948	-4.063713	-4.162554	-4.074414	-4.331257	-4.098121	-4.354660	-4.296300	-4.454164	-4.156028	-4.066499	-4.117908	-4.055570	-4.048802	-4.181835	-3.964456	-4.490193	-4.076152	-4.387280	-3.852436	-4.189129	-4.277885	-4.248394	-3.966410	-4.320763	-4.207066	-4.421009	-4.295638	-4.427924	-4.226595	-4.275577	-4.274725	-4.595837	-4.049814	-4.238314	-4.328617	-4.015968	-4.414633	-4.113557	-4.221849	-4.147335	-4.099683	-4.038298	-4.271344	-4.361170	-4.259501	-4.102755	-4.314244	-4.172527	-4.326308
	-3.0	-3.296705	-3.130614	-0.143688	-3.118621	-3.175801	-3.621006	-3.133861	-3.084860	-3.226964	-3.048710	-3.276559	-2.789095	-3.114589	-3.224655	-3.128932	-2.974896	-3.167343	-3.181802	-3.218306	-3.086492	-3.159624	-3.229275	-3.129202	-3.140733	-3.151486	-3.104452	-3.120115	-3.216352	-3.184823	-3.064805	-3.347744	-3.145229	-3.200206	-3.045325	-3.105882	-3.198834	-3.096433	-3.018114	-3.192742	-3.354696	-3.196834	-3.138878	-3.204365	-3.366391	-3.069130	-3.185564	-3.226357	-3.236999	-3.191587	-3.081306	-3.094010	-3.263216	-3.135129	-3.160649	-3.211717	-3.179211	-3.164520	-3.170034	-3.266667	-3.182735	-3.296771	-3.055307	-3.160247	-3.299064
	-3.0	-3.178225	-3.067838	-1.430543	-3.131041	-3.092454	-3.325708	-3.172299	-3.174734	-3.161377	-3.115384	-3.322939	-2.810468	-3.148398	-3.176706	-3.155022	-2.997961	-3.124533	-3.232502	-3.212851	-3.168326	-3.267683	-3.287468	-3.291644	-3.166159	-3.066747	-3.142261	-3.176206	-3.230799	-3.062168	-3.135343	-3.227362	-3.100086	-3.184429	-3.079051	-3.158862	-3.238281	-3.164896	-3.006302	-3.128647	-3.530403	-3.181660	-3.184175	-3.222473	-3.319906	-3.047845	-3.223471	-3.183646	-3.220274	-3.147071	-3.130971	-3.031328	-3.237179	-3.191617	-3.290278	-3.209199	-3.184395	-3.244196	-3.217117	-3.297913	-3.222288	-3.236815	-3.117144	-3.183217	-3.295105
	-3.0	-3.224977	-3.097872	-1.504510	-3.197357	-3.096511	-3.382112	-3.155823	-3.156518	-3.168261	-3.177114	-3.370712	-2.825158	-3.184549	-3.214699	-3.253426	-3.044917	-3.098171	-3.265246	-3.162344	-3.128222	-3.211605	-3.270496	-3.223503	-3.126587	-3.195189	-3.075534	-3.232053	-3.199432	-3.068818	-3.161502	-3.257279	-3.206297	-3.264696	-3.074689	-3.280799	-3.243909	-3.213653	-3.098758	-3.124128	-3.426901	-3.250760	-3.207904	-3.246845	-3.275859	-3.202486	-3.212308	-3.304958	-3.273222	-3.173913	-3.149589	-3.178726	-3.210050	-3.114082	-3.285257	-3.151521	-3.192718	-3.178695	-3.218546	-3.310808	-3.127462	-3.236689	-3.140536	-3.287826	-3.300498
	-2.0	-2.126771	-2.038058	-1.187441	-2.061947	-2.048531	-2.172836	-2.094207	-2.068672	-2.078009	-2.045595	-2.217918	-1.858119	-2.050826	-2.116338	-2.063581	-2.016663	-2.047143	-2.105822	-2.082589	-2.050083	-2.139572	-2.064728	-2.112647	-2.024969	-2.062890	-2.072572	-2.019904	-2.096985	-2.034162	-2.056377	-2.034404	-2.089611	-2.107656	-1.995798	-2.061845	-2.093034	-2.075419	-1.941471	-2.091288	-2.290070	-2.102678	-2.039566	-2.131622	-2.118497	-2.029833	-2.057795	-2.074970	-2.108838	-2.043937	-2.027071	-2.053741	-2.083926	-2.059081	-2.114385	-2.132261	-2.088681	-2.069494	-2.077092	-2.129010	-2.106833	-2.062616	-2.019388	-2.081395	-2.124460
	-2.0	-2.161995	-2.078555	-1.387416	-2.086528	-2.085951	-2.339072	-2.093675	-2.078077	-2.112556	-2.089059	-2.185176	-1.877277	-2.043065	-2.118214	-2.157015	-1.991548	-2.072986	-2.112607	-2.164417	-2.078521	-2.117991	-2.095608	-2.095609	-2.122751	-2.108956	-2.094671	-2.058978	-2.158556	-2.034331	-2.049339	-2.079202	-2.103433	-2.095873	-2.056001	-2.064618	-2.084096	-2.135083	-2.027861	-2.113677	-2.257138	-2.131880	-2.072046	-2.119434	-2.170500	-2.089557	-2.084590	-2.123962	-2.152386	-2.146296	-1.989933	-2.083551	-2.073222	-2.072566	-2.112606	-2.062930	-2.128068	-2.110291	-2.070175	-2.108135	-2.089249	-2.104886	-2.073296	-2.168216	-2.175200
	-2.0	-2.108268	-2.154341	-0.845683	-2.065191	-2.056637	-2.205349	-2.051559	-2.064902	-2.141639	-2.038384	-2.116951	-1.795925	-2.047598	-2.111020	-2.105587	-1.993320	-2.096766	-2.121408	-2.127900	-2.045917	-2.154142	-2.114600	-2.128940	-2.059674	-2.083638	-2.108510	-2.003075	-2.134824	-2.043154	-2.058588	-2.126580	-2.089350	-2.081946	-2.013024	-2.063763	-2.137403	-2.180430	-2.006871	-2.071633	-2.214043	-2.098706	-2.072505	-2.058397	-2.173332	-2.021981	-2.102716	-2.186287	-2.129046	-2.091425	-2.065670	-2.024862	-2.113701	-2.034301	-2.113494	-2.096045	-2.106098	-2.080846	-2.101320	-2.172128	-2.133895	-2.173026	-2.055307	-2.124757	-2.178682
	-1.0	-1.085564	-1.004439	-0.488662	-1.047971	-1.057464	-1.119159	-1.085844	-1.077404	-1.067357	-1.038931	-1.092892	-0.956651	-1.089967	-1.109261	-1.092275	-1.007395	-1.087166	-1.057478	-1.090306	-1.079502	-1.111326	-1.058997	-1.096578	-1.045418	-1.062318	-1.063394	-1.044822	-1.077186	-1.064434	-1.045775	-1.039337	-1.059318	-1.045915	-1.072669	-1.021091	-1.097884	-1.084247	-1.017530	-1.099393	-1.151133	-1.086632	-1.069359	-1.071903	-1.128082	-1.047339	-1.070224	-1.091581	-1.037261	-1.069110	-1.048099	-1.026577	-1.085477	-1.050317	-1.081486	-1.072786	-1.065811	-1.102504	-1.068780	-1.091233	-1.069487	-1.006863	-1.052745	-1.098406	-1.119066
	-1.0	-1.051764	-0.995781	-0.974444	-1.056125	-1.000290	-1.132253	-1.084932	-1.088206	-1.085175	-1.059573	-1.098694	-0.947460	-1.092397	-1.120820	-1.112400	-1.016289	-1.069348	-1.067401	-1.069776	-1.112182	-1.105832	-1.059208	-1.076309	-1.040167	-1.071804	-1.065878	-1.005007	-1.091482	-1.064434	-1.037590	-1.068370	-1.062608	-1.076595	-1.029656	-1.026936	-1.080093	-1.109668	-1.029657	-1.080212	-1.155209	-1.113400	-1.093984	-1.059469	-1.122450	-1.077674	-1.070795	-1.116117	-1.118825	-1.078088	-1.071417	-1.065562	-1.102152	-1.053697	-1.129300	-1.130254	-1.075980	-1.122418	-1.078127	-1.114751	-1.107027	-1.101463	-1.055674	-1.148177	-1.111460
	-1.0	-1.030994	-0.976489	-0.848001	-1.014442	-1.010202	-1.076353	-1.066456	-1.038616	-0.999420	-1.026522	-1.077619	-0.890120	-1.060769	-1.097490	-1.065426	-0.987325	-1.046778	-1.008739	-1.051772	-0.959655	-1.080094	-1.018074	-1.039361	-0.991967	-1.013958	-1.028886	-0.981041	-1.053850	-1.048727	-0.988205	-1.037910	-1.021216	-1.008803	-1.007041	-1.004013	-1.065981	-1.007750	-0.974788	-1.044771	-1.116079	-1.054289	-1.060054	-0.992216	-1.115644	-1.004348	-1.051051	-1.095862	-1.073321	-1.056701	-1.029506	-1.013877	-1.051559	-0.990307	-1.044701	-1.044762	-1.034272	-1.058741	-1.074197	-1.046279	-1.045043	-0.998495	-1.021761	-1.071199	-1.099541
	0.0	-0.058811	0.021834	0.074413	-0.031128	-0.035585	0.004085	-0.008394	-0.010146	-0.056027	-0.036974	-0.003753	-0.017974	0.022729	-0.012106	-0.005311	-0.003016	0.000062	-0.042489	-0.057330	0.001751	-0.015978	-0.013492	-0.016871	-0.005856	-0.018359	-0.020577	-0.033672	-0.024289	0.012865	-0.057810	-0.005539	-0.027884	0.012091	-0.003834	-0.024589	-0.032319	-0.026326	-0.018991	-0.005818	-0.020715	-0.049849	0.009214	-0.015595	0.003706	-0.031001	-0.023279	-0.030023	-0.035615	0.016168	-0.019197	-0.031588	0.011214	-0.019759	-0.053825	-0.046710	-0.022815	-0.029367	-0.012652	0.034166	0.014610	0.032098	-0.017029	-0.040372	-0.009315
	0.0	0.026539	0.013352	-0.020980	0.031780	0.035704	0.028382	0.018938	0.027595	0.031081	0.024128	0.015310	0.018252	0.001902	0.009314	0.005944	-0.027284	0.008450	0.024109	0.027913	0.034956	0.018009	0.066811	0.056207	0.012623	0.024305	0.035493	0.062260	0.027042	0.019507	0.079295	0.014897	0.026600	-0.038545	0.008046	0.056345	0.029538	0.009005	0.022295	0.007030	0.010086	0.046802	0.020668	0.018233	0.013978	0.018551	0.027826	0.017717	-0.008923	0.016776	0.042276	0.021751	0.033735	0.024112	0.039277	0.014089	0.040972	0.029683	0.017812	0.056920	0.033444	0.022092	0.031276	0.053713	0.018050
	0.0	0.026792	-0.037528	-0.065369	-0.002942	-0.003057	-0.034792	-0.011186	-0.018867	0.019881	0.010505	-0.012011	-0.001035	-0.026003	0.002517	-0.000707	0.028494	-0.008681	0.015409	0.024191	-0.039937	-0.002708	-0.063341	-0.045790	-0.007048	-0.007078	-0.017224	-0.035996	-0.004301	-0.034331	-0.034178	-0.009760	-0.000424	0.023950	-0.004325	-0.037861	0.000579	0.016141	-0.004317	-0.001310	0.009911	-0.002329	-0.031603	-0.003316	-0.018308	0.010830	-0.006114	0.010790	0.041025	-0.034946	-0.026410	0.008086	-0.049115	-0.005513	0.009413	0.028977	-0.021253	-0.002331	-0.005750	-0.108957	-0.052696	-0.059928	-0.016022	-0.019035	-0.009315
SSx	30																																																																
		AHCY	AKR1C1	ALUsq-Eur	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	slope = bias	1.059042	1.035285	0.348887	1.036936	1.050553	1.129743	1.057087	1.052359	1.060330	1.066355	1.091060	0.927928	1.035616	1.043893	1.036284	1.010828	1.035163	1.076943	1.056084	1.029528	1.054977	1.074381	1.068270	1.049915	1.027137	1.020183	1.031639	1.055736	1.016794	1.021759	1.061960	1.036024	1.077746	0.970138	1.046952	1.015402	1.082614	1.010474	1.068195	1.110056	1.044719	1.044892	1.084603	1.057887	1.045789	1.043891	1.036514	1.043594	1.061253	1.053004	1.015000	1.095481	1.051023	1.068371	1.035609	1.050746	1.027588	1.053232	1.084468	1.046456	1.064648	1.062836	1.066072	1.075162
	correlation = R	0.998357	0.999670	0.800148	0.998963	0.996089	0.998439	0.999737	0.997847	0.999268	0.998749	0.999174	0.997800	0.999631	0.999694	0.999395	0.999854	0.999879	0.998619	0.999134	0.999581	0.999293	0.999175	0.998882	0.999499	0.998624	0.999701	0.999229	0.998790	0.999312	0.998497	0.997061	0.999484	0.999616	0.998556	0.999458	0.995135	0.999021	0.999251	0.999383	0.998421	0.998098	0.998887	0.998666	0.998969	0.999112	0.999266	0.993714	0.998903	0.999692	0.998614	0.999355	0.999195	0.999652	0.999495	0.999485	0.998654	0.998982	0.999677	0.998514	0.998981	0.999090	0.999418	0.998961	0.999704
																																																																	
	Sres	0.092349	0.040421	0.397293	0.071788	0.141569	0.095999	0.036822	0.105069	0.061651	0.081097	0.067418	0.093663	0.042770	0.039218	0.054785	0.026283	0.024459	0.086063	0.066812	0.045291	0.060275	0.066354	0.076816	0.050516	0.081953	0.037921	0.061578	0.078977	0.057318	0.085193	0.123956	0.050597	0.045408	0.079294	0.052407	0.152708	0.072835	0.059427	0.057013	0.094887	0.098030	0.074955	0.085176	0.073039	0.066988	0.060788	0.177386	0.074312	0.040033	0.084296	0.055422	0.066832	0.042113	0.051615	0.050493	0.082910	0.070475	0.040705	0.089925	0.071820	0.069030	0.055118	0.073883	0.039758
	Sxx	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
	se of slope	0.016861	0.007380	0.072535	0.013107	0.025847	0.017527	0.006723	0.019183	0.011256	0.014806	0.012309	0.017101	0.007809	0.007160	0.010002	0.004799	0.004466	0.015713	0.012198	0.008269	0.011005	0.012114	0.014025	0.009223	0.014963	0.006923	0.011243	0.014419	0.010465	0.015554	0.022631	0.009238	0.008290	0.014477	0.009568	0.027881	0.013298	0.010850	0.010409	0.017324	0.017898	0.013685	0.015551	0.013335	0.012230	0.011098	0.032386	0.013567	0.007309	0.015390	0.010119	0.012202	0.007689	0.009423	0.009219	0.015137	0.012867	0.007432	0.016418	0.013113	0.012603	0.010063	0.013489	0.007259
expected slope	1																																																																
	t	3.501799	4.781294	8.976484	2.818118	1.955863	7.402482	8.491529	2.729477	5.359835	4.481583	7.397958	4.214619	4.561070	6.130062	3.627614	2.256508	7.874378	4.896824	4.597789	3.570973	4.995845	6.139869	4.867876	5.411963	1.813671	2.915151	2.814220	3.865409	1.604846	1.398913	2.737831	3.899660	9.377822	2.062754	4.907134	0.552422	6.212597	0.965405	6.551494	6.352846	2.498590	3.280431	5.440344	4.340998	3.743925	3.954696	1.127445	3.213143	8.380467	3.443974	1.482463	7.825213	6.636072	7.255348	3.862631	3.352404	2.144084	7.162871	5.144891	3.542893	5.129577	6.244210	4.898194	10.354542
	p (slope = 1)	3.9006e-03	3.5868e-04	6.2024e-07	1.4517e-02	7.2319e-02	5.1758e-06	1.1572e-06	1.7199e-02	1.2978e-04	6.1778e-04	5.2097e-06	1.0116e-03	5.3425e-04	3.6015e-05	3.0657e-03	4.1901e-02	2.6581e-06	2.9174e-04	4.9970e-04	3.4164e-03	2.4474e-04	3.5451e-05	3.0719e-04	1.1869e-04	9.2869e-02	1.2052e-02	1.4626e-02	1.9498e-03	1.3254e-01	1.8524e-01	1.6927e-02	1.8273e-03	3.7713e-07	5.9706e-02	2.8644e-04	5.9003e-01	3.1546e-05	3.5196e-01	1.8493e-05	2.5242e-05	2.6660e-02	5.9683e-03	1.1307e-04	8.0020e-04	2.4557e-03	1.6469e-03	2.7993e-01	6.7935e-03	1.3397e-06	4.3582e-03	1.6205e-01	2.8456e-06	1.6225e-05	6.4073e-06	1.9600e-03	5.1966e-03	5.1510e-02	7.3375e-06	1.8835e-04	3.6052e-03	1.9346e-04	2.9993e-05	2.9103e-04	1.1992e-07
																																																																	
	Derivation from regression																																																																
	is independent of scaling																																																																
	ncount	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
	ngroups	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
																																																																	
	var	2.411285	2.298265	0.407400	2.308863	2.383598	2.743529	2.395756	2.383378	2.412743	2.442778	2.555103	1.853253	2.299915	2.336526	2.303970	2.190157	2.296763	2.492177	2.394104	2.273179	2.388325	2.477578	2.450909	2.364485	2.266974	2.231564	2.284119	2.394173	2.218488	2.243863	2.430895	2.302403	2.490921	2.022625	2.351353	2.231027	2.516469	2.191262	2.448104	2.648843	2.347720	2.344787	2.527516	2.403079	2.347757	2.338520	2.331419	2.338889	2.414900	2.382634	2.210479	2.575744	2.368755	2.448365	2.300550	2.372242	2.267333	2.378604	2.527662	2.351370	2.433301	2.423435	2.440447	2.478554
	SStotal	33.757994	32.175716	5.703599	32.324077	33.370373	38.409412	33.540588	33.367297	33.778401	34.198888	35.771446	25.945547	32.198811	32.711370	32.255577	30.662192	32.154677	34.890481	33.517455	31.824511	33.436553	34.686098	34.312733	33.102789	31.737632	31.241892	31.977669	33.518416	31.058837	31.414076	34.032526	32.233649	34.872887	28.316747	32.918948	31.234384	35.230565	30.677671	34.273453	37.083803	32.868077	32.827023	35.385219	33.643110	32.868597	32.739279	32.639872	32.744449	33.808599	33.356876	30.946710	36.060421	33.162567	34.277108	32.207700	33.211387	31.742668	33.300451	35.387271	32.919180	34.066214	33.928094	34.166261	34.699756
																																																																	
	variance per concentration	0.042244	0.001687	0.005167	0.027544	0.123395	0.018289	0.003939	0.065181	0.017837	0.021870	0.019537	0.051976	0.004398	0.001308	0.005545	0.000633	0.000243	0.042083	0.022599	0.001256	0.016462	0.013968	0.026812	0.011723	0.032651	0.002263	0.000564	0.034988	0.011108	0.033518	0.073597	0.009644	0.005647	0.002508	0.000927	0.101381	0.011721	0.015901	0.010378	0.031361	0.050084	0.029050	0.038645	0.001037	0.015165	0.013207	0.173778	0.012642	0.004751	0.032685	0.007543	0.012033	0.005647	0.004236	0.001302	0.040845	0.010778	0.005402	0.037566	0.025895	0.010555	0.000802	0.023117	0.001480
		0.003561	0.000986	0.585550	0.001792	0.002208	0.024575	0.000372	0.002257	0.001299	0.004124	0.002216	0.000329	0.001224	0.000640	0.004310	0.001273	0.001219	0.001768	0.000952	0.001674	0.002921	0.000896	0.006654	0.000402	0.004265	0.001120	0.003133	0.000246	0.004758	0.002502	0.003928	0.002841	0.001808	0.000336	0.008045	0.000603	0.003467	0.002532	0.001473	0.007800	0.001319	0.001230	0.000454	0.002050	0.007025	0.000379	0.003786	0.000733	0.000502	0.001246	0.005472	0.000707	0.001608	0.005393	0.001159	0.000046	0.001807	0.000762	0.000515	0.002269	0.001201	0.001939	0.004625	0.000008
		0.000745	0.003484	0.075044	0.000178	0.000388	0.007762	0.000599	0.000046	0.001015	0.000751	0.002654	0.001809	0.000015	0.000014	0.002190	0.000196	0.000616	0.000061	0.001680	0.000315	0.000331	0.000634	0.000278	0.002457	0.000532	0.000329	0.000823	0.000964	0.000026	0.000023	0.002125	0.000065	0.000166	0.000961	0.000002	0.000815	0.002774	0.002030	0.000443	0.001454	0.000328	0.000357	0.001539	0.000953	0.001366	0.000511	0.003113	0.000475	0.002624	0.001434	0.000861	0.000440	0.000377	0.000001	0.001202	0.000390	0.000443	0.000267	0.001065	0.000506	0.003103	0.000753	0.001884	0.000921
		0.000759	0.000205	0.063516	0.000488	0.000933	0.000855	0.000120	0.000680	0.002048	0.000279	0.000119	0.001300	0.000310	0.000136	0.000555	0.000220	0.000410	0.000986	0.000372	0.006449	0.000278	0.000561	0.000842	0.000868	0.000962	0.000428	0.001038	0.000361	0.000082	0.000970	0.000295	0.000529	0.001152	0.001111	0.000142	0.000256	0.002814	0.000831	0.000768	0.000463	0.000876	0.000307	0.001838	0.000039	0.001358	0.000126	0.000172	0.001671	0.000115	0.000441	0.000725	0.000665	0.001272	0.001799	0.001899	0.000473	0.001061	0.000022	0.001210	0.000975	0.003270	0.000353	0.001524	0.000097
		0.002435	0.001031	0.005102	0.000993	0.001274	0.001015	0.000277	0.000610	0.002246	0.001029	0.000196	0.000329	0.000598	0.000120	0.000032	0.000782	0.000073	0.001311	0.002321	0.001408	0.000293	0.004312	0.002763	0.000122	0.000489	0.000989	0.003144	0.000669	0.000862	0.005372	0.000174	0.000742	0.001102	0.000049	0.002600	0.000958	0.000517	0.000438	0.000042	0.000314	0.002336	0.000755	0.000293	0.000272	0.000711	0.000676	0.000665	0.001514	0.000881	0.001425	0.000768	0.001835	0.000501	0.002260	0.001608	0.001324	0.000874	0.000255	0.008086	0.002051	0.002549	0.000762	0.002433	0.000250
	SS per concentration	0.084487	0.003374	0.010335	0.055087	0.246790	0.036578	0.007878	0.130361	0.035673	0.043741	0.039074	0.103952	0.008795	0.002615	0.011091	0.001265	0.000487	0.084166	0.045197	0.002511	0.032925	0.027935	0.053623	0.023445	0.065302	0.004526	0.001127	0.069977	0.022215	0.067035	0.147193	0.019288	0.011294	0.005017	0.001853	0.202762	0.023443	0.031802	0.020755	0.062722	0.100167	0.058100	0.077290	0.002075	0.030330	0.026414	0.347556	0.025284	0.009502	0.065371	0.015087	0.024065	0.011294	0.008472	0.002603	0.081690	0.021556	0.010804	0.075132	0.051789	0.021110	0.001604	0.046234	0.002960
		0.007123	0.001972	1.171100	0.003584	0.004417	0.049151	0.000744	0.004515	0.002598	0.008248	0.004433	0.000658	0.002448	0.001281	0.008621	0.002547	0.002437	0.003535	0.001904	0.003349	0.005841	0.001791	0.013308	0.000804	0.008529	0.002239	0.006265	0.000493	0.009515	0.005003	0.007857	0.005683	0.003617	0.000673	0.016090	0.001206	0.006935	0.005064	0.002945	0.015600	0.002638	0.002460	0.000909	0.004099	0.014050	0.000759	0.007573	0.001465	0.001005	0.002492	0.010944	0.001414	0.003215	0.010785	0.002319	0.000093	0.003613	0.001524	0.001030	0.004537	0.002402	0.003878	0.009249	0.000016
		0.001490	0.006968	0.150088	0.000357	0.000775	0.015525	0.001198	0.000092	0.002029	0.001503	0.005307	0.003618	0.000030	0.000028	0.004380	0.000393	0.001232	0.000122	0.003361	0.000630	0.000662	0.001267	0.000556	0.004915	0.001065	0.000657	0.001645	0.001929	0.000053	0.000047	0.004249	0.000130	0.000331	0.001923	0.000004	0.001630	0.005548	0.004060	0.000885	0.002907	0.000656	0.000713	0.003079	0.001906	0.002732	0.001021	0.006225	0.000950	0.005248	0.002868	0.001722	0.000880	0.000753	0.000002	0.002405	0.000779	0.000887	0.000535	0.002130	0.001012	0.006207	0.001507	0.003769	0.001842
		0.001517	0.000409	0.127032	0.000976	0.001867	0.001710	0.000239	0.001360	0.004096	0.000558	0.000237	0.002600	0.000620	0.000272	0.001111	0.000440	0.000819	0.001972	0.000744	0.012899	0.000556	0.001122	0.001683	0.001736	0.001925	0.000855	0.002076	0.000722	0.000164	0.001940	0.000591	0.001059	0.002305	0.002223	0.000284	0.000511	0.005628	0.001662	0.001536	0.000926	0.001752	0.000615	0.003676	0.000078	0.002715	0.000253	0.000344	0.003341	0.000231	0.000882	0.001451	0.001329	0.002544	0.003599	0.003799	0.000946	0.002122	0.000044	0.002421	0.001950	0.006541	0.000706	0.003048	0.000194
		0.004871	0.002062	0.010203	0.001986	0.002548	0.002031	0.000554	0.001220	0.004492	0.002058	0.000393	0.000657	0.001196	0.000240	0.000064	0.001564	0.000147	0.002621	0.004642	0.002816	0.000587	0.008624	0.005527	0.000243	0.000977	0.001978	0.006288	0.001339	0.001723	0.010744	0.000348	0.001484	0.002203	0.000098	0.005200	0.001916	0.001034	0.000876	0.000085	0.000629	0.004671	0.001510	0.000586	0.000544	0.001422	0.001353	0.001331	0.003027	0.001763	0.002850	0.001535	0.003670	0.001002	0.004520	0.003216	0.002648	0.001748	0.000510	0.016172	0.004102	0.005099	0.001524	0.004866	0.000499
	SSwithin	0.099488	0.014785	1.468758	0.061989	0.256396	0.104993	0.010613	0.137548	0.048888	0.056107	0.049444	0.111484	0.013089	0.004435	0.025266	0.006209	0.005122	0.092416	0.055847	0.022205	0.040570	0.040740	0.074696	0.031143	0.077798	0.010256	0.017401	0.074459	0.033671	0.084770	0.160238	0.027644	0.019751	0.009933	0.023432	0.208025	0.042588	0.043464	0.026207	0.082784	0.109885	0.063397	0.085540	0.008702	0.051249	0.029800	0.363029	0.034067	0.017748	0.074462	0.030739	0.031358	0.018808	0.027377	0.014342	0.086155	0.029926	0.013417	0.096885	0.063389	0.041357	0.009219	0.067167	0.005511
