			AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDKN3	CHD5	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC	ULK2	WSB1
		5.176091259055681	5.202086	5.020226	5.171086	4.900411	4.915081	5.217187	4.883061	5.056151	4.927547	5.368628	5.326143	5.277643	5.098651	5.059533	5.234949	5.159641	5.248642	5.092964	5.197810	5.124208	5.104052	5.146799	5.221018	5.185983	5.339182	5.092763	5.132188	5.167751	5.236891	4.855587	5.022945	4.906078	5.365057	4.719727	5.169520	5.201046	4.952717	5.226348	4.937147	5.142623	5.363940	5.161121	4.757709	4.991575	5.316130	4.953086	5.342965	5.164192	5.250255	5.222224	5.221880	5.050861	5.024285	5.154035	5.421034	5.232373	5.323714	5.054445	5.329414	4.716332	5.299244	5.274397	5.176795
x-mean	3.176091																																																																
SSx	27.857143																																																																
n	3.000000																																																																
alpha	0.950000																																																																
t	6.205347																																																																
			0.057847	0.030971	0.047347	0.120098	0.072551	0.032252	0.086111	0.043664	0.046557	0.053767	0.070553	0.036828	0.031865	0.036865	0.019357	0.025772	0.059404	0.049954	0.046200	0.050468	0.047805	0.048660	0.034376	0.061208	0.025302	0.041071	0.062792	0.040878	0.053458	0.093465	0.038447	0.035364	0.052582	0.040068	0.098955	0.043992	0.048292	0.051244	0.060360	0.071486	0.038198	0.049277	0.054531	0.063014	0.045435	0.123267	0.050042	0.025939	0.051024	0.044640	0.041011	0.032449	0.039032	0.032080	0.053750	0.050219	0.031100	0.059848	0.053056	0.054524	0.040803	0.051568	0.034173
			0.050898	0.027251	0.041660	0.105672	0.063836	0.028378	0.075768	0.038419	0.040965	0.047309	0.062078	0.032404	0.028038	0.032437	0.017032	0.022677	0.052269	0.043953	0.040651	0.044406	0.042063	0.042815	0.030247	0.053856	0.022263	0.036138	0.055250	0.035967	0.047037	0.082238	0.033829	0.031116	0.046266	0.035255	0.087068	0.038708	0.042492	0.045089	0.053110	0.062900	0.033610	0.043358	0.047981	0.055445	0.039978	0.108461	0.044031	0.022823	0.044895	0.039278	0.036085	0.028551	0.034344	0.028227	0.047293	0.044187	0.027364	0.052659	0.046683	0.047975	0.035902	0.045373	0.030068
			0.048361	0.025892	0.039583	0.100404	0.060654	0.026963	0.071990	0.036503	0.038923	0.044950	0.058983	0.030789	0.026640	0.030820	0.016183	0.021546	0.049663	0.041762	0.038624	0.042192	0.039966	0.040681	0.028739	0.051171	0.021153	0.034336	0.052495	0.034174	0.044692	0.078138	0.032142	0.029565	0.043959	0.033498	0.082728	0.036778	0.040373	0.042841	0.050462	0.059764	0.031934	0.041196	0.045589	0.052680	0.037985	0.103054	0.041836	0.021686	0.042657	0.037320	0.034286	0.027128	0.032632	0.026820	0.044936	0.041984	0.026000	0.050034	0.044356	0.045583	0.034112	0.043111	0.028569
			0.050898	0.027251	0.041660	0.105672	0.063836	0.028378	0.075768	0.038419	0.040965	0.047309	0.062078	0.032404	0.028038	0.032437	0.017032	0.022677	0.052269	0.043953	0.040651	0.044406	0.042063	0.042815	0.030247	0.053856	0.022263	0.036138	0.055250	0.035967	0.047037	0.082238	0.033829	0.031116	0.046266	0.035255	0.087068	0.038708	0.042492	0.045089	0.053110	0.062900	0.033610	0.043358	0.047981	0.055445	0.039978	0.108461	0.044031	0.022823	0.044895	0.039278	0.036085	0.028551	0.034344	0.028227	0.047293	0.044187	0.027364	0.052659	0.046683	0.047975	0.035902	0.045373	0.030068
			0.057847	0.030971	0.047347	0.120098	0.072551	0.032252	0.086111	0.043664	0.046557	0.053767	0.070553	0.036828	0.031865	0.036865	0.019357	0.025772	0.059404	0.049954	0.046200	0.050468	0.047805	0.048660	0.034376	0.061208	0.025302	0.041071	0.062792	0.040878	0.053458	0.093465	0.038447	0.035364	0.052582	0.040068	0.098955	0.043992	0.048292	0.051244	0.060360	0.071486	0.038198	0.049277	0.054531	0.063014	0.045435	0.123267	0.050042	0.025939	0.051024	0.044640	0.041011	0.032449	0.039032	0.032080	0.053750	0.050219	0.031100	0.059848	0.053056	0.054524	0.040803	0.051568	0.034173
																																																																	
		log(upper)																																																															
			1.487554	0.941702	1.363419	1.300281	0.984259	1.179699	1.113920	1.168609	0.831497	1.394610	1.654452	1.406456	1.204245	1.043570	1.249596	1.087280	1.471162	1.180528	1.348438	1.250268	1.215983	1.302299	1.312189	1.499473	1.419371	1.301606	1.307049	1.430440	1.524262	1.110260	1.006198	0.836772	1.735732	0.861045	1.883382	1.254643	0.860930	1.258121	1.107910	1.436852	1.491899	1.211507	0.936471	0.980654	1.463950	1.639899	1.545650	1.158741	1.426031	1.405030	1.222981	1.042590	1.070617	1.208472	1.684806	1.527390	1.411876	1.248671	1.543291	0.690505	1.210078	1.540878	1.223276
			2.406110	1.984596	2.312625	2.333786	1.951178	2.228711	2.182939	2.174426	1.829297	2.516474	2.599098	2.370423	2.148709	2.083699	2.284174	2.095893	2.473169	2.142438	2.288553	2.217331	2.136736	2.296205	2.330848	2.367803	2.352677	2.172173	2.257705	2.332698	2.469482	1.994964	1.993034	1.891748	2.505556	1.772743	2.559007	2.339576	1.911946	2.375478	1.986777	2.332513	2.476909	2.251468	1.761298	2.096349	2.348021	2.408031	2.416655	2.211715	2.472910	2.332871	2.308219	2.073228	2.034268	2.147445	2.606200	2.381763	2.353096	2.205610	2.502368	1.602229	2.379923	2.539620	2.148498
			3.458008	3.023348	3.352561	3.430070	3.114862	3.301212	3.226286	3.227888	2.979273	3.575466	3.619225	3.437757	3.227831	3.167610	3.309668	3.160654	3.512199	3.235819	3.345029	3.253289	3.297741	3.384887	3.355437	3.414936	3.378853	3.302027	3.312152	3.365825	3.490184	3.189262	3.051144	3.001889	3.570922	2.893688	3.655125	3.391051	3.057770	3.434701	3.110435	3.414376	3.547217	3.325172	2.917323	3.191223	3.482522	3.488899	3.505055	3.247450	3.512564	3.393526	3.401211	3.167394	3.136644	3.226276	3.651621	3.441404	3.462320	3.331543	3.547518	2.795985	3.441118	3.526512	3.267682
			4.467898	4.133556	4.362879	4.493530	4.225229	4.298348	4.251849	4.221872	4.070782	4.560160	4.664711	4.404632	4.185208	4.155416	4.308958	4.180487	4.507796	4.266818	4.280696	4.285458	4.312797	4.342245	4.362292	4.433050	4.424493	4.290205	4.385148	4.324420	4.511289	4.225593	4.128810	4.038654	4.586305	3.895475	4.650961	4.405171	4.102573	4.435210	4.172848	4.430422	4.492815	4.360169	3.917299	4.264194	4.502951	4.527624	4.534500	4.222959	4.500281	4.401736	4.402699	4.176396	4.151599	4.233586	4.655941	4.424084	4.442280	4.344004	4.548661	3.925419	4.463777	4.508604	4.264547
			5.561045	5.212412	5.464890	5.645657	5.365285	5.417324	5.417411	5.327099	5.216450	5.702271	5.763949	5.506172	5.296385	5.288297	5.355065	5.319567	5.617264	5.402945	5.484499	5.437379	5.400701	5.448751	5.434332	5.565801	5.496191	5.347625	5.521836	5.421410	5.568619	5.435571	5.261521	5.125523	5.691345	4.968365	5.783568	5.474035	5.252387	5.544335	5.311703	5.586221	5.600973	5.466901	5.096096	5.382596	5.598073	5.718003	5.653490	5.325154	5.566878	5.499233	5.476370	5.252217	5.266495	5.353106	5.754570	5.544001	5.516701	5.425825	5.658645	5.054674	5.552439	5.594392	5.388851
		log(lower)																																																															
			0.769636	0.557329	0.775811	-0.190212	0.083853	0.779426	0.045220	0.626714	0.253690	0.727322	0.778842	0.949399	0.808777	0.586044	1.009365	0.767427	0.733917	0.560567	0.775060	0.623925	0.622687	0.698395	0.885562	0.739836	1.105353	0.791883	0.527753	0.923121	0.860806	-0.049707	0.529047	0.397882	1.083155	0.363770	0.655287	0.708666	0.261589	0.622147	0.358799	0.549656	1.017832	0.599946	0.259698	0.198612	0.900064	0.110066	0.924598	0.836817	0.792787	0.851012	0.714002	0.639878	0.586198	0.810331	1.017734	0.904135	1.025904	0.505913	0.884830	0.013820	0.703688	0.900888	0.799163
			1.774426	1.646392	1.795599	1.022327	1.158926	1.876517	1.242608	1.697622	1.320896	1.929339	1.828664	1.968266	1.800744	1.681129	2.072799	1.814461	1.824479	1.596945	1.784048	1.666222	1.614705	1.764841	1.955466	1.699411	2.076379	1.723677	1.572016	1.886317	1.885718	0.974329	1.573197	1.505576	1.931365	1.335199	1.478427	1.859181	1.384597	1.815895	1.327647	1.551885	2.059787	1.713366	1.165818	1.408243	1.851867	1.061958	1.870202	1.928460	1.915729	1.845400	1.860377	1.718889	1.608036	1.797128	2.019256	1.833371	2.013485	1.552070	1.923000	1.006826	1.934359	1.976504	1.775328
			2.857816	2.702005	2.861311	2.183992	2.362107	2.966576	2.332835	2.774855	2.496217	3.017602	2.887200	3.055649	2.897213	2.785110	3.108830	2.893252	2.895849	2.717521	2.865676	2.729656	2.801736	2.880012	2.998769	2.779867	3.116329	2.875889	2.660648	2.941698	2.935524	2.219510	2.652237	2.634970	3.025357	2.477957	2.628416	2.934605	2.556712	2.903015	2.484166	2.672665	3.150890	2.813896	2.351530	2.537422	3.011103	2.209933	2.985845	2.978316	2.983161	2.930357	2.975696	2.830719	2.731661	2.893423	3.093938	2.920352	3.139641	2.710584	2.997033	2.230265	3.017767	2.991469	2.913116
			3.836214	3.795353	3.845853	3.182070	3.432977	3.946155	3.311519	3.745068	3.562380	3.973026	3.894276	4.002475	3.837243	3.752846	4.097583	3.899055	3.859107	3.721325	3.776191	3.734350	3.790766	3.810880	3.986910	3.764659	4.148195	3.841709	3.699459	3.878039	3.927525	3.204957	3.708972	3.652482	4.012114	3.457931	3.570381	3.924776	3.575223	3.875627	3.513718	3.649794	4.075692	3.822067	3.321819	3.576088	4.006797	3.181551	3.988047	3.939704	3.943101	3.914265	3.954857	3.822057	3.725366	3.883269	4.068996	3.875692	4.102669	3.690464	3.969293	3.330016	4.018213	3.945488	3.891378
			4.843127	4.828039	4.877282	4.155164	4.464878	5.017051	4.348711	4.785204	4.638644	5.034984	4.888338	5.049114	4.900917	4.830770	5.114833	4.999715	4.880019	4.782984	4.911121	4.811036	4.807404	4.844847	5.007705	4.806165	5.182174	4.837902	4.742540	4.914091	4.905163	4.275604	4.784369	4.686633	5.038768	4.471090	4.555473	4.928058	4.653047	4.908361	4.562591	4.699025	5.126907	4.855340	4.419323	4.600554	5.034187	4.188170	5.032439	5.003230	4.933633	4.945215	4.967391	4.849505	4.782075	4.954965	5.087498	4.920745	5.130728	4.683066	5.000184	4.377989	5.046049	4.954402	4.964739
																																																																	
		upper																																																															
			3.073e+01	8.744e+00	2.309e+01	1.997e+01	9.644e+00	1.513e+01	1.300e+01	1.474e+01	6.784e+00	2.481e+01	4.513e+01	2.550e+01	1.600e+01	1.106e+01	1.777e+01	1.223e+01	2.959e+01	1.515e+01	2.231e+01	1.779e+01	1.644e+01	2.006e+01	2.052e+01	3.158e+01	2.626e+01	2.003e+01	2.028e+01	2.694e+01	3.344e+01	1.289e+01	1.014e+01	6.867e+00	5.442e+01	7.262e+00	7.645e+01	1.797e+01	7.260e+00	1.812e+01	1.282e+01	2.734e+01	3.104e+01	1.627e+01	8.639e+00	9.564e+00	2.910e+01	4.364e+01	3.513e+01	1.441e+01	2.667e+01	2.541e+01	1.671e+01	1.103e+01	1.177e+01	1.616e+01	4.840e+01	3.368e+01	2.582e+01	1.773e+01	3.494e+01	4.903e+00	1.622e+01	3.474e+01	1.672e+01
			2.547e+02	9.652e+01	2.054e+02	2.157e+02	8.937e+01	1.693e+02	1.524e+02	1.494e+02	6.750e+01	3.285e+02	3.973e+02	2.347e+02	1.408e+02	1.213e+02	1.924e+02	1.247e+02	2.973e+02	1.388e+02	1.943e+02	1.649e+02	1.370e+02	1.978e+02	2.142e+02	2.332e+02	2.253e+02	1.487e+02	1.810e+02	2.151e+02	2.948e+02	9.885e+01	9.841e+01	7.794e+01	3.203e+02	5.926e+01	3.622e+02	2.186e+02	8.165e+01	2.374e+02	9.700e+01	2.150e+02	2.999e+02	1.784e+02	5.772e+01	1.248e+02	2.229e+02	2.559e+02	2.610e+02	1.628e+02	2.971e+02	2.152e+02	2.033e+02	1.184e+02	1.082e+02	1.404e+02	4.038e+02	2.409e+02	2.255e+02	1.605e+02	3.180e+02	4.002e+01	2.398e+02	3.464e+02	1.408e+02
			2.871e+03	1.055e+03	2.252e+03	2.692e+03	1.303e+03	2.001e+03	1.684e+03	1.690e+03	9.534e+02	3.762e+03	4.161e+03	2.740e+03	1.690e+03	1.471e+03	2.040e+03	1.448e+03	3.252e+03	1.721e+03	2.213e+03	1.792e+03	1.985e+03	2.426e+03	2.267e+03	2.600e+03	2.393e+03	2.005e+03	2.052e+03	2.322e+03	3.092e+03	1.546e+03	1.125e+03	1.004e+03	3.723e+03	7.829e+02	4.520e+03	2.461e+03	1.142e+03	2.721e+03	1.290e+03	2.596e+03	3.525e+03	2.114e+03	8.267e+02	1.553e+03	3.038e+03	3.082e+03	3.199e+03	1.768e+03	3.255e+03	2.475e+03	2.519e+03	1.470e+03	1.370e+03	1.684e+03	4.484e+03	2.763e+03	2.899e+03	2.146e+03	3.528e+03	6.252e+02	2.761e+03	3.361e+03	1.852e+03
			2.937e+04	1.360e+04	2.306e+04	3.116e+04	1.680e+04	1.988e+04	1.786e+04	1.667e+04	1.177e+04	3.632e+04	4.621e+04	2.539e+04	1.532e+04	1.430e+04	2.037e+04	1.515e+04	3.220e+04	1.848e+04	1.909e+04	1.930e+04	2.055e+04	2.199e+04	2.303e+04	2.711e+04	2.658e+04	1.951e+04	2.427e+04	2.111e+04	3.246e+04	1.681e+04	1.345e+04	1.093e+04	3.857e+04	7.861e+03	4.477e+04	2.542e+04	1.266e+04	2.724e+04	1.489e+04	2.694e+04	3.110e+04	2.292e+04	8.266e+03	1.837e+04	3.184e+04	3.370e+04	3.424e+04	1.671e+04	3.164e+04	2.522e+04	2.528e+04	1.501e+04	1.418e+04	1.712e+04	4.528e+04	2.655e+04	2.769e+04	2.208e+04	3.537e+04	8.422e+03	2.909e+04	3.226e+04	1.839e+04
			3.640e+05	1.631e+05	2.917e+05	4.422e+05	2.319e+05	2.614e+05	2.615e+05	2.124e+05	1.646e+05	5.038e+05	5.807e+05	3.208e+05	1.979e+05	1.942e+05	2.265e+05	2.087e+05	4.143e+05	2.529e+05	3.051e+05	2.738e+05	2.516e+05	2.810e+05	2.719e+05	3.680e+05	3.135e+05	2.227e+05	3.325e+05	2.639e+05	3.704e+05	2.726e+05	1.826e+05	1.335e+05	4.913e+05	9.297e+04	6.075e+05	2.979e+05	1.788e+05	3.502e+05	2.050e+05	3.857e+05	3.990e+05	2.930e+05	1.248e+05	2.413e+05	3.963e+05	5.224e+05	4.503e+05	2.114e+05	3.689e+05	3.157e+05	2.995e+05	1.787e+05	1.847e+05	2.255e+05	5.683e+05	3.499e+05	3.286e+05	2.666e+05	4.557e+05	1.134e+05	3.568e+05	3.930e+05	2.448e+05
		lower																																																															
			5.883e+00	3.609e+00	5.968e+00	6.453e-01	1.213e+00	6.018e+00	1.110e+00	4.234e+00	1.793e+00	5.337e+00	6.010e+00	8.900e+00	6.438e+00	3.855e+00	1.022e+01	5.854e+00	5.419e+00	3.636e+00	5.957e+00	4.207e+00	4.195e+00	4.993e+00	7.684e+00	5.493e+00	1.275e+01	6.193e+00	3.371e+00	8.378e+00	7.258e+00	8.919e-01	3.381e+00	2.500e+00	1.211e+01	2.311e+00	4.522e+00	5.113e+00	1.826e+00	4.189e+00	2.285e+00	3.545e+00	1.042e+01	3.981e+00	1.818e+00	1.580e+00	7.944e+00	1.288e+00	8.406e+00	6.868e+00	6.206e+00	7.096e+00	5.176e+00	4.364e+00	3.857e+00	6.461e+00	1.042e+01	8.019e+00	1.061e+01	3.206e+00	7.671e+00	1.032e+00	5.055e+00	7.960e+00	6.297e+00
			5.949e+01	4.430e+01	6.246e+01	1.053e+01	1.442e+01	7.525e+01	1.748e+01	4.985e+01	2.094e+01	8.498e+01	6.740e+01	9.295e+01	6.320e+01	4.799e+01	1.182e+02	6.523e+01	6.675e+01	3.953e+01	6.082e+01	4.637e+01	4.118e+01	5.819e+01	9.025e+01	5.005e+01	1.192e+02	5.293e+01	3.733e+01	7.697e+01	7.686e+01	9.426e+00	3.743e+01	3.203e+01	8.538e+01	2.164e+01	3.009e+01	7.231e+01	2.424e+01	6.545e+01	2.126e+01	3.564e+01	1.148e+02	5.169e+01	1.465e+01	2.560e+01	7.110e+01	1.153e+01	7.417e+01	8.481e+01	8.236e+01	7.005e+01	7.251e+01	5.235e+01	4.055e+01	6.268e+01	1.045e+02	6.814e+01	1.032e+02	3.565e+01	8.375e+01	1.016e+01	8.597e+01	9.473e+01	5.961e+01
			7.208e+02	5.035e+02	7.266e+02	1.528e+02	2.302e+02	9.259e+02	2.152e+02	5.955e+02	3.135e+02	1.041e+03	7.713e+02	1.137e+03	7.892e+02	6.097e+02	1.285e+03	7.821e+02	7.868e+02	5.218e+02	7.340e+02	5.366e+02	6.335e+02	7.586e+02	9.972e+02	6.024e+02	1.307e+03	7.514e+02	4.578e+02	8.744e+02	8.620e+02	1.658e+02	4.490e+02	4.315e+02	1.060e+03	3.006e+02	4.250e+02	8.602e+02	3.603e+02	7.999e+02	3.049e+02	4.706e+02	1.415e+03	6.515e+02	2.247e+02	3.447e+02	1.026e+03	1.622e+02	9.679e+02	9.513e+02	9.620e+02	8.518e+02	9.456e+02	6.772e+02	5.391e+02	7.824e+02	1.241e+03	8.324e+02	1.379e+03	5.136e+02	9.932e+02	1.699e+02	1.042e+03	9.805e+02	8.187e+02
			6.858e+03	6.242e+03	7.012e+03	1.521e+03	2.710e+03	8.834e+03	2.049e+03	5.560e+03	3.651e+03	9.398e+03	7.839e+03	1.006e+04	6.875e+03	5.660e+03	1.252e+04	7.926e+03	7.229e+03	5.264e+03	5.973e+03	5.424e+03	6.177e+03	6.470e+03	9.703e+03	5.816e+03	1.407e+04	6.946e+03	5.006e+03	7.552e+03	8.463e+03	1.603e+03	5.116e+03	4.492e+03	1.028e+04	2.870e+03	3.719e+03	8.410e+03	3.760e+03	7.510e+03	3.264e+03	4.465e+03	1.190e+04	6.638e+03	2.098e+03	3.768e+03	1.016e+04	1.519e+03	9.729e+03	8.704e+03	8.772e+03	8.209e+03	9.013e+03	6.638e+03	5.313e+03	7.643e+03	1.172e+04	7.511e+03	1.267e+04	4.903e+03	9.317e+03	2.138e+03	1.043e+04	8.820e+03	7.787e+03
			6.968e+04	6.730e+04	7.538e+04	1.429e+04	2.917e+04	1.040e+05	2.232e+04	6.098e+04	4.352e+04	1.084e+05	7.733e+04	1.120e+05	7.960e+04	6.773e+04	1.303e+05	9.993e+04	7.586e+04	6.067e+04	8.149e+04	6.472e+04	6.418e+04	6.996e+04	1.018e+05	6.400e+04	1.521e+05	6.885e+04	5.528e+04	8.205e+04	8.038e+04	1.886e+04	6.087e+04	4.860e+04	1.093e+05	2.959e+04	3.593e+04	8.473e+04	4.498e+04	8.098e+04	3.653e+04	5.001e+04	1.339e+05	7.167e+04	2.626e+04	3.986e+04	1.082e+05	1.542e+04	1.078e+05	1.007e+05	8.583e+04	8.815e+04	9.277e+04	7.071e+04	6.054e+04	9.015e+04	1.223e+05	8.332e+04	1.351e+05	4.820e+04	1.000e+05	2.388e+04	1.112e+05	9.003e+04	9.220e+04
		mean																																																															
			1.345e+01	5.617e+00	1.174e+01	3.590e+00	3.420e+00	9.540e+00	3.798e+00	7.901e+00	3.488e+00	1.151e+01	1.647e+01	1.506e+01	1.015e+01	6.528e+00	1.347e+01	8.460e+00	1.266e+01	7.422e+00	1.153e+01	8.652e+00	8.305e+00	1.001e+01	1.256e+01	1.317e+01	1.830e+01	1.114e+01	8.268e+00	1.502e+01	1.558e+01	3.391e+00	5.856e+00	4.143e+00	2.567e+01	4.096e+00	1.859e+01	9.586e+00	3.641e+00	8.712e+00	5.412e+00	9.846e+00	1.798e+01	8.049e+00	3.964e+00	3.887e+00	1.521e+01	7.499e+00	1.718e+01	9.949e+00	1.286e+01	1.343e+01	9.300e+00	6.938e+00	6.736e+00	1.022e+01	2.245e+01	1.643e+01	1.655e+01	7.539e+00	1.637e+01	2.250e+00	9.055e+00	1.663e+01	1.026e+01
			1.231e+02	6.539e+01	1.133e+02	4.765e+01	3.590e+01	1.129e+02	5.161e+01	8.630e+01	3.759e+01	1.671e+02	1.636e+02	1.477e+02	9.435e+01	7.628e+01	1.508e+02	9.019e+01	1.409e+02	7.408e+01	1.087e+02	8.745e+01	7.511e+01	1.073e+02	1.390e+02	1.080e+02	1.639e+02	8.870e+01	8.220e+01	1.287e+02	1.505e+02	3.052e+01	6.069e+01	4.996e+01	1.654e+02	3.581e+01	1.044e+02	1.257e+02	4.449e+01	1.246e+02	4.542e+01	8.754e+01	1.855e+02	9.603e+01	2.908e+01	5.653e+01	1.259e+02	5.432e+01	1.391e+02	1.175e+02	1.564e+02	1.228e+02	1.214e+02	7.872e+01	6.624e+01	9.382e+01	2.055e+02	1.281e+02	1.525e+02	7.566e+01	1.632e+02	2.016e+01	1.436e+02	1.812e+02	9.160e+01
			1.439e+03	7.289e+02	1.279e+03	6.413e+02	5.476e+02	1.361e+03	6.020e+02	1.003e+03	5.467e+02	1.979e+03	1.791e+03	1.765e+03	1.155e+03	9.470e+02	1.619e+03	1.064e+03	1.600e+03	9.477e+02	1.275e+03	9.806e+02	1.121e+03	1.357e+03	1.503e+03	1.251e+03	1.768e+03	1.227e+03	9.692e+02	1.425e+03	1.633e+03	5.063e+02	7.107e+02	6.583e+02	1.987e+03	4.851e+02	1.386e+03	1.455e+03	6.416e+02	1.475e+03	6.270e+02	1.105e+03	2.234e+03	1.174e+03	4.309e+02	7.317e+02	1.765e+03	7.070e+02	1.760e+03	1.297e+03	1.770e+03	1.452e+03	1.543e+03	9.978e+02	8.593e+02	1.148e+03	2.359e+03	1.517e+03	2.000e+03	1.050e+03	1.872e+03	3.259e+02	1.696e+03	1.815e+03	1.231e+03
			1.419e+04	9.214e+03	1.272e+04	6.883e+03	6.747e+03	1.325e+04	6.049e+03	9.627e+03	6.555e+03	1.848e+04	1.903e+04	1.598e+04	1.026e+04	8.998e+03	1.597e+04	1.096e+04	1.526e+04	9.864e+03	1.068e+04	1.023e+04	1.127e+04	1.193e+04	1.495e+04	1.256e+04	1.934e+04	1.164e+04	1.102e+04	1.262e+04	1.657e+04	5.191e+03	8.296e+03	7.008e+03	1.992e+04	4.750e+03	1.290e+04	1.462e+04	6.901e+03	1.430e+04	6.971e+03	1.097e+04	1.924e+04	1.233e+04	4.164e+03	8.320e+03	1.798e+04	7.155e+03	1.825e+04	1.206e+04	1.666e+04	1.439e+04	1.509e+04	9.982e+03	8.679e+03	1.144e+04	2.304e+04	1.412e+04	1.873e+04	1.040e+04	1.815e+04	4.243e+03	1.742e+04	1.687e+04	1.197e+04
			1.593e+05	1.048e+05	1.483e+05	7.951e+04	8.224e+04	1.649e+05	7.639e+04	1.138e+05	8.463e+04	2.337e+05	2.119e+05	1.895e+05	1.255e+05	1.147e+05	1.718e+05	1.444e+05	1.773e+05	1.239e+05	1.577e+05	1.331e+05	1.271e+05	1.402e+05	1.663e+05	1.535e+05	2.184e+05	1.238e+05	1.356e+05	1.471e+05	1.725e+05	7.171e+04	1.054e+05	8.055e+04	2.318e+05	5.245e+04	1.477e+05	1.589e+05	8.968e+04	1.684e+05	8.653e+04	1.389e+05	2.312e+05	1.449e+05	5.724e+04	9.808e+04	2.071e+05	8.976e+04	2.203e+05	1.459e+05	1.779e+05	1.668e+05	1.667e+05	1.124e+05	1.058e+05	1.426e+05	2.637e+05	1.708e+05	2.107e+05	1.134e+05	2.135e+05	5.204e+04	1.992e+05	1.881e+05	1.502e+05
		fold up																																																															
			2.285384	1.556634	1.966998	5.562201	2.819702	1.585392	3.422551	1.866154	1.944926	2.155975	2.740344	1.692501	1.576645	1.693414	1.318608	1.445195	2.336805	2.041646	1.935035	2.056703	1.979922	2.004251	1.634232	2.397830	1.435518	1.798298	2.452720	1.793327	2.146486	3.801751	1.732111	1.657467	2.119768	1.772709	4.111949	1.874944	1.993748	2.079636	2.368949	2.777141	1.725969	2.021997	2.179648	2.460487	1.914005	5.819912	2.044212	1.448645	2.073109	1.892384	1.796757	1.589849	1.746666	1.581504	2.155439	2.049406	1.559503	2.351685	2.134176	2.179427	1.791411	2.089272	1.629508
			2.069388	1.476052	1.813481	4.526157	2.489580	1.500019	2.952333	1.731418	1.795564	1.965927	2.427823	1.588834	1.492735	1.589589	1.275522	1.382663	2.110302	1.873900	1.787527	1.886054	1.823961	1.843667	1.540604	2.158716	1.374514	1.675901	2.202138	1.671824	1.958312	3.238304	1.621506	1.559861	1.936848	1.654900	3.469684	1.738592	1.835163	1.904546	2.135822	2.456485	1.616446	1.858022	1.984908	2.208273	1.770422	4.710172	1.875972	1.385567	1.899286	1.752813	1.674637	1.503729	1.633489	1.496782	1.965496	1.880165	1.478445	2.122121	1.948426	1.984731	1.670252	1.912309	1.536685
			1.995704	1.447675	1.760456	4.197967	2.378908	1.470001	2.797214	1.684678	1.743926	1.900780	2.322804	1.552580	1.463218	1.553281	1.260140	1.360508	2.033175	1.816139	1.736508	1.827329	1.770121	1.788287	1.507766	2.077469	1.352888	1.633310	2.117154	1.629535	1.893784	3.054051	1.582900	1.525667	1.874057	1.613858	3.261027	1.691309	1.780449	1.844348	2.056530	2.348851	1.578206	1.801514	1.918213	2.122757	1.720716	4.359968	1.818046	1.363223	1.839508	1.704451	1.632140	1.473455	1.594012	1.466987	1.900385	1.821907	1.449906	2.043993	1.884700	1.918050	1.628079	1.851489	1.504121
			2.069388	1.476052	1.813481	4.526157	2.489580	1.500019	2.952333	1.731418	1.795564	1.965927	2.427823	1.588834	1.492735	1.589589	1.275522	1.382663	2.110302	1.873900	1.787527	1.886054	1.823961	1.843667	1.540604	2.158716	1.374514	1.675901	2.202138	1.671824	1.958312	3.238304	1.621506	1.559861	1.936848	1.654900	3.469684	1.738592	1.835163	1.904546	2.135822	2.456485	1.616446	1.858022	1.984908	2.208273	1.770422	4.710172	1.875972	1.385567	1.899286	1.752813	1.674637	1.503729	1.633489	1.496782	1.965496	1.880165	1.478445	2.122121	1.948426	1.984731	1.670252	1.912309	1.536685
			2.285384	1.556634	1.966998	5.562201	2.819702	1.585392	3.422551	1.866154	1.944926	2.155975	2.740344	1.692501	1.576645	1.693414	1.318608	1.445195	2.336805	2.041646	1.935035	2.056703	1.979922	2.004251	1.634232	2.397830	1.435518	1.798298	2.452720	1.793327	2.146486	3.801751	1.732111	1.657467	2.119768	1.772709	4.111949	1.874944	1.993748	2.079636	2.368949	2.777141	1.725969	2.021997	2.179648	2.460487	1.914005	5.819912	2.044212	1.448645	2.073109	1.892384	1.796757	1.589849	1.746666	1.581504	2.155439	2.049406	1.559503	2.351685	2.134176	2.179427	1.791411	2.089272	1.629508
		fold down																																																															
