			AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		1.1760912590556813	-8.915346	-8.767578	-7.320904	-8.957440	-9.179640	-9.269153	-8.745608	-9.225848	-9.097995	-8.899431	-9.150929	-9.124894	-8.927311	-9.075451	-9.148091	-8.576259	-8.816463	-9.084021	-9.094247	-8.950252	-8.833146	-9.143569	-8.977598	-9.000475	-8.986843	-8.883689	-9.018304	-8.915664	-8.895772	-9.001632	-9.183523	-8.924607	-9.424775	-8.332838	-9.228630	-8.801435	-9.016213	-9.061598	-9.098102	-9.129670	-8.822551	-8.785093	-9.007709	-9.411654	-9.344298	-8.866698	-9.164390	-8.620183	-9.098717	-9.107195	-8.518615	-9.092585	-9.104380	-9.103061	-8.958213	-8.803997	-8.814021	-8.937549	-9.068637	-8.963066	-9.147258	-8.778466	-8.888442	-8.888056
		2.1760912590556813	-8.038615	-7.845442	-6.790553	-8.055935	-8.200768	-8.339405	-7.813531	-8.191893	-8.143577	-7.843392	-8.240589	-8.178468	-8.023652	-8.176531	-8.161422	-7.660353	-7.897793	-8.126990	-8.214495	-8.036417	-7.930779	-8.277231	-8.040079	-8.030169	-8.144310	-8.016986	-8.187933	-8.020724	-8.045719	-8.100014	-8.333500	-8.023579	-8.419475	-7.615447	-8.369198	-8.109148	-8.015389	-8.100545	-8.039319	-8.280682	-7.969293	-7.847092	-8.027561	-8.609179	-8.296796	-8.047454	-8.366593	-7.812821	-8.117925	-8.096165	-7.671505	-8.057526	-8.144404	-8.204081	-8.067212	-7.904322	-8.009405	-8.039546	-8.156382	-8.031648	-8.302869	-7.716040	-7.923623	-8.024142
		3.1760912590556813	-7.053874	-6.933588	-6.878119	-7.092114	-7.172000	-7.282520	-6.831530	-7.238408	-7.184684	-6.868930	-7.214591	-7.208927	-7.028375	-7.178480	-7.166907	-6.740388	-6.954684	-7.134400	-7.188380	-7.076670	-7.002085	-7.197815	-7.039150	-7.069101	-7.142063	-7.043891	-7.153841	-7.063206	-7.076122	-7.131074	-7.250410	-7.069199	-7.394710	-6.666639	-7.362910	-7.087886	-7.028768	-7.078280	-7.053886	-7.259299	-6.991567	-6.880987	-7.059281	-7.537622	-7.280026	-6.977772	-7.336485	-6.816318	-7.159191	-7.123106	-6.728216	-7.049149	-7.145188	-7.193042	-7.077968	-6.934650	-7.024464	-7.016862	-7.124424	-7.066691	-7.265127	-6.761829	-7.001312	-6.998862
		4.176091259055681	-6.150914	-5.976870	-6.558329	-6.177066	-6.257386	-6.309437	-5.965887	-6.337496	-6.279644	-5.999419	-6.251298	-6.236018	-6.154021	-6.306232	-6.275819	-5.875108	-6.042686	-6.244393	-6.270844	-6.270426	-6.095481	-6.271103	-6.181297	-6.155429	-6.240125	-6.102878	-6.253757	-6.120799	-6.210081	-6.225338	-6.356675	-6.130945	-6.454211	-5.785245	-6.453875	-6.198374	-6.115117	-6.175059	-6.145430	-6.322102	-6.097507	-6.011589	-6.129348	-6.647682	-6.326839	-6.069882	-6.438900	-5.924320	-6.253473	-6.223039	-5.861532	-6.136048	-6.256288	-6.300234	-6.174464	-6.022069	-6.138780	-6.125290	-6.220658	-6.153978	-6.312853	-5.883420	-6.123120	-6.110942
		5.176091259055681	-5.189635	-5.060191	-5.739426	-5.206046	-5.300578	-5.323241	-4.985967	-5.352755	-5.303310	-4.988691	-5.258468	-5.245729	-5.151603	-5.311524	-5.266492	-4.944248	-5.057518	-5.232580	-5.273591	-5.219652	-5.103836	-5.314677	-5.202447	-5.193153	-5.254293	-5.111152	-5.317480	-5.130307	-5.237236	-5.264035	-5.343265	-5.149350	-5.482843	-4.836247	-5.526123	-5.221085	-5.162907	-5.192480	-5.162049	-5.332897	-5.110227	-5.023881	-5.154729	-5.602966	-5.344302	-5.083376	-5.410632	-4.941739	-5.278824	-5.248154	-4.926483	-5.177459	-5.285647	-5.298431	-5.170782	-5.048265	-5.151156	-5.128592	-5.277142	-5.148422	-5.339011	-4.933829	-5.144160	-5.122564
x-mean	3.176091																																																																	
SSx	27.857143																																																																	
n	3.000000																																																																	
alpha	0.950000																																																																	
t	6.205347																																																																	
			0.054521	0.026258	0.258121	0.043428	0.107997	0.060885	0.033497	0.082004	0.039463	0.050440	0.042646	0.066607	0.034133	0.028869	0.033862	0.018370	0.021794	0.060023	0.047712	0.046033	0.043144	0.046338	0.043613	0.030199	0.054141	0.028740	0.036267	0.056952	0.035096	0.051710	0.083424	0.033007	0.030180	0.046624	0.033445	0.090021	0.039524	0.042302	0.047552	0.052399	0.064263	0.030607	0.043376	0.048076	0.061423	0.046401	0.117337	0.047477	0.021311	0.047333	0.037970	0.037585	0.029230	0.036108	0.030097	0.049403	0.046454	0.028595	0.055983	0.048789	0.045388	0.038059	0.047915	0.031411
			0.047972	0.023104	0.227117	0.038211	0.095025	0.053572	0.029473	0.072154	0.034723	0.044381	0.037523	0.058607	0.030033	0.025402	0.029795	0.016164	0.019177	0.052813	0.041981	0.040504	0.037962	0.040772	0.038374	0.026571	0.047638	0.025288	0.031910	0.050111	0.030880	0.045499	0.073403	0.029042	0.026555	0.041024	0.029428	0.079208	0.034776	0.037220	0.041841	0.046105	0.056544	0.026931	0.038166	0.042302	0.054045	0.040827	0.103243	0.041774	0.018751	0.041647	0.033409	0.033071	0.025719	0.031770	0.026482	0.043469	0.040874	0.025161	0.049258	0.042928	0.039936	0.033488	0.042160	0.027638
			0.045580	0.021952	0.215794	0.036306	0.090287	0.050901	0.028004	0.068557	0.032992	0.042168	0.035653	0.055685	0.028535	0.024135	0.028309	0.015358	0.018221	0.050180	0.039888	0.038485	0.036069	0.038740	0.036461	0.025247	0.045263	0.024027	0.030320	0.047613	0.029341	0.043231	0.069744	0.027594	0.025231	0.038979	0.027960	0.075259	0.033042	0.035365	0.039755	0.043806	0.053725	0.025588	0.036263	0.040193	0.051351	0.038792	0.098096	0.039691	0.017816	0.039571	0.031743	0.031422	0.024437	0.030187	0.025161	0.041302	0.038836	0.023906	0.046803	0.040788	0.037945	0.031818	0.040058	0.026260
			0.047972	0.023104	0.227117	0.038211	0.095025	0.053572	0.029473	0.072154	0.034723	0.044381	0.037523	0.058607	0.030033	0.025402	0.029795	0.016164	0.019177	0.052813	0.041981	0.040504	0.037962	0.040772	0.038374	0.026571	0.047638	0.025288	0.031910	0.050111	0.030880	0.045499	0.073403	0.029042	0.026555	0.041024	0.029428	0.079208	0.034776	0.037220	0.041841	0.046105	0.056544	0.026931	0.038166	0.042302	0.054045	0.040827	0.103243	0.041774	0.018751	0.041647	0.033409	0.033071	0.025719	0.031770	0.026482	0.043469	0.040874	0.025161	0.049258	0.042928	0.039936	0.033488	0.042160	0.027638
			0.054521	0.026258	0.258121	0.043428	0.107997	0.060885	0.033497	0.082004	0.039463	0.050440	0.042646	0.066607	0.034133	0.028869	0.033862	0.018370	0.021794	0.060023	0.047712	0.046033	0.043144	0.046338	0.043613	0.030199	0.054141	0.028740	0.036267	0.056952	0.035096	0.051710	0.083424	0.033007	0.030180	0.046624	0.033445	0.090021	0.039524	0.042302	0.047552	0.052399	0.064263	0.030607	0.043376	0.048076	0.061423	0.046401	0.117337	0.047477	0.021311	0.047333	0.037970	0.037585	0.029230	0.036108	0.030097	0.049403	0.046454	0.028595	0.055983	0.048789	0.045388	0.038059	0.047915	0.031411
																																																																		
		log(upper)																																																																
			-8.577025	-8.604638	-5.719172	-8.687955	-8.509482	-8.891339	-8.537749	-8.716985	-8.853113	-8.586435	-8.886298	-8.711572	-8.715507	-8.896307	-8.937965	-8.462264	-8.681221	-8.711560	-8.798174	-8.664600	-8.565421	-8.856024	-8.706965	-8.813081	-8.650881	-8.705349	-8.793257	-8.562256	-8.677988	-8.680753	-8.665849	-8.719790	-9.237498	-8.043519	-9.021093	-8.242826	-8.770955	-8.799102	-8.803023	-8.804518	-8.423775	-8.595165	-8.738546	-9.113324	-8.963145	-8.578764	-8.436275	-8.325574	-8.966475	-8.813478	-8.283001	-8.859357	-8.922996	-8.879001	-8.771451	-8.497435	-8.525761	-8.760105	-8.721244	-8.660314	-8.865613	-8.542294	-8.591113	-8.693139
			-7.740932	-7.702074	-5.381216	-7.818820	-7.611108	-8.006972	-7.630639	-7.744153	-7.928110	-7.567993	-8.007744	-7.814792	-7.837290	-8.018906	-7.976536	-7.560050	-7.778796	-7.799268	-7.953986	-7.785076	-7.695213	-8.024225	-7.801953	-7.865284	-7.848702	-7.860068	-7.989918	-7.709766	-7.854095	-7.817678	-7.878007	-7.843364	-8.254693	-7.360880	-8.186590	-7.617637	-7.799591	-7.869579	-7.779684	-7.994586	-7.618416	-7.679978	-7.790729	-8.346682	-7.961425	-7.794105	-7.725938	-7.553599	-8.001568	-7.837729	-7.464192	-7.852312	-7.984807	-8.006934	-7.902884	-7.634584	-7.755770	-7.883416	-7.850717	-7.765263	-8.055054	-7.508237	-7.662008	-7.852638
			-6.771032	-6.797367	-5.539043	-6.866820	-6.611737	-6.966661	-6.657756	-6.812990	-6.979958	-6.607260	-6.993355	-6.863382	-6.851303	-7.028713	-6.991239	-6.645086	-6.841619	-6.823016	-6.940858	-6.837860	-6.778262	-6.957422	-6.812896	-6.912436	-6.861192	-6.894796	-6.965698	-6.767750	-6.894051	-6.862814	-6.817625	-6.897968	-7.238143	-6.424764	-7.189406	-6.620879	-6.823728	-6.858828	-6.807195	-6.987466	-6.658183	-6.722204	-6.834256	-7.288212	-6.961375	-6.737054	-6.727769	-6.570019	-7.048634	-6.877554	-6.531238	-6.854166	-6.993547	-7.005724	-6.921832	-6.678359	-6.783474	-6.868515	-6.833997	-6.813585	-7.029667	-6.564386	-6.752739	-6.835908
			-5.853231	-5.833501	-5.148992	-5.939951	-5.667726	-5.977005	-5.782995	-5.889756	-6.064177	-5.724019	-6.018454	-5.872343	-5.967659	-6.148607	-6.090933	-5.774806	-5.923689	-5.916671	-6.010335	-6.019085	-5.859914	-6.018097	-5.943171	-5.990543	-5.944518	-5.945959	-6.055741	-5.809841	-6.018457	-5.943002	-5.901182	-5.950730	-6.289428	-5.530678	-6.271267	-5.706863	-5.899319	-5.944093	-5.885795	-6.036006	-5.746630	-5.844475	-5.892516	-6.385186	-5.991468	-5.816533	-5.798244	-5.665098	-6.137115	-5.964602	-5.654219	-5.930834	-6.096692	-6.103087	-6.010136	-5.752330	-5.885145	-5.969159	-5.914993	-5.887592	-6.065038	-5.675617	-5.861505	-5.939438
			-4.851314	-4.897251	-4.137693	-4.936561	-4.630420	-4.945426	-4.778108	-4.843892	-5.058428	-4.675695	-4.993837	-4.832407	-4.939799	-5.132381	-5.056367	-4.830252	-4.922276	-4.860119	-4.977519	-4.934000	-4.836111	-5.027132	-4.931813	-5.005758	-4.918331	-4.932813	-5.092433	-4.776898	-5.019453	-4.943156	-4.825591	-4.944533	-5.295566	-4.546928	-5.318587	-4.662476	-4.917649	-4.929983	-4.866970	-5.007745	-4.711451	-4.833953	-4.885566	-5.304635	-4.963148	-4.795441	-4.682517	-4.647130	-5.146582	-4.954437	-4.690868	-4.944230	-5.104263	-5.074371	-4.984021	-4.741703	-4.862895	-4.951147	-4.929748	-4.845670	-5.057366	-4.697658	-4.846830	-4.927647
		log(lower)																																																																
			-9.253667	-8.930518	-8.922637	-9.226925	-9.849798	-9.646968	-8.953468	-9.734712	-9.342877	-9.212427	-9.415560	-9.538216	-9.139115	-9.254595	-9.358217	-8.690255	-8.951705	-9.456481	-9.390319	-9.235905	-9.100870	-9.431114	-9.248232	-9.187870	-9.322806	-9.062029	-9.243352	-9.269072	-9.113555	-9.322511	-9.701197	-9.129425	-9.612053	-8.622157	-9.436166	-9.360045	-9.261471	-9.324095	-9.393181	-9.454823	-9.221327	-8.975020	-9.276872	-9.709985	-9.725452	-9.154633	-9.892505	-8.914792	-9.230959	-9.400911	-8.754230	-9.325814	-9.285764	-9.327121	-9.144974	-9.110559	-9.102281	-9.114994	-9.416031	-9.265818	-9.428903	-9.014637	-9.185772	-9.082973
			-8.336298	-7.988811	-8.199889	-8.293050	-8.790429	-8.671837	-7.996423	-8.639633	-8.359045	-8.118792	-8.473433	-8.542143	-8.210015	-8.334157	-8.346308	-7.760655	-8.016790	-8.454711	-8.475004	-8.287757	-8.166346	-8.530237	-8.278205	-8.195054	-8.439917	-8.173904	-8.385949	-8.331682	-8.237343	-8.382350	-8.788992	-8.203794	-8.584257	-7.870013	-8.551806	-8.600659	-8.231187	-8.331511	-8.298954	-8.566778	-8.320169	-8.014206	-8.264393	-8.871675	-8.632166	-8.300802	-9.007249	-8.072042	-8.234283	-8.354601	-7.878818	-8.262740	-8.304001	-8.401227	-8.231540	-8.174061	-8.263040	-8.195677	-8.462048	-8.298034	-8.550684	-7.923843	-8.185238	-8.195646
			-7.336716	-7.069809	-8.217195	-7.317408	-7.732264	-7.598380	-7.005305	-7.663826	-7.389410	-7.130600	-7.435828	-7.554471	-7.205447	-7.328247	-7.342576	-6.835690	-7.067749	-7.445783	-7.435902	-7.315480	-7.225907	-7.438207	-7.265405	-7.225766	-7.422933	-7.192986	-7.341985	-7.358661	-7.258193	-7.399334	-7.683195	-7.240429	-7.551277	-6.908515	-7.536414	-7.554893	-7.233807	-7.297731	-7.300577	-7.531132	-7.324951	-7.039770	-7.284306	-7.787032	-7.598677	-7.218490	-7.945202	-7.062616	-7.269747	-7.368658	-6.925194	-7.244132	-7.296828	-7.380360	-7.234104	-7.190941	-7.265455	-7.165209	-7.414851	-7.319797	-7.500588	-6.959273	-7.249885	-7.161816
			-6.448597	-6.120238	-7.967666	-6.414181	-6.847047	-6.641870	-6.148780	-6.785236	-6.495112	-6.274819	-6.484143	-6.599693	-6.340384	-6.463858	-6.460705	-5.975411	-6.161684	-6.572115	-6.531353	-6.521767	-6.331047	-6.524109	-6.419423	-6.320314	-6.535733	-6.259796	-6.451772	-6.431757	-6.401705	-6.507674	-6.812168	-6.311161	-6.618993	-6.039811	-6.636483	-6.689885	-6.330915	-6.406025	-6.405065	-6.608198	-6.448383	-6.178704	-6.366180	-6.910178	-6.662209	-6.323230	-7.079556	-6.183541	-6.369830	-6.481475	-6.068845	-6.341262	-6.415885	-6.497380	-6.338792	-6.291807	-6.392416	-6.281420	-6.526324	-6.420364	-6.560668	-6.091223	-6.384735	-6.282446
			-5.527956	-5.223131	-7.341159	-5.475531	-5.970736	-5.701055	-5.193827	-5.861619	-5.548192	-5.301687	-5.523099	-5.659052	-5.363407	-5.490668	-5.476618	-5.058243	-5.192761	-5.605041	-5.569664	-5.505305	-5.371560	-5.602222	-5.473081	-5.380547	-5.590256	-5.289492	-5.542528	-5.483715	-5.455020	-5.584914	-5.860940	-5.354167	-5.670120	-5.125566	-5.733660	-5.779694	-5.408165	-5.454976	-5.457128	-5.658050	-5.509004	-5.213809	-5.423892	-5.901296	-5.725455	-5.371310	-6.138747	-5.236348	-5.411066	-5.541870	-5.162097	-5.410688	-5.467031	-5.522491	-5.357544	-5.354827	-5.439416	-5.306037	-5.624535	-5.451174	-5.620656	-5.170001	-5.441489	-5.317481
																																																																		
		upper																																																																
			2.648e-09	2.485e-09	1.909e-06	2.051e-09	3.094e-09	1.284e-09	2.899e-09	1.919e-09	1.402e-09	2.592e-09	1.299e-09	1.943e-09	1.925e-09	1.270e-09	1.154e-09	3.449e-09	2.083e-09	1.943e-09	1.592e-09	2.165e-09	2.720e-09	1.393e-09	1.964e-09	1.538e-09	2.234e-09	1.971e-09	1.610e-09	2.740e-09	2.099e-09	2.086e-09	2.158e-09	1.906e-09	5.788e-10	9.047e-09	9.526e-10	5.717e-09	1.695e-09	1.588e-09	1.574e-09	1.568e-09	3.769e-09	2.540e-09	1.826e-09	7.703e-10	1.089e-09	2.638e-09	3.662e-09	4.725e-09	1.080e-09	1.536e-09	5.212e-09	1.382e-09	1.194e-09	1.321e-09	1.693e-09	3.181e-09	2.980e-09	1.737e-09	1.900e-09	2.186e-09	1.363e-09	2.869e-09	2.564e-09	2.027e-09
			1.816e-08	1.986e-08	4.157e-06	1.518e-08	2.448e-08	9.841e-09	2.341e-08	1.802e-08	1.180e-08	2.704e-08	9.823e-09	1.532e-08	1.454e-08	9.574e-09	1.056e-08	2.754e-08	1.664e-08	1.588e-08	1.112e-08	1.640e-08	2.017e-08	9.457e-09	1.578e-08	1.364e-08	1.417e-08	1.380e-08	1.023e-08	1.951e-08	1.399e-08	1.522e-08	1.324e-08	1.434e-08	5.563e-09	4.356e-08	6.507e-09	2.412e-08	1.586e-08	1.350e-08	1.661e-08	1.013e-08	2.408e-08	2.089e-08	1.619e-08	4.501e-09	1.093e-08	1.607e-08	1.880e-08	2.795e-08	9.964e-09	1.453e-08	3.434e-08	1.405e-08	1.036e-08	9.842e-09	1.251e-08	2.320e-08	1.755e-08	1.308e-08	1.410e-08	1.717e-08	8.809e-09	3.103e-08	2.178e-08	1.404e-08
			1.694e-07	1.595e-07	2.890e-06	1.359e-07	2.445e-07	1.080e-07	2.199e-07	1.538e-07	1.047e-07	2.470e-07	1.015e-07	1.370e-07	1.408e-07	9.360e-08	1.020e-07	2.264e-07	1.440e-07	1.503e-07	1.146e-07	1.453e-07	1.666e-07	1.103e-07	1.539e-07	1.223e-07	1.377e-07	1.274e-07	1.082e-07	1.707e-07	1.276e-07	1.371e-07	1.522e-07	1.265e-07	5.779e-08	3.760e-07	6.465e-08	2.394e-07	1.501e-07	1.384e-07	1.559e-07	1.029e-07	2.197e-07	1.896e-07	1.465e-07	5.150e-08	1.093e-07	1.832e-07	1.872e-07	2.691e-07	8.941e-08	1.326e-07	2.943e-07	1.399e-07	1.015e-07	9.869e-08	1.197e-07	2.097e-07	1.646e-07	1.354e-07	1.466e-07	1.536e-07	9.340e-08	2.727e-07	1.767e-07	1.459e-07
			1.402e-06	1.467e-06	7.096e-06	1.148e-06	2.149e-06	1.054e-06	1.648e-06	1.289e-06	8.626e-07	1.888e-06	9.584e-07	1.342e-06	1.077e-06	7.102e-07	8.111e-07	1.680e-06	1.192e-06	1.212e-06	9.765e-07	9.570e-07	1.381e-06	9.592e-07	1.140e-06	1.022e-06	1.136e-06	1.133e-06	8.795e-07	1.549e-06	9.584e-07	1.140e-06	1.256e-06	1.120e-06	5.135e-07	2.947e-06	5.355e-07	1.964e-06	1.261e-06	1.137e-06	1.301e-06	9.204e-07	1.792e-06	1.431e-06	1.281e-06	4.119e-07	1.020e-06	1.526e-06	1.591e-06	2.162e-06	7.293e-07	1.085e-06	2.217e-06	1.173e-06	8.004e-07	7.887e-07	9.769e-07	1.769e-06	1.303e-06	1.074e-06	1.216e-06	1.295e-06	8.609e-07	2.110e-06	1.376e-06	1.150e-06
			1.408e-05	1.267e-05	7.283e-05	1.157e-05	2.342e-05	1.134e-05	1.667e-05	1.433e-05	8.741e-06	2.110e-05	1.014e-05	1.471e-05	1.149e-05	7.373e-06	8.783e-06	1.478e-05	1.196e-05	1.380e-05	1.053e-05	1.164e-05	1.458e-05	9.394e-06	1.170e-05	9.868e-06	1.207e-05	1.167e-05	8.083e-06	1.671e-05	9.562e-06	1.140e-05	1.494e-05	1.136e-05	5.063e-06	2.838e-05	4.802e-06	2.175e-05	1.209e-05	1.175e-05	1.358e-05	9.823e-06	1.943e-05	1.466e-05	1.301e-05	4.959e-06	1.089e-05	1.602e-05	2.077e-05	2.254e-05	7.135e-06	1.111e-05	2.038e-05	1.137e-05	7.866e-06	8.426e-06	1.037e-05	1.813e-05	1.371e-05	1.119e-05	1.176e-05	1.427e-05	8.763e-06	2.006e-05	1.423e-05	1.181e-05
		lower																																																																
			5.576e-10	1.173e-09	1.195e-09	5.930e-10	1.413e-10	2.254e-10	1.113e-09	1.842e-10	4.541e-10	6.132e-10	3.841e-10	2.896e-10	7.259e-10	5.564e-10	4.383e-10	2.041e-09	1.118e-09	3.496e-10	4.071e-10	5.809e-10	7.927e-10	3.706e-10	5.646e-10	6.488e-10	4.755e-10	8.669e-10	5.710e-10	5.382e-10	7.699e-10	4.759e-10	1.990e-10	7.423e-10	2.443e-10	2.387e-09	3.663e-10	4.365e-10	5.477e-10	4.741e-10	4.044e-10	3.509e-10	6.007e-10	1.059e-09	5.286e-10	1.950e-10	1.882e-10	7.004e-10	1.281e-10	1.217e-09	5.875e-10	3.973e-10	1.761e-09	4.723e-10	5.179e-10	4.708e-10	7.162e-10	7.752e-10	7.902e-10	7.674e-10	3.837e-10	5.422e-10	3.725e-10	9.669e-10	6.520e-10	8.261e-10
			4.610e-09	1.026e-08	6.311e-09	5.093e-09	1.620e-09	2.129e-09	1.008e-08	2.293e-09	4.375e-09	7.607e-09	3.362e-09	2.870e-09	6.166e-09	4.633e-09	4.505e-09	1.735e-08	9.621e-09	3.510e-09	3.350e-09	5.155e-09	6.818e-09	2.950e-09	5.270e-09	6.382e-09	3.631e-09	6.700e-09	4.112e-09	4.659e-09	5.790e-09	4.146e-09	1.626e-09	6.255e-09	2.605e-09	1.349e-08	2.807e-09	2.508e-09	5.872e-09	4.661e-09	5.024e-09	2.712e-09	4.784e-09	9.678e-09	5.440e-09	1.344e-09	2.333e-09	5.003e-09	9.834e-10	8.471e-09	5.831e-09	4.420e-09	1.322e-08	5.461e-09	4.966e-09	3.970e-09	5.868e-09	6.698e-09	5.457e-09	6.373e-09	3.451e-09	5.035e-09	2.814e-09	1.192e-08	6.528e-09	6.373e-09
			4.606e-08	8.515e-08	6.065e-09	4.815e-08	1.852e-08	2.521e-08	9.879e-08	2.169e-08	4.079e-08	7.403e-08	3.666e-08	2.790e-08	6.231e-08	4.696e-08	4.544e-08	1.460e-07	8.556e-08	3.583e-08	3.665e-08	4.836e-08	5.944e-08	3.646e-08	5.427e-08	5.946e-08	3.776e-08	6.412e-08	4.550e-08	4.379e-08	5.518e-08	3.987e-08	2.074e-08	5.749e-08	2.810e-08	1.234e-07	2.908e-08	2.787e-08	5.837e-08	5.038e-08	5.005e-08	2.944e-08	4.732e-08	9.125e-08	5.196e-08	1.633e-08	2.520e-08	6.047e-08	1.134e-08	8.657e-08	5.373e-08	4.279e-08	1.188e-07	5.700e-08	5.049e-08	4.165e-08	5.833e-08	6.443e-08	5.427e-08	6.836e-08	3.847e-08	4.789e-08	3.158e-08	1.098e-07	5.625e-08	6.889e-08
			3.560e-07	7.582e-07	1.077e-08	3.853e-07	1.422e-07	2.281e-07	7.099e-07	1.640e-07	3.198e-07	5.311e-07	3.280e-07	2.514e-07	4.567e-07	3.437e-07	3.462e-07	1.058e-06	6.892e-07	2.678e-07	2.942e-07	3.008e-07	4.666e-07	2.992e-07	3.807e-07	4.783e-07	2.913e-07	5.498e-07	3.534e-07	3.700e-07	3.965e-07	3.107e-07	1.541e-07	4.885e-07	2.404e-07	9.124e-07	2.309e-07	2.042e-07	4.668e-07	3.926e-07	3.935e-07	2.465e-07	3.561e-07	6.627e-07	4.303e-07	1.230e-07	2.177e-07	4.751e-07	8.326e-08	6.553e-07	4.267e-07	3.300e-07	8.534e-07	4.558e-07	3.838e-07	3.181e-07	4.584e-07	5.107e-07	4.051e-07	5.231e-07	2.976e-07	3.799e-07	2.750e-07	8.105e-07	4.123e-07	5.219e-07
			2.965e-06	5.982e-06	4.559e-08	3.346e-06	1.070e-06	1.990e-06	6.400e-06	1.375e-06	2.830e-06	4.992e-06	2.998e-06	2.193e-06	4.331e-06	3.231e-06	3.337e-06	8.745e-06	6.416e-06	2.483e-06	2.694e-06	3.124e-06	4.250e-06	2.499e-06	3.364e-06	4.163e-06	2.569e-06	5.135e-06	2.867e-06	3.283e-06	3.507e-06	2.601e-06	1.377e-06	4.424e-06	2.137e-06	7.489e-06	1.846e-06	1.661e-06	3.907e-06	3.508e-06	3.490e-06	2.198e-06	3.097e-06	6.112e-06	3.768e-06	1.255e-06	1.882e-06	4.253e-06	7.265e-07	5.803e-06	3.881e-06	2.872e-06	6.885e-06	3.884e-06	3.412e-06	3.003e-06	4.390e-06	4.417e-06	3.636e-06	4.943e-06	2.374e-06	3.539e-06	2.395e-06	6.761e-06	3.618e-06	4.814e-06
		mean																																																																
			1.215e-09	1.708e-09	4.776e-08	1.103e-09	6.612e-10	5.381e-10	1.796e-09	5.945e-10	7.980e-10	1.261e-09	7.064e-10	7.501e-10	1.182e-09	8.405e-10	7.111e-10	2.653e-09	1.526e-09	8.241e-10	8.049e-10	1.121e-09	1.468e-09	7.185e-10	1.053e-09	9.989e-10	1.031e-09	1.307e-09	9.587e-10	1.214e-09	1.271e-09	9.962e-10	6.554e-10	1.190e-09	3.760e-10	4.647e-09	5.907e-10	1.580e-09	9.634e-10	8.678e-10	7.978e-10	7.419e-10	1.505e-09	1.640e-09	9.824e-10	3.876e-10	4.526e-10	1.359e-09	6.849e-10	2.398e-09	7.967e-10	7.813e-10	3.030e-09	8.080e-10	7.864e-10	7.888e-10	1.101e-09	1.570e-09	1.535e-09	1.155e-09	8.538e-10	1.089e-09	7.124e-10	1.665e-09	1.293e-09	1.294e-09
			9.149e-09	1.427e-08	1.620e-07	8.792e-09	6.298e-09	4.577e-09	1.536e-08	6.428e-09	7.185e-09	1.434e-08	5.747e-09	6.630e-09	9.470e-09	6.660e-09	6.896e-09	2.186e-08	1.265e-08	7.465e-09	6.102e-09	9.196e-09	1.173e-08	5.282e-09	9.118e-09	9.329e-09	7.173e-09	9.616e-09	6.487e-09	9.534e-09	9.001e-09	7.943e-09	4.640e-09	9.472e-09	3.806e-09	2.424e-08	4.274e-09	7.778e-09	9.652e-09	7.933e-09	9.134e-09	5.240e-09	1.073e-08	1.422e-08	9.385e-09	2.459e-09	5.049e-09	8.965e-09	4.299e-09	1.539e-08	7.622e-09	8.014e-09	2.131e-08	8.759e-09	7.171e-09	6.251e-09	8.566e-09	1.246e-08	9.786e-09	9.130e-09	6.976e-09	9.297e-09	4.979e-09	1.923e-08	1.192e-08	9.459e-09
			8.833e-08	1.165e-07	1.324e-07	8.089e-08	6.730e-08	5.218e-08	1.474e-07	5.776e-08	6.536e-08	1.352e-07	6.101e-08	6.181e-08	9.368e-08	6.630e-08	6.809e-08	1.818e-07	1.110e-07	7.338e-08	6.481e-08	8.382e-08	9.952e-08	6.341e-08	9.138e-08	8.529e-08	7.210e-08	9.039e-08	7.017e-08	8.646e-08	8.392e-08	7.395e-08	5.618e-08	8.527e-08	4.030e-08	2.155e-07	4.336e-08	8.168e-08	9.359e-08	8.351e-08	8.833e-08	5.504e-08	1.020e-07	1.315e-07	8.724e-08	2.900e-08	5.248e-08	1.053e-07	4.608e-08	1.526e-07	6.931e-08	7.532e-08	1.870e-07	8.930e-08	7.158e-08	6.411e-08	8.357e-08	1.162e-07	9.452e-08	9.619e-08	7.509e-08	8.576e-08	5.431e-08	1.730e-07	9.970e-08	1.003e-07
