			AHCY	AKR1C1	ALUsq-Eur	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		1.1760912590556813	-10.524524	-10.131252	-7.296945	-10.306896	-10.427065	-10.922423	-10.338936	-10.436058	-10.608394	-10.278866	-10.549107	-9.092772	-10.188335	-10.367608	-10.320349	-9.972869	-10.177168	-10.586835	-10.478720	-10.180750	-10.463490	-10.592966	-10.621145	-10.321583	-10.303365	-9.988926	-10.324164	-10.319420	-10.317819	-10.145931	-10.443066	-10.215411	-10.671175	-9.584706	-10.782430	-10.285319	-10.618458	-9.845418	-10.362522	-11.017368	-10.307481	-10.222518	-10.585989	-10.686568	-10.216876	-10.117831	-10.412478	-10.075937	-10.515021	-10.432510	-10.011250	-10.637897	-10.320843	-10.507193	-10.316289	-10.294089	-10.280902	-10.297343	-10.714566	-10.248841	-10.439817	-10.156011	-10.601247	-10.546678
		2.1760912590556813	-9.549385	-9.106089	-6.702720	-9.325206	-9.344379	-9.882717	-9.244741	-9.347810	-9.558031	-9.096077	-9.533893	-8.199536	-9.193042	-9.401487	-9.362576	-8.925178	-9.162437	-9.518634	-9.457998	-9.198329	-9.458291	-9.588625	-9.564443	-9.275731	-9.349332	-9.022006	-9.422541	-9.326431	-9.361499	-9.201804	-9.525055	-9.236670	-9.584392	-8.815285	-9.809734	-9.507428	-9.408874	-8.850633	-9.206878	-10.052442	-9.354333	-9.225729	-9.478992	-9.816973	-9.125560	-9.176514	-9.536292	-9.183809	-9.430389	-9.322478	-9.070027	-9.474462	-9.270032	-9.489139	-9.381949	-9.288144	-9.388720	-9.296985	-9.681917	-9.244328	-9.481998	-8.976037	-9.531669	-9.562996
		3.1760912590556813	-8.448427	-8.097632	-6.816653	-8.247422	-8.286497	-8.678860	-8.170561	-8.279655	-8.483232	-8.040020	-8.383838	-7.235069	-8.091027	-8.311324	-8.292177	-7.919764	-8.104719	-8.405397	-8.385133	-8.128823	-8.382555	-8.417857	-8.462059	-8.200369	-8.296687	-8.006508	-8.273736	-8.241026	-8.293445	-8.136021	-8.327655	-8.180264	-8.463106	-7.770537	-8.691295	-8.385265	-8.380858	-7.801642	-8.150572	-8.868860	-8.255670	-8.110116	-8.357582	-8.650364	-8.066196	-8.051101	-8.426378	-8.070400	-8.353418	-8.229414	-8.022724	-8.327930	-8.178406	-8.357239	-8.288216	-8.210318	-8.279793	-8.177949	-8.526546	-8.176826	-8.338749	-7.921039	-8.446028	-8.424221
		4.176091259055681	-7.372190	-6.999550	-6.446842	-7.215713	-7.245443	-7.549029	-7.169824	-7.277181	-7.423148	-7.024016	-7.300225	-6.322706	-7.124908	-7.305324	-7.273483	-6.922923	-7.100185	-7.336657	-7.330782	-7.121096	-7.344404	-7.371638	-7.420409	-7.157089	-7.260885	-6.967310	-7.256707	-7.185077	-7.315427	-7.105110	-7.296132	-7.133847	-7.411719	-6.785385	-7.645233	-7.361740	-7.317769	-6.816900	-7.133165	-7.755916	-7.229356	-7.123209	-7.295627	-7.618313	-7.062193	-7.033424	-7.399158	-7.016779	-7.327498	-7.251530	-7.004011	-7.317376	-7.154530	-7.328907	-7.273737	-7.161391	-7.287471	-7.168787	-7.474209	-7.140686	-7.260847	-6.915102	-7.427166	-7.374796
		5.176091259055681	-6.317909	-6.008094	-5.680451	-6.176963	-6.223770	-6.440549	-6.090961	-6.209578	-6.374186	-5.983121	-6.210641	-5.391548	-6.044321	-6.196225	-6.183474	-5.919855	-6.032477	-6.293108	-6.261906	-6.071726	-6.245546	-6.329552	-6.351811	-6.131332	-6.211903	-5.915360	-6.248886	-6.111420	-6.256882	-6.085484	-6.247727	-6.086703	-6.368782	-5.748968	-6.629921	-6.281154	-6.250940	-5.809913	-6.058405	-6.615349	-6.146374	-6.049317	-6.254657	-6.496463	-6.019612	-5.969922	-6.298477	-5.941481	-6.260199	-6.202966	-5.969256	-6.239035	-6.123476	-6.245456	-6.192351	-6.103735	-6.193588	-6.095283	-6.396078	-6.068381	-6.227153	-5.872300	-6.323137	-6.264967
x-mean	3.176091																																																																	
SSx	27.857143																																																																	
n	3.000000																																																																	
alpha	0.950000																																																																	
t	6.205347																																																																	
			0.063776	0.027915	0.274369	0.049576	0.097767	0.066297	0.025429	0.072560	0.042576	0.056005	0.046559	0.064684	0.029537	0.027084	0.037834	0.018151	0.016891	0.059435	0.046140	0.031278	0.041626	0.045824	0.053049	0.034886	0.056597	0.026188	0.042526	0.054541	0.039584	0.058834	0.085603	0.034942	0.031359	0.054760	0.036192	0.105460	0.050300	0.041040	0.039373	0.065529	0.067699	0.051764	0.058823	0.050440	0.046262	0.041980	0.122502	0.051320	0.027647	0.058214	0.038274	0.046154	0.029083	0.035645	0.034870	0.057257	0.048670	0.028110	0.062102	0.049599	0.047672	0.038064	0.051023	0.027457
			0.056115	0.024562	0.241413	0.043621	0.086023	0.058333	0.022375	0.063844	0.037462	0.049278	0.040966	0.056914	0.025989	0.023831	0.033290	0.015971	0.014862	0.052296	0.040598	0.027521	0.036626	0.040319	0.046677	0.030696	0.049798	0.023043	0.037418	0.047990	0.034829	0.051767	0.075321	0.030745	0.027592	0.048182	0.031844	0.092792	0.044258	0.036110	0.034643	0.057658	0.059567	0.045546	0.051757	0.044382	0.040705	0.036938	0.107788	0.045155	0.024326	0.051222	0.033677	0.040610	0.025590	0.031363	0.030682	0.050380	0.042824	0.024734	0.054642	0.043641	0.041945	0.033492	0.044894	0.024159
			0.053318	0.023337	0.229377	0.041447	0.081735	0.055425	0.021259	0.060661	0.035594	0.046821	0.038924	0.054077	0.024693	0.022643	0.031630	0.015175	0.014121	0.049688	0.038574	0.026149	0.034800	0.038309	0.044350	0.029166	0.047316	0.021894	0.035552	0.045597	0.033093	0.049186	0.071566	0.029212	0.026217	0.045780	0.030257	0.088166	0.042051	0.034310	0.032916	0.054783	0.056598	0.043275	0.049177	0.042169	0.038676	0.035096	0.102414	0.042904	0.023113	0.048668	0.031998	0.038585	0.024314	0.029800	0.029152	0.047868	0.040689	0.023501	0.051918	0.041465	0.039854	0.031822	0.042656	0.022955
			0.056115	0.024562	0.241413	0.043621	0.086023	0.058333	0.022375	0.063844	0.037462	0.049278	0.040966	0.056914	0.025989	0.023831	0.033290	0.015971	0.014862	0.052296	0.040598	0.027521	0.036626	0.040319	0.046677	0.030696	0.049798	0.023043	0.037418	0.047990	0.034829	0.051767	0.075321	0.030745	0.027592	0.048182	0.031844	0.092792	0.044258	0.036110	0.034643	0.057658	0.059567	0.045546	0.051757	0.044382	0.040705	0.036938	0.107788	0.045155	0.024326	0.051222	0.033677	0.040610	0.025590	0.031363	0.030682	0.050380	0.042824	0.024734	0.054642	0.043641	0.041945	0.033492	0.044894	0.024159
			0.063776	0.027915	0.274369	0.049576	0.097767	0.066297	0.025429	0.072560	0.042576	0.056005	0.046559	0.064684	0.029537	0.027084	0.037834	0.018151	0.016891	0.059435	0.046140	0.031278	0.041626	0.045824	0.053049	0.034886	0.056597	0.026188	0.042526	0.054541	0.039584	0.058834	0.085603	0.034942	0.031359	0.054760	0.036192	0.105460	0.050300	0.041040	0.039373	0.065529	0.067699	0.051764	0.058823	0.050440	0.046262	0.041980	0.122502	0.051320	0.027647	0.058214	0.038274	0.046154	0.029083	0.035645	0.034870	0.057257	0.048670	0.028110	0.062102	0.049599	0.047672	0.038064	0.051023	0.027457
																																																																		
		log(upper)																																																																
			-10.128771	-9.958031	-5.594390	-9.999258	-9.820389	-10.511028	-10.181139	-9.985799	-10.344194	-9.931335	-10.260194	-8.691388	-10.005048	-10.199542	-10.085576	-9.860234	-10.072353	-10.218022	-10.192405	-9.986661	-10.205189	-10.308614	-10.291959	-10.105101	-9.952164	-9.826418	-10.060278	-9.980975	-10.072188	-9.780847	-9.911868	-9.998583	-10.476583	-9.244902	-10.557848	-9.630905	-10.306331	-9.590751	-10.118201	-10.610739	-9.887383	-9.901307	-10.220975	-10.373569	-9.929805	-9.857329	-9.652309	-9.757482	-10.343462	-10.071270	-9.773746	-10.351498	-10.140371	-10.286005	-10.099906	-9.938787	-9.978889	-10.122907	-10.329204	-9.941063	-10.143999	-9.919811	-10.284630	-10.376297
			-9.201169	-8.953675	-5.204671	-9.054521	-8.810575	-9.520737	-9.105898	-8.951634	-9.325567	-8.790290	-9.279684	-7.846365	-9.031771	-9.253608	-9.156003	-8.826073	-9.070211	-9.194122	-9.206074	-9.027554	-9.231016	-9.338428	-9.274798	-9.085252	-9.040316	-8.879018	-9.190353	-9.028639	-9.145372	-8.880572	-9.057663	-9.045887	-9.413173	-8.516298	-9.612128	-8.931620	-9.134239	-8.626555	-8.991904	-9.694657	-8.984697	-8.943101	-9.157822	-9.541570	-8.872972	-8.947303	-8.867432	-8.903605	-9.279437	-9.004629	-8.861051	-9.222464	-9.111238	-9.294520	-9.191557	-8.975520	-9.122984	-9.143503	-9.342844	-8.973520	-9.221713	-8.768209	-9.253083	-9.413081
			-8.117571	-7.952816	-5.393287	-7.990231	-7.779305	-8.334927	-8.038639	-7.903231	-8.262357	-7.749478	-8.142302	-6.899505	-7.937795	-8.170818	-8.095902	-7.825600	-8.017091	-8.097063	-8.145769	-7.966561	-8.166611	-8.180134	-8.186854	-8.019386	-8.003076	-7.870649	-8.053123	-7.958080	-8.088093	-7.830805	-7.883564	-7.998993	-8.300423	-7.486456	-8.503540	-7.838163	-8.119914	-7.588736	-7.946315	-8.528911	-7.904461	-7.841578	-8.052424	-8.388691	-7.826201	-7.833316	-7.790863	-7.804166	-8.209992	-7.927410	-7.824166	-8.088495	-8.027528	-8.172322	-8.107316	-7.913280	-8.027305	-8.032118	-8.204377	-7.919518	-8.091440	-7.723571	-8.181331	-8.281780
			-7.023974	-6.847136	-4.948793	-6.945027	-6.711639	-7.187050	-7.030982	-6.881005	-7.190683	-6.718230	-7.046015	-5.969535	-6.963637	-7.157445	-7.066910	-6.823818	-7.007959	-7.012145	-7.078859	-6.950320	-7.117129	-7.121441	-7.130764	-6.966609	-6.951869	-6.824322	-7.024519	-6.887285	-7.099301	-6.783879	-6.828740	-6.943064	-7.240500	-6.486398	-7.447627	-6.785932	-7.043133	-6.592822	-6.918191	-7.398131	-6.859719	-6.840581	-6.974457	-7.342910	-6.809605	-6.804213	-6.730298	-6.736576	-7.176547	-6.933680	-6.795035	-7.065379	-6.995736	-7.134287	-7.083346	-6.848767	-7.021734	-7.015305	-7.135136	-6.869877	-7.000561	-6.707273	-7.148581	-7.224882
			-5.922157	-5.834873	-3.977896	-5.869325	-5.617094	-6.029154	-5.933164	-5.759318	-6.109986	-5.635590	-5.921728	-4.990164	-5.861034	-6.028159	-5.948700	-5.807221	-5.927662	-5.924295	-5.975591	-5.877637	-5.987245	-6.045201	-6.022626	-5.914849	-5.860702	-5.752852	-5.985000	-5.772975	-6.011251	-5.720400	-5.716529	-5.869875	-6.174190	-5.409164	-6.405339	-5.626740	-5.938813	-5.555245	-5.814084	-6.208720	-5.726276	-5.728106	-5.889642	-6.183463	-5.732542	-5.709420	-5.538307	-5.623026	-6.088641	-5.841726	-5.731751	-5.952636	-5.943004	-6.024268	-5.975968	-5.748433	-5.891575	-5.920848	-6.010716	-5.760603	-5.931334	-5.636100	-6.006520	-6.094587
		log(lower)																																																																
			-10.920276	-10.304473	-8.999501	-10.614534	-11.033742	-11.333818	-10.496733	-10.886318	-10.872594	-10.626397	-10.838020	-9.494156	-10.371622	-10.535675	-10.555123	-10.085503	-10.281984	-10.955647	-10.765035	-10.374839	-10.721791	-10.877318	-10.950330	-10.538066	-10.654566	-10.151434	-10.588050	-10.657865	-10.563449	-10.511015	-10.974265	-10.432239	-10.865768	-9.924509	-11.007012	-10.939733	-10.930586	-10.100086	-10.606843	-11.423996	-10.727579	-10.543728	-10.951003	-10.999568	-10.503946	-10.378333	-11.172648	-10.394392	-10.686580	-10.793751	-10.248755	-10.924296	-10.501315	-10.728381	-10.532671	-10.649391	-10.582915	-10.471778	-11.099927	-10.556619	-10.735636	-10.392212	-10.917863	-10.717058
			-9.897601	-9.258503	-8.200769	-9.595892	-9.878184	-10.244696	-9.383584	-9.743985	-9.790496	-9.401863	-9.788102	-8.552707	-9.354314	-9.549365	-9.569149	-9.024283	-9.254662	-9.843146	-9.709921	-9.369104	-9.685566	-9.838821	-9.854088	-9.466210	-9.658348	-9.164994	-9.654730	-9.624223	-9.577625	-9.523035	-9.992447	-9.427453	-9.755610	-9.114272	-10.007340	-10.083236	-9.683510	-9.074711	-9.421852	-10.410228	-9.723970	-9.508357	-9.800162	-10.092376	-9.378148	-9.405726	-10.205152	-9.464012	-9.581341	-9.640328	-9.279003	-9.726459	-9.428826	-9.683759	-9.572340	-9.600768	-9.654456	-9.450468	-10.020990	-9.515137	-9.742284	-9.183866	-9.810254	-9.712910
			-8.779283	-8.242447	-8.240018	-8.504613	-8.793689	-9.022793	-8.302482	-8.656080	-8.704108	-8.330562	-8.625374	-7.570633	-8.244258	-8.451830	-8.488452	-8.013928	-8.192347	-8.713730	-8.624497	-8.291084	-8.598500	-8.655580	-8.737264	-8.381352	-8.590297	-8.142368	-8.494349	-8.523971	-8.498796	-8.441238	-8.771746	-8.361536	-8.625789	-8.054619	-8.879050	-8.932366	-8.641802	-8.014549	-8.354829	-9.208808	-8.606879	-8.378654	-8.662740	-8.912037	-8.306192	-8.268885	-9.061893	-8.336635	-8.496844	-8.531418	-8.221282	-8.567364	-8.329283	-8.542157	-8.469115	-8.507357	-8.532281	-8.323780	-8.848715	-8.434133	-8.586058	-8.118506	-8.710725	-8.566662
			-7.720406	-7.151964	-7.944891	-7.486398	-7.779247	-7.911009	-7.308667	-7.673356	-7.655613	-7.329802	-7.554434	-6.675877	-7.286179	-7.453202	-7.480056	-7.022028	-7.192410	-7.661169	-7.582705	-7.291871	-7.571679	-7.621834	-7.710054	-7.347568	-7.569901	-7.110298	-7.488896	-7.482869	-7.531554	-7.426341	-7.763524	-7.324630	-7.582937	-7.084372	-7.842839	-7.937548	-7.592404	-7.040978	-7.348139	-8.113702	-7.598992	-7.405837	-7.616797	-7.893716	-7.314781	-7.262635	-8.068018	-7.296983	-7.478450	-7.569379	-7.212987	-7.569374	-7.313324	-7.523527	-7.464129	-7.474015	-7.553207	-7.322270	-7.813282	-7.411494	-7.521132	-7.122930	-7.705752	-7.524711
			-6.713662	-6.181315	-7.383007	-6.484602	-6.830447	-6.851944	-6.248758	-6.659837	-6.638386	-6.330652	-6.499554	-5.792932	-6.227608	-6.364291	-6.418248	-6.032490	-6.137293	-6.661921	-6.548221	-6.265815	-6.503848	-6.613904	-6.680997	-6.347814	-6.563104	-6.077868	-6.512772	-6.449865	-6.502513	-6.450569	-6.778925	-6.303531	-6.563375	-6.088771	-6.854503	-6.935568	-6.563068	-6.064580	-6.302726	-7.021977	-6.566471	-6.370528	-6.619671	-6.809462	-6.306683	-6.230425	-7.058647	-6.259937	-6.431758	-6.564207	-6.206761	-6.525434	-6.303948	-6.466645	-6.408734	-6.459037	-6.495601	-6.269718	-6.781440	-6.376159	-6.522971	-6.108501	-6.639753	-6.435347
																																																																		
		upper																																																																
			7.434e-11	1.101e-10	2.545e-06	1.002e-10	1.512e-10	3.083e-11	6.590e-11	1.033e-10	4.527e-11	1.171e-10	5.493e-11	2.035e-09	9.884e-11	6.316e-11	8.212e-11	1.380e-10	8.465e-11	6.053e-11	6.421e-11	1.031e-10	6.235e-11	4.913e-11	5.106e-11	7.851e-11	1.116e-10	1.491e-10	8.704e-11	1.045e-10	8.469e-11	1.656e-10	1.225e-10	1.003e-10	3.337e-11	5.690e-10	2.768e-11	2.339e-10	4.939e-11	2.566e-10	7.617e-11	2.451e-11	1.296e-10	1.255e-10	6.012e-11	4.231e-11	1.175e-10	1.389e-10	2.227e-10	1.748e-10	4.535e-11	8.487e-11	1.684e-10	4.451e-11	7.238e-11	5.176e-11	7.945e-11	1.151e-10	1.050e-10	7.535e-11	4.686e-11	1.145e-10	7.178e-11	1.203e-10	5.192e-11	4.204e-11
			6.293e-10	1.113e-09	6.242e-06	8.820e-10	1.547e-09	3.015e-10	7.836e-10	1.118e-09	4.725e-10	1.621e-09	5.252e-10	1.424e-08	9.295e-10	5.577e-10	6.982e-10	1.493e-09	8.507e-10	6.396e-10	6.222e-10	9.385e-10	5.875e-10	4.587e-10	5.311e-10	8.218e-10	9.113e-10	1.321e-09	6.451e-10	9.362e-10	7.155e-10	1.317e-09	8.757e-10	8.997e-10	3.862e-10	3.046e-09	2.443e-10	1.171e-09	7.341e-10	2.363e-09	1.019e-09	2.020e-10	1.036e-09	1.140e-09	6.953e-10	2.874e-10	1.340e-09	1.129e-09	1.357e-09	1.249e-09	5.255e-10	9.894e-10	1.377e-09	5.992e-10	7.740e-10	5.076e-10	6.433e-10	1.058e-09	7.534e-10	7.186e-10	4.541e-10	1.063e-09	6.002e-10	1.705e-09	5.584e-10	3.863e-10
			7.628e-09	1.115e-08	4.043e-06	1.023e-08	1.662e-08	4.625e-09	9.149e-09	1.250e-08	5.466e-09	1.780e-08	7.206e-09	1.260e-07	1.154e-08	6.748e-09	8.019e-09	1.494e-08	9.614e-09	7.997e-09	7.149e-09	1.080e-08	6.814e-09	6.605e-09	6.503e-09	9.563e-09	9.929e-09	1.347e-08	8.849e-09	1.101e-08	8.164e-09	1.476e-08	1.307e-08	1.002e-08	5.007e-09	3.262e-08	3.137e-09	1.452e-08	7.587e-09	2.578e-08	1.132e-08	2.959e-09	1.246e-08	1.440e-08	8.863e-09	4.086e-09	1.492e-08	1.468e-08	1.619e-08	1.570e-08	6.166e-09	1.182e-08	1.499e-08	8.157e-09	9.386e-09	6.725e-09	7.811e-09	1.221e-08	9.391e-09	9.287e-09	6.246e-09	1.204e-08	8.101e-09	1.890e-08	6.587e-09	5.227e-09
			9.463e-08	1.422e-07	1.125e-05	1.135e-07	1.943e-07	6.501e-08	9.311e-08	1.315e-07	6.446e-08	1.913e-07	8.995e-08	1.073e-06	1.087e-07	6.959e-08	8.572e-08	1.500e-07	9.818e-08	9.724e-08	8.340e-08	1.121e-07	7.636e-08	7.561e-08	7.400e-08	1.080e-07	1.117e-07	1.499e-07	9.451e-08	1.296e-07	7.956e-08	1.645e-07	1.483e-07	1.140e-07	5.748e-08	3.263e-07	3.568e-08	1.637e-07	9.055e-08	2.554e-07	1.207e-07	3.998e-08	1.381e-07	1.444e-07	1.061e-07	4.540e-08	1.550e-07	1.570e-07	1.861e-07	1.834e-07	6.660e-08	1.165e-07	1.603e-07	8.602e-08	1.010e-07	7.340e-08	8.254e-08	1.417e-07	9.512e-08	9.654e-08	7.326e-08	1.349e-07	9.987e-08	1.962e-07	7.103e-08	5.958e-08
			1.196e-06	1.463e-06	1.052e-04	1.351e-06	2.415e-06	9.351e-07	1.166e-06	1.741e-06	7.763e-07	2.314e-06	1.197e-06	1.023e-05	1.377e-06	9.372e-07	1.125e-06	1.559e-06	1.181e-06	1.190e-06	1.058e-06	1.325e-06	1.030e-06	9.012e-07	9.492e-07	1.217e-06	1.378e-06	1.767e-06	1.035e-06	1.687e-06	9.744e-07	1.904e-06	1.921e-06	1.349e-06	6.696e-07	3.898e-06	3.932e-07	2.362e-06	1.151e-06	2.785e-06	1.534e-06	6.184e-07	1.878e-06	1.870e-06	1.289e-06	6.554e-07	1.851e-06	1.952e-06	2.895e-06	2.382e-06	8.154e-07	1.440e-06	1.855e-06	1.115e-06	1.140e-06	9.457e-07	1.057e-06	1.785e-06	1.284e-06	1.200e-06	9.756e-07	1.735e-06	1.171e-06	2.312e-06	9.851e-07	8.043e-07
		lower																																																																
			1.201e-11	4.961e-11	1.001e-09	2.429e-11	9.252e-12	4.636e-12	3.186e-11	1.299e-11	1.341e-11	2.364e-11	1.452e-11	3.205e-10	4.250e-11	2.913e-11	2.785e-11	8.213e-11	5.224e-11	1.108e-11	1.718e-11	4.219e-11	1.898e-11	1.326e-11	1.121e-11	2.897e-11	2.215e-11	7.056e-11	2.582e-11	2.199e-11	2.732e-11	3.083e-11	1.061e-11	3.696e-11	1.362e-11	1.190e-10	9.840e-12	1.149e-11	1.173e-11	7.942e-11	2.473e-11	3.767e-12	1.872e-11	2.859e-11	1.119e-11	1.001e-11	3.134e-11	4.185e-11	6.720e-12	4.033e-11	2.058e-11	1.608e-11	5.640e-11	1.190e-11	3.153e-11	1.869e-11	2.933e-11	2.242e-11	2.613e-11	3.375e-11	7.945e-12	2.776e-11	1.838e-11	4.053e-11	1.208e-11	1.918e-11
			1.266e-10	5.514e-10	6.298e-09	2.536e-10	1.324e-10	5.693e-11	4.134e-10	1.803e-10	1.620e-10	3.964e-10	1.629e-10	2.801e-09	4.423e-10	2.823e-10	2.697e-10	9.456e-10	5.563e-10	1.435e-10	1.950e-10	4.275e-10	2.063e-10	1.449e-10	1.399e-10	3.418e-10	2.196e-10	6.839e-10	2.214e-10	2.376e-10	2.645e-10	2.999e-10	1.018e-10	3.737e-10	1.755e-10	7.686e-10	9.832e-11	8.256e-11	2.072e-10	8.420e-10	3.786e-10	3.888e-11	1.888e-10	3.102e-10	1.584e-10	8.084e-11	4.187e-10	3.929e-10	6.235e-11	3.435e-10	2.622e-10	2.289e-10	5.260e-10	1.877e-10	3.725e-10	2.071e-10	2.677e-10	2.507e-10	2.216e-10	3.544e-10	9.528e-11	3.054e-10	1.810e-10	6.548e-10	1.548e-10	1.937e-10
			1.662e-09	5.722e-09	5.754e-09	3.129e-09	1.608e-09	9.489e-10	4.983e-09	2.208e-09	1.976e-09	4.671e-09	2.369e-09	2.688e-08	5.698e-09	3.533e-09	3.247e-09	9.684e-09	6.422e-09	1.933e-09	2.374e-09	5.116e-09	2.521e-09	2.210e-09	1.831e-09	4.156e-09	2.569e-09	7.205e-09	3.204e-09	2.992e-09	3.171e-09	3.620e-09	1.691e-09	4.350e-09	2.367e-09	8.818e-09	1.321e-09	1.169e-09	2.281e-09	9.671e-09	4.417e-09	6.183e-10	2.472e-09	4.182e-09	2.174e-09	1.225e-09	4.941e-09	5.384e-09	8.672e-10	4.606e-09	3.185e-09	2.942e-09	6.008e-09	2.708e-09	4.685e-09	2.870e-09	3.395e-09	3.109e-09	2.936e-09	4.745e-09	1.417e-09	3.680e-09	2.594e-09	7.612e-09	1.947e-09	2.712e-09
			1.904e-08	7.048e-08	1.135e-08	3.263e-08	1.662e-08	1.227e-08	4.913e-08	2.122e-08	2.210e-08	4.679e-08	2.790e-08	2.109e-07	5.174e-08	3.522e-08	3.311e-08	9.505e-08	6.421e-08	2.182e-08	2.614e-08	5.107e-08	2.681e-08	2.389e-08	1.950e-08	4.492e-08	2.692e-08	7.757e-08	3.244e-08	3.290e-08	2.941e-08	3.747e-08	1.724e-08	4.736e-08	2.613e-08	8.234e-08	1.436e-08	1.155e-08	2.556e-08	9.100e-08	4.486e-08	7.697e-09	2.518e-08	3.928e-08	2.417e-08	1.277e-08	4.844e-08	5.462e-08	8.550e-09	5.047e-08	3.323e-08	2.695e-08	6.124e-08	2.695e-08	4.860e-08	2.996e-08	3.435e-08	3.357e-08	2.798e-08	4.761e-08	1.537e-08	3.877e-08	3.012e-08	7.535e-08	1.969e-08	2.987e-08
			1.933e-07	6.587e-07	4.140e-08	3.276e-07	1.478e-07	1.406e-07	5.640e-07	2.189e-07	2.299e-07	4.670e-07	3.166e-07	1.611e-06	5.921e-07	4.322e-07	3.817e-07	9.279e-07	7.290e-07	2.178e-07	2.830e-07	5.422e-07	3.134e-07	2.433e-07	2.085e-07	4.489e-07	2.735e-07	8.359e-07	3.071e-07	3.549e-07	3.144e-07	3.543e-07	1.664e-07	4.971e-07	2.733e-07	8.151e-07	1.398e-07	1.160e-07	2.735e-07	8.618e-07	4.981e-07	9.507e-08	2.713e-07	4.261e-07	2.401e-07	1.551e-07	4.935e-07	5.883e-07	8.737e-08	5.496e-07	3.700e-07	2.728e-07	6.212e-07	2.982e-07	4.967e-07	3.415e-07	3.902e-07	3.475e-07	3.194e-07	5.374e-07	1.654e-07	4.206e-07	2.999e-07	7.789e-07	2.292e-07	3.670e-07
		mean																																																																
			2.989e-11	7.392e-11	5.047e-08	4.933e-11	3.741e-11	1.196e-11	4.582e-11	3.664e-11	2.464e-11	5.262e-11	2.824e-11	8.077e-10	6.481e-11	4.289e-11	4.782e-11	1.064e-10	6.650e-11	2.589e-11	3.321e-11	6.596e-11	3.440e-11	2.553e-11	2.393e-11	4.769e-11	4.973e-11	1.026e-10	4.741e-11	4.793e-11	4.810e-11	7.146e-11	3.605e-11	6.090e-11	2.132e-11	2.602e-10	1.650e-11	5.184e-11	2.407e-11	1.428e-10	4.340e-11	9.608e-12	4.926e-11	5.991e-11	2.594e-11	2.058e-11	6.069e-11	7.624e-11	3.868e-11	8.396e-11	3.055e-11	3.694e-11	9.744e-11	2.302e-11	4.777e-11	3.110e-11	4.827e-11	5.081e-11	5.237e-11	5.043e-11	1.929e-11	5.638e-11	3.632e-11	6.982e-11	2.505e-11	2.840e-11
			2.822e-10	7.833e-10	1.983e-07	4.729e-10	4.525e-10	1.310e-10	5.692e-10	4.489e-10	2.767e-10	8.015e-10	2.925e-10	6.316e-09	6.411e-10	3.967e-10	4.339e-10	1.188e-09	6.880e-10	3.029e-10	3.483e-10	6.334e-10	3.481e-10	2.579e-10	2.726e-10	5.300e-10	4.474e-10	9.506e-10	3.780e-10	4.716e-10	4.350e-10	6.283e-10	2.985e-10	5.799e-10	2.604e-10	1.530e-09	1.550e-10	3.109e-10	3.901e-10	1.410e-09	6.210e-10	8.863e-11	4.422e-10	5.947e-10	3.319e-10	1.524e-10	7.489e-10	6.660e-10	2.909e-10	6.549e-10	3.712e-10	4.759e-10	8.511e-10	3.354e-10	5.370e-10	3.242e-10	4.150e-10	5.151e-10	4.086e-10	5.047e-10	2.080e-10	5.697e-10	3.296e-10	1.057e-09	2.940e-10	2.735e-10
			3.561e-09	7.987e-09	1.525e-07	5.657e-09	5.170e-09	2.095e-09	6.752e-09	5.252e-09	3.287e-09	9.120e-09	4.132e-09	5.820e-08	8.109e-09	4.883e-09	5.103e-09	1.203e-08	7.857e-09	3.932e-09	4.120e-09	7.433e-09	4.144e-09	3.821e-09	3.451e-09	6.304e-09	5.050e-09	9.851e-09	5.324e-09	5.741e-09	5.088e-09	7.311e-09	4.703e-09	6.603e-09	3.443e-09	1.696e-08	2.036e-09	4.118e-09	4.160e-09	1.579e-08	7.070e-09	1.353e-09	5.550e-09	7.760e-09	4.390e-09	2.237e-09	8.586e-09	8.890e-09	3.746e-09	8.504e-09	4.432e-09	5.896e-09	9.490e-09	4.700e-09	6.631e-09	4.393e-09	5.150e-09	6.161e-09	5.251e-09	6.638e-09	2.975e-09	6.655e-09	4.584e-09	1.199e-08	3.581e-09	3.765e-09
