			AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		5.176091259055681	5.096522	5.267677	5.066424	5.076897	5.026764	5.342276	4.973844	4.955659	5.277702	5.047725	6.126079	5.156687	5.039793	5.008488	5.358666	5.212881	5.041592	5.013358	5.199137	5.130022	5.002307	5.096021	5.094672	5.006848	5.195941	4.995354	5.165135	5.069565	5.104166	4.941262	5.136230	4.873942	5.420995	4.771064	5.084379	5.143928	5.809145	5.128837	4.972224	5.183171	5.251094	5.128232	4.674385	5.338747	5.558007	4.898657	5.373025	5.082556	5.028550	5.396894	5.124794	5.048479	5.041873	5.049850	5.221883	5.111995	5.168066	5.094896	5.129839	4.988669	5.385542	5.135165	5.188329
x-mean	3.176091																																																																
SSx	27.857143																																																																
n	3.000000																																																																
alpha	0.950000																																																																
t	6.205347																																																																
			0.057748	0.026737	0.046331	0.097996	0.066601	0.024732	0.064102	0.038338	0.053300	0.042522	0.057934	0.024837	0.027289	0.033501	0.018914	0.016951	0.054269	0.043585	0.032594	0.039585	0.044784	0.046809	0.032307	0.054352	0.025577	0.038957	0.050811	0.037672	0.051991	0.085488	0.032227	0.030495	0.045039	0.033617	0.095218	0.048260	0.034716	0.037514	0.057014	0.058575	0.048099	0.053489	0.050863	0.041610	0.036625	0.112805	0.049484	0.025332	0.054605	0.035730	0.043258	0.031448	0.030444	0.034427	0.052279	0.050694	0.027465	0.052772	0.045208	0.044267	0.036448	0.049147	0.028209
			0.050811	0.023525	0.040766	0.086225	0.058601	0.021761	0.056402	0.033733	0.046897	0.037414	0.050975	0.021854	0.024011	0.029477	0.016642	0.014915	0.047751	0.038350	0.028679	0.034830	0.039404	0.041187	0.028427	0.047823	0.022505	0.034278	0.044708	0.033147	0.045746	0.075220	0.028356	0.026832	0.039629	0.029579	0.083781	0.042463	0.030546	0.033008	0.050166	0.051539	0.042321	0.047064	0.044754	0.036612	0.032226	0.099255	0.043540	0.022289	0.048046	0.031438	0.038062	0.027671	0.026787	0.030292	0.045999	0.044605	0.024166	0.046433	0.039778	0.038950	0.032070	0.043244	0.024821
			0.048278	0.022352	0.038734	0.081927	0.055680	0.020676	0.053590	0.032051	0.044559	0.035549	0.048434	0.020764	0.022814	0.028008	0.015812	0.014171	0.045370	0.036438	0.027249	0.033094	0.037440	0.039133	0.027010	0.045439	0.021383	0.032569	0.042479	0.031494	0.043465	0.071470	0.026942	0.025494	0.037654	0.028104	0.079604	0.040346	0.029023	0.031362	0.047665	0.048970	0.040211	0.044718	0.042522	0.034786	0.030619	0.094307	0.041369	0.021178	0.045650	0.029871	0.036164	0.026291	0.025452	0.028782	0.043706	0.042381	0.022961	0.044119	0.037795	0.037008	0.030471	0.041088	0.023583
			0.050811	0.023525	0.040766	0.086225	0.058601	0.021761	0.056402	0.033733	0.046897	0.037414	0.050975	0.021854	0.024011	0.029477	0.016642	0.014915	0.047751	0.038350	0.028679	0.034830	0.039404	0.041187	0.028427	0.047823	0.022505	0.034278	0.044708	0.033147	0.045746	0.075220	0.028356	0.026832	0.039629	0.029579	0.083781	0.042463	0.030546	0.033008	0.050166	0.051539	0.042321	0.047064	0.044754	0.036612	0.032226	0.099255	0.043540	0.022289	0.048046	0.031438	0.038062	0.027671	0.026787	0.030292	0.045999	0.044605	0.024166	0.046433	0.039778	0.038950	0.032070	0.043244	0.024821
			0.057748	0.026737	0.046331	0.097996	0.066601	0.024732	0.064102	0.038338	0.053300	0.042522	0.057934	0.024837	0.027289	0.033501	0.018914	0.016951	0.054269	0.043585	0.032594	0.039585	0.044784	0.046809	0.032307	0.054352	0.025577	0.038957	0.050811	0.037672	0.051991	0.085488	0.032227	0.030495	0.045039	0.033617	0.095218	0.048260	0.034716	0.037514	0.057014	0.058575	0.048099	0.053489	0.050863	0.041610	0.036625	0.112805	0.049484	0.025332	0.054605	0.035730	0.043258	0.031448	0.030444	0.034427	0.052279	0.050694	0.027465	0.052772	0.045208	0.044267	0.036448	0.049147	0.028209
																																																																	
		log(upper)																																																															
			1.640505	1.656324	1.516293	1.791805	1.446024	1.676683	1.436551	1.328731	1.658918	1.312283	3.250278	1.452999	1.337473	1.345051	1.774216	1.459539	1.442637	1.401614	1.593193	1.573798	1.386132	1.542124	1.391079	1.537707	1.515041	1.452877	1.607880	1.575813	1.645203	1.559250	1.514207	1.056931	2.132201	1.211144	2.019319	1.520049	2.541028	1.350429	1.446469	1.737366	1.724305	1.540415	1.083466	1.791566	2.162741	1.757779	1.922347	1.341028	1.430124	1.960724	1.393323	1.325400	1.352308	1.458665	1.720864	1.667629	1.473365	1.583290	1.528641	1.399722	1.681323	1.636575	1.529754
			2.478207	2.572945	2.389051	2.733122	2.296561	2.637386	2.404555	2.267675	2.714511	2.223311	3.997387	2.372311	2.200539	2.232456	2.721185	2.417211	2.370883	2.322304	2.481113	2.459985	2.281006	2.465765	2.366865	2.376856	2.413371	2.259853	2.485152	2.430998	2.486709	2.335407	2.397777	2.040077	2.838742	2.070460	2.643476	2.577146	3.365148	2.389929	2.239793	2.576063	2.626634	2.507321	1.845430	2.751820	2.973720	2.482714	2.689084	2.295877	2.428639	2.780591	2.389698	2.296410	2.265647	2.282952	2.596922	2.430726	2.388593	2.478035	2.443595	2.238061	2.740768	2.556355	2.379056
			3.473928	3.490132	3.398102	3.683843	3.367474	3.595664	3.373536	3.214167	3.664727	3.263736	4.802622	3.370151	3.216881	3.215766	3.625085	3.383350	3.381549	3.289648	3.458469	3.387102	3.343985	3.447111	3.348635	3.353354	3.357770	3.320879	3.454208	3.398884	3.444414	3.441292	3.373737	3.086116	3.781706	3.049268	3.654589	3.492154	4.273692	3.367443	3.276976	3.565768	3.627085	3.512806	2.936772	3.697922	3.928560	3.500612	3.698257	3.293339	3.404235	3.720386	3.445090	3.290655	3.270330	3.275184	3.582044	3.450473	3.396853	3.458181	3.421099	3.279411	3.696436	3.501625	3.399411
			4.440429	4.513750	4.334559	4.637000	4.404409	4.480765	4.333622	4.216289	4.621992	4.260146	5.640720	4.302040	4.152073	4.187250	4.545306	4.315447	4.381911	4.286466	4.398236	4.380084	4.301099	4.383778	4.298505	4.312923	4.351906	4.261004	4.452320	4.310162	4.442728	4.431042	4.359467	4.067880	4.720160	4.039109	4.606400	4.450590	5.120861	4.309080	4.258480	4.507135	4.549031	4.487119	3.929923	4.640806	4.839117	4.485433	4.674888	4.218931	4.331177	4.655951	4.368417	4.272156	4.230081	4.243783	4.541418	4.373404	4.350855	4.424742	4.405006	4.297016	4.646323	4.425009	4.325712
			5.454868	5.433587	5.353924	5.684998	5.440048	5.495744	5.371617	5.193559	5.608444	5.311586	6.485582	5.310811	5.209133	5.216374	5.476033	5.318066	5.378352	5.283818	5.401395	5.375663	5.280206	5.386490	5.295151	5.344119	5.354657	5.237098	5.480435	5.303330	5.426785	5.471746	5.336209	5.063174	5.700479	4.979667	5.675243	5.443395	6.024570	5.361625	5.326016	5.546648	5.549564	5.460152	4.990008	5.596950	5.785277	5.598650	5.680090	5.239751	5.367391	5.618609	5.393224	5.243625	5.230791	5.263484	5.546293	5.426569	5.338493	5.422366	5.410369	5.263363	5.611714	5.440138	5.363376
		log(lower)																																																															
			0.923812	1.324505	0.941292	0.575601	0.619457	1.369747	0.641004	0.852931	0.997434	0.784561	2.531272	1.144752	0.998794	0.929278	1.539483	1.249168	0.769118	0.860693	1.188678	1.082517	0.830334	0.961187	0.990121	0.863165	1.197611	0.969388	0.977279	1.108283	0.999965	0.498283	1.114248	0.678468	1.573233	0.793939	0.837591	0.921115	2.110178	0.884852	0.738885	1.010412	1.127365	0.876576	0.452220	1.275161	1.708201	0.357793	1.308218	1.026638	0.752442	1.517294	0.856463	0.935108	0.974473	1.031398	1.072044	1.038481	1.132511	0.928349	0.967580	0.850334	1.228979	1.026628	1.179661
			1.847602	2.280982	1.883118	1.663005	1.569279	2.367319	1.704568	1.849027	2.132482	1.758978	3.364746	2.101089	1.902541	1.866625	2.514648	2.232110	1.778266	1.846357	2.125187	2.027716	1.791969	1.954608	2.014069	1.783338	2.134069	1.834440	1.930298	2.019626	1.918975	1.401880	2.045860	1.707074	2.346916	1.703369	1.603694	2.050154	2.986051	1.980276	1.617201	1.936428	2.101396	1.923220	1.290007	2.297444	2.573778	1.250890	2.148723	2.019251	1.832359	2.390425	1.917325	1.952998	1.933196	1.907006	2.026037	1.877150	2.088681	1.901764	1.949927	1.754664	2.342758	2.019672	2.071015
			2.874761	3.212725	2.917391	2.667075	2.676450	3.339060	2.708446	2.816390	3.111714	2.822552	4.201521	3.112450	2.933740	2.868173	3.428844	3.207477	2.818476	2.837428	3.120288	2.976383	2.879329	2.961438	3.013427	2.789426	3.092393	2.916674	2.927015	3.008021	2.904983	2.554306	3.039364	2.769714	3.314400	2.700477	2.666645	2.991435	3.913495	2.978213	2.685424	2.958022	3.128033	2.957826	2.409039	3.266198	3.548556	2.330199	3.184835	3.030503	2.837682	3.349671	2.996267	2.964363	2.954453	2.917981	3.039619	2.924494	3.111892	2.910639	2.952042	2.820113	3.318269	2.991699	3.106727
			3.809823	4.221788	3.828626	3.566884	3.677127	4.210697	3.633635	3.797640	4.039963	3.795813	5.008079	4.030819	3.854075	3.821419	4.338768	4.130346	3.789294	3.810519	4.042310	3.947815	3.812062	3.872621	3.945709	3.719406	4.072605	3.835591	3.897465	3.898790	3.874994	3.497515	4.007550	3.734877	4.228334	3.672017	3.566618	3.923598	4.741764	3.899427	3.635888	3.867501	4.023793	3.903019	3.374501	4.186430	4.439175	3.253609	4.134527	3.942305	3.734897	4.265784	3.896044	3.928744	3.897631	3.867838	3.970533	3.819828	4.050944	3.848471	3.911338	3.813619	4.248313	3.888327	4.017671
			4.738175	5.101767	4.778923	4.468795	4.613481	5.188808	4.576070	4.717758	4.946960	4.783864	5.766576	5.002564	4.870453	4.800601	5.241299	5.107696	4.704833	4.742897	4.996880	4.884382	4.724408	4.805553	4.894192	4.669577	5.037226	4.753609	4.849835	4.835799	4.781547	4.410779	4.936250	4.684711	5.141511	4.562462	4.493516	4.844461	5.593721	4.896048	4.618431	4.819694	4.952624	4.796313	4.358762	5.080544	5.330737	4.198663	5.065961	4.925361	4.689709	5.175179	4.856365	4.853332	4.852956	4.836216	4.897473	4.797421	4.997639	4.767425	4.849308	4.713976	5.159369	4.830191	5.013283
																																																																	
		upper																																																															
			4.370e+01	4.532e+01	3.283e+01	6.192e+01	2.793e+01	4.750e+01	2.732e+01	2.132e+01	4.560e+01	2.053e+01	1.779e+03	2.838e+01	2.175e+01	2.213e+01	5.946e+01	2.881e+01	2.771e+01	2.521e+01	3.919e+01	3.748e+01	2.433e+01	3.484e+01	2.461e+01	3.449e+01	3.274e+01	2.837e+01	4.054e+01	3.765e+01	4.418e+01	3.625e+01	3.267e+01	1.140e+01	1.356e+02	1.626e+01	1.045e+02	3.312e+01	3.476e+02	2.241e+01	2.796e+01	5.462e+01	5.300e+01	3.471e+01	1.212e+01	6.188e+01	1.455e+02	5.725e+01	8.363e+01	2.193e+01	2.692e+01	9.135e+01	2.474e+01	2.115e+01	2.251e+01	2.875e+01	5.259e+01	4.652e+01	2.974e+01	3.831e+01	3.378e+01	2.510e+01	4.801e+01	4.331e+01	3.387e+01
			3.008e+02	3.741e+02	2.449e+02	5.409e+02	1.980e+02	4.339e+02	2.538e+02	1.852e+02	5.182e+02	1.672e+02	9.940e+03	2.357e+02	1.587e+02	1.708e+02	5.262e+02	2.613e+02	2.349e+02	2.100e+02	3.028e+02	2.884e+02	1.910e+02	2.923e+02	2.327e+02	2.382e+02	2.590e+02	1.819e+02	3.056e+02	2.698e+02	3.067e+02	2.165e+02	2.499e+02	1.097e+02	6.898e+02	1.176e+02	4.400e+02	3.777e+02	2.318e+03	2.454e+02	1.737e+02	3.768e+02	4.233e+02	3.216e+02	7.005e+01	5.647e+02	9.413e+02	3.039e+02	4.887e+02	1.976e+02	2.683e+02	6.034e+02	2.453e+02	1.979e+02	1.844e+02	1.918e+02	3.953e+02	2.696e+02	2.447e+02	3.006e+02	2.777e+02	1.730e+02	5.505e+02	3.600e+02	2.394e+02
			2.978e+03	3.091e+03	2.501e+03	4.829e+03	2.331e+03	3.942e+03	2.363e+03	1.637e+03	4.621e+03	1.835e+03	6.348e+04	2.345e+03	1.648e+03	1.643e+03	4.218e+03	2.417e+03	2.407e+03	1.948e+03	2.874e+03	2.438e+03	2.208e+03	2.800e+03	2.232e+03	2.256e+03	2.279e+03	2.094e+03	2.846e+03	2.505e+03	2.782e+03	2.762e+03	2.364e+03	1.219e+03	6.049e+03	1.120e+03	4.514e+03	3.106e+03	1.878e+04	2.330e+03	1.892e+03	3.679e+03	4.237e+03	3.257e+03	8.645e+02	4.988e+03	8.483e+03	3.167e+03	4.992e+03	1.965e+03	2.537e+03	5.253e+03	2.787e+03	1.953e+03	1.864e+03	1.884e+03	3.820e+03	2.821e+03	2.494e+03	2.872e+03	2.637e+03	1.903e+03	4.971e+03	3.174e+03	2.508e+03
			2.757e+04	3.264e+04	2.161e+04	4.335e+04	2.538e+04	3.025e+04	2.156e+04	1.645e+04	4.188e+04	1.820e+04	4.372e+05	2.005e+04	1.419e+04	1.539e+04	3.510e+04	2.068e+04	2.409e+04	1.934e+04	2.502e+04	2.399e+04	2.000e+04	2.420e+04	1.988e+04	2.056e+04	2.249e+04	1.824e+04	2.833e+04	2.043e+04	2.772e+04	2.698e+04	2.288e+04	1.169e+04	5.250e+04	1.094e+04	4.040e+04	2.822e+04	1.321e+05	2.037e+04	1.813e+04	3.215e+04	3.540e+04	3.070e+04	8.510e+03	4.373e+04	6.904e+04	3.058e+04	4.730e+04	1.656e+04	2.144e+04	4.528e+04	2.336e+04	1.871e+04	1.699e+04	1.753e+04	3.479e+04	2.363e+04	2.243e+04	2.659e+04	2.541e+04	1.982e+04	4.429e+04	2.661e+04	2.117e+04
			2.850e+05	2.714e+05	2.259e+05	4.842e+05	2.755e+05	3.131e+05	2.353e+05	1.562e+05	4.059e+05	2.049e+05	3.059e+06	2.046e+05	1.619e+05	1.646e+05	2.992e+05	2.080e+05	2.390e+05	1.922e+05	2.520e+05	2.375e+05	1.906e+05	2.435e+05	1.973e+05	2.209e+05	2.263e+05	1.726e+05	3.023e+05	2.011e+05	2.672e+05	2.963e+05	2.169e+05	1.157e+05	5.017e+05	9.543e+04	4.734e+05	2.776e+05	1.058e+06	2.299e+05	2.118e+05	3.521e+05	3.545e+05	2.885e+05	9.773e+04	3.953e+05	6.099e+05	3.969e+05	4.787e+05	1.737e+05	2.330e+05	4.155e+05	2.473e+05	1.752e+05	1.701e+05	1.834e+05	3.518e+05	2.670e+05	2.180e+05	2.645e+05	2.573e+05	1.834e+05	4.090e+05	2.755e+05	2.309e+05
		lower																																																															
			8.391e+00	2.111e+01	8.736e+00	3.764e+00	4.163e+00	2.343e+01	4.375e+00	7.127e+00	9.941e+00	6.089e+00	3.398e+02	1.396e+01	9.972e+00	8.497e+00	3.463e+01	1.775e+01	5.876e+00	7.256e+00	1.544e+01	1.209e+01	6.766e+00	9.145e+00	9.775e+00	7.297e+00	1.576e+01	9.319e+00	9.490e+00	1.283e+01	9.999e+00	3.150e+00	1.301e+01	4.769e+00	3.743e+01	6.222e+00	6.880e+00	8.339e+00	1.289e+02	7.671e+00	5.481e+00	1.024e+01	1.341e+01	7.526e+00	2.833e+00	1.884e+01	5.107e+01	2.279e+00	2.033e+01	1.063e+01	5.655e+00	3.291e+01	7.186e+00	8.612e+00	9.429e+00	1.075e+01	1.180e+01	1.093e+01	1.357e+01	8.479e+00	9.281e+00	7.085e+00	1.694e+01	1.063e+01	1.512e+01
			7.040e+01	1.910e+02	7.640e+01	4.603e+01	3.709e+01	2.330e+02	5.065e+01	7.064e+01	1.357e+02	5.741e+01	2.316e+03	1.262e+02	7.990e+01	7.356e+01	3.271e+02	1.707e+02	6.002e+01	7.020e+01	1.334e+02	1.066e+02	6.194e+01	9.008e+01	1.033e+02	6.072e+01	1.362e+02	6.830e+01	8.517e+01	1.046e+02	8.298e+01	2.523e+01	1.111e+02	5.094e+01	2.223e+02	5.051e+01	4.015e+01	1.122e+02	9.684e+02	9.556e+01	4.142e+01	8.638e+01	1.263e+02	8.380e+01	1.950e+01	1.984e+02	3.748e+02	1.782e+01	1.408e+02	1.045e+02	6.798e+01	2.457e+02	8.267e+01	8.974e+01	8.574e+01	8.072e+01	1.062e+02	7.536e+01	1.227e+02	7.976e+01	8.911e+01	5.684e+01	2.202e+02	1.046e+02	1.178e+02
			7.495e+02	1.632e+03	8.268e+02	4.646e+02	4.747e+02	2.183e+03	5.110e+02	6.552e+02	1.293e+03	6.646e+02	1.590e+04	1.296e+03	8.585e+02	7.382e+02	2.684e+03	1.612e+03	6.584e+02	6.877e+02	1.319e+03	9.471e+02	7.574e+02	9.150e+02	1.031e+03	6.158e+02	1.237e+03	8.254e+02	8.453e+02	1.019e+03	8.035e+02	3.583e+02	1.095e+03	5.885e+02	2.063e+03	5.017e+02	4.641e+02	9.805e+02	8.194e+03	9.511e+02	4.846e+02	9.079e+02	1.343e+03	9.075e+02	2.565e+02	1.846e+03	3.536e+03	2.139e+02	1.531e+03	1.073e+03	6.881e+02	2.237e+03	9.914e+02	9.212e+02	9.004e+02	8.279e+02	1.096e+03	8.404e+02	1.294e+03	8.140e+02	8.955e+02	6.609e+02	2.081e+03	9.811e+02	1.279e+03
			6.454e+03	1.666e+04	6.739e+03	3.689e+03	4.755e+03	1.624e+04	4.302e+03	6.275e+03	1.096e+04	6.249e+03	1.019e+05	1.074e+04	7.146e+03	6.629e+03	2.182e+04	1.350e+04	6.156e+03	6.464e+03	1.102e+04	8.868e+03	6.487e+03	7.458e+03	8.825e+03	5.241e+03	1.182e+04	6.848e+03	7.897e+03	7.921e+03	7.499e+03	3.144e+03	1.018e+04	5.431e+03	1.692e+04	4.699e+03	3.687e+03	8.387e+03	5.518e+04	7.933e+03	4.324e+03	7.371e+03	1.056e+04	7.999e+03	2.369e+03	1.536e+04	2.749e+04	1.793e+03	1.363e+04	8.756e+03	5.431e+03	1.844e+04	7.871e+03	8.487e+03	7.900e+03	7.376e+03	9.344e+03	6.604e+03	1.124e+04	7.055e+03	8.153e+03	6.511e+03	1.771e+04	7.733e+03	1.042e+04
			5.472e+04	1.264e+05	6.011e+04	2.943e+04	4.107e+04	1.545e+05	3.768e+04	5.221e+04	8.850e+04	6.079e+04	5.842e+05	1.006e+05	7.421e+04	6.318e+04	1.743e+05	1.281e+05	5.068e+04	5.532e+04	9.928e+04	7.663e+04	5.302e+04	6.391e+04	7.838e+04	4.673e+04	1.089e+05	5.670e+04	7.077e+04	6.852e+04	6.047e+04	2.575e+04	8.635e+04	4.839e+04	1.385e+05	3.651e+04	3.115e+04	6.990e+04	3.924e+05	7.871e+04	4.154e+04	6.602e+04	8.967e+04	6.256e+04	2.284e+04	1.204e+05	2.142e+05	1.580e+04	1.164e+05	8.421e+04	4.895e+04	1.497e+05	7.184e+04	7.134e+04	7.128e+04	6.858e+04	7.897e+04	6.272e+04	9.946e+04	5.854e+04	7.068e+04	5.176e+04	1.443e+05	6.764e+04	1.031e+05
		mean																																																															
			1.915e+01	3.093e+01	1.694e+01	1.527e+01	1.078e+01	3.336e+01	1.093e+01	1.233e+01	2.129e+01	1.118e+01	7.776e+02	1.990e+01	1.473e+01	1.371e+01	4.538e+01	2.261e+01	1.276e+01	1.353e+01	2.460e+01	2.129e+01	1.283e+01	1.785e+01	1.551e+01	1.586e+01	2.272e+01	1.626e+01	1.961e+01	2.198e+01	2.102e+01	1.068e+01	2.062e+01	7.374e+00	7.124e+01	1.006e+01	2.682e+01	1.662e+01	2.116e+02	1.311e+01	1.238e+01	2.365e+01	2.666e+01	1.616e+01	5.859e+00	3.415e+01	8.619e+01	1.142e+01	4.124e+01	1.527e+01	1.234e+01	5.483e+01	1.333e+01	1.350e+01	1.457e+01	1.758e+01	2.491e+01	2.255e+01	2.009e+01	1.802e+01	1.771e+01	1.334e+01	2.852e+01	2.146e+01	2.263e+01
			1.455e+02	2.673e+02	1.368e+02	1.578e+02	8.569e+01	3.179e+02	1.134e+02	1.144e+02	2.652e+02	9.798e+01	4.798e+03	1.725e+02	1.126e+02	1.121e+02	4.149e+02	2.112e+02	1.187e+02	1.214e+02	2.010e+02	1.753e+02	1.088e+02	1.623e+02	1.550e+02	1.203e+02	1.878e+02	1.115e+02	1.613e+02	1.680e+02	1.595e+02	7.390e+01	1.667e+02	7.474e+01	3.916e+02	7.708e+01	1.329e+02	2.059e+02	1.498e+03	1.531e+02	8.482e+01	1.804e+02	2.312e+02	1.642e+02	3.696e+01	3.347e+02	5.939e+02	7.359e+01	2.624e+02	1.437e+02	1.351e+02	3.850e+02	1.424e+02	1.333e+02	1.257e+02	1.244e+02	2.049e+02	1.425e+02	1.732e+02	1.548e+02	1.573e+02	9.917e+01	3.481e+02	1.941e+02	1.679e+02
			1.494e+03	2.246e+03	1.438e+03	1.498e+03	1.052e+03	2.933e+03	1.099e+03	1.036e+03	2.445e+03	1.104e+03	3.177e+04	1.743e+03	1.189e+03	1.101e+03	3.365e+03	1.974e+03	1.259e+03	1.158e+03	1.947e+03	1.520e+03	1.293e+03	1.601e+03	1.517e+03	1.179e+03	1.679e+03	1.315e+03	1.551e+03	1.598e+03	1.495e+03	9.949e+02	1.609e+03	8.471e+02	3.532e+03	7.497e+02	1.447e+03	1.745e+03	1.240e+04	1.489e+03	9.576e+02	1.828e+03	2.385e+03	1.719e+03	4.709e+02	3.034e+03	5.477e+03	8.230e+02	2.764e+03	1.452e+03	1.321e+03	3.428e+03	1.662e+03	1.341e+03	1.295e+03	1.249e+03	2.046e+03	1.540e+03	1.796e+03	1.529e+03	1.537e+03	1.121e+03	3.216e+03	1.765e+03	1.791e+03
			1.334e+04	2.332e+04	1.207e+04	1.265e+04	1.098e+04	2.217e+04	9.630e+03	1.016e+04	2.143e+04	1.067e+04	2.111e+05	1.467e+04	1.007e+04	1.010e+04	2.767e+04	1.671e+04	1.218e+04	1.118e+04	1.661e+04	1.459e+04	1.139e+04	1.343e+04	1.325e+04	1.038e+04	1.630e+04	1.118e+04	1.496e+04	1.272e+04	1.442e+04	9.210e+03	1.526e+04	7.969e+03	2.980e+04	7.171e+03	1.220e+04	1.538e+04	8.537e+04	1.271e+04	8.855e+03	1.539e+04	1.934e+04	1.567e+04	4.490e+03	2.592e+04	4.357e+04	7.405e+03	2.539e+04	1.204e+04	1.079e+04	2.890e+04	1.356e+04	1.260e+04	1.158e+04	1.137e+04	1.803e+04	1.249e+04	1.588e+04	1.370e+04	1.439e+04	1.136e+04	2.801e+04	1.434e+04	1.485e+04
			1.249e+05	1.852e+05	1.165e+05	1.194e+05	1.064e+05	2.199e+05	9.416e+04	9.029e+04	1.895e+05	1.116e+05	1.337e+06	1.434e+05	1.096e+05	1.020e+05	2.284e+05	1.633e+05	1.101e+05	1.031e+05	1.582e+05	1.349e+05	1.005e+05	1.247e+05	1.244e+05	1.016e+05	1.570e+05	9.894e+04	1.463e+05	1.174e+05	1.271e+05	8.735e+04	1.368e+05	7.481e+04	2.636e+05	5.903e+04	1.214e+05	1.393e+05	6.444e+05	1.345e+05	9.380e+04	1.525e+05	1.783e+05	1.343e+05	4.725e+04	2.181e+05	3.614e+05	7.919e+04	2.361e+05	1.209e+05	1.068e+05	2.494e+05	1.333e+05	1.118e+05	1.101e+05	1.122e+05	1.667e+05	1.294e+05	1.473e+05	1.244e+05	1.348e+05	9.742e+04	2.430e+05	1.365e+05	1.543e+05
		fold up																																																															
			2.282161	1.465244	1.938655	4.056036	2.589903	1.423862	2.499040	1.729419	2.141619	1.835950	2.288247	1.426014	1.476861	1.613936	1.310288	1.274046	2.171497	1.864063	1.593153	1.760517	1.896265	1.951949	1.586642	2.174057	1.441170	1.744794	2.066809	1.713032	2.101935	3.392217	1.584818	1.546079	1.903198	1.616600	3.898197	1.992815	1.642195	1.709182	2.258355	2.309283	1.988246	2.147432	2.068346	1.812186	1.687602	5.011794	2.027984	1.436134	2.181931	1.666155	1.855366	1.567279	1.544961	1.635437	2.110620	2.063356	1.480564	2.125546	1.907791	1.882322	1.683341	2.018244	1.496395
			2.066820	1.399527	1.790468	3.428138	2.310154	1.364690	2.238689	1.619288	1.954404	1.706737	2.071669	1.366504	1.409286	1.523756	1.268437	1.237515	1.978375	1.729711	1.506478	1.644882	1.755976	1.801268	1.501060	1.980427	1.379275	1.631949	1.894206	1.605780	1.922503	2.929297	1.499542	1.467241	1.761624	1.525969	3.310479	1.834408	1.547207	1.602605	2.047838	2.088417	1.830707	1.959071	1.895446	1.687284	1.584787	4.129638	1.862862	1.375033	1.986737	1.567052	1.722608	1.484930	1.466308	1.541604	1.929491	1.891421	1.412394	1.941492	1.765363	1.744610	1.581266	1.854988	1.425674
			1.993351	1.376269	1.739223	3.223915	2.215706	1.343699	2.150529	1.580842	1.890193	1.661852	1.997794	1.345396	1.385386	1.492095	1.253489	1.224437	1.912214	1.683099	1.476015	1.604573	1.707373	1.749189	1.470970	1.914098	1.357340	1.592584	1.834833	1.568310	1.860866	2.776473	1.469557	1.439464	1.712590	1.494154	3.118691	1.779752	1.513905	1.565363	1.975952	2.013136	1.776340	1.894481	1.835974	1.643849	1.548822	3.847746	1.805973	1.353374	1.919892	1.532349	1.676532	1.455948	1.438594	1.508695	1.867292	1.832269	1.388290	1.878326	1.716044	1.696871	1.545552	1.798719	1.400689
			2.066820	1.399527	1.790468	3.428138	2.310154	1.364690	2.238689	1.619288	1.954404	1.706737	2.071669	1.366504	1.409286	1.523756	1.268437	1.237515	1.978375	1.729711	1.506478	1.644882	1.755976	1.801268	1.501060	1.980427	1.379275	1.631949	1.894206	1.605780	1.922503	2.929297	1.499542	1.467241	1.761624	1.525969	3.310479	1.834408	1.547207	1.602605	2.047838	2.088417	1.830707	1.959071	1.895446	1.687284	1.584787	4.129638	1.862862	1.375033	1.986737	1.567052	1.722608	1.484930	1.466308	1.541604	1.929491	1.891421	1.412394	1.941492	1.765363	1.744610	1.581266	1.854988	1.425674
			2.282161	1.465244	1.938655	4.056036	2.589903	1.423862	2.499040	1.729419	2.141619	1.835950	2.288247	1.426014	1.476861	1.613936	1.310288	1.274046	2.171497	1.864063	1.593153	1.760517	1.896265	1.951949	1.586642	2.174057	1.441170	1.744794	2.066809	1.713032	2.101935	3.392217	1.584818	1.546079	1.903198	1.616600	3.898197	1.992815	1.642195	1.709182	2.258355	2.309283	1.988246	2.147432	2.068346	1.812186	1.687602	5.011794	2.027984	1.436134	2.181931	1.666155	1.855366	1.567279	1.544961	1.635437	2.110620	2.063356	1.480564	2.125546	1.907791	1.882322	1.683341	2.018244	1.496395
		fold down																																																															
