		AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDKN3	CHD5	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC	ULK2	WSB1
ratio	Bias as ratio mean	11184.07	18574.46	12182.85	16291.77	23121.84	17216.19	17315.71	14073.83	23326.29	19700.62	11642.97	12320.19	12373.09	17333.27	12773.52	17069.04	13117.82	16075.73	13804.16	14877.45	15081.67	13679.26	12996.51	11026.03	11918.26	11162.58	15238.06	9631.49	10572.36	18329.50	17713.17	19184.92	8964.94	12798.61	6859.17	16292.23	23875.49	18648.51	15241.56	12983.02	12590.71	17028.02	14392.23	24355.16	13408.01	9444.09	12461.39	14670.50	13184.73	12200.88	17706.86	15989.60	15563.76	13927.88	11148.33	10186.06	12618.67	14366.40	12324.38	22852.56	22004.12	10974.05	14599.79
																																																																
	take log																																																															
	-4.0	-4.291002	-4.325432	-3.982053	-4.752116	-4.557781	-4.295226	-4.266522	-4.305355	-4.535487	-4.303012	-4.005771	-4.229320	-4.050535	-4.336190	-4.124603	-4.228259	-4.324612	-4.287142	-4.162009	-4.177393	-4.291148	-4.118196	-4.033438	-4.260461	-4.089429	-4.042860	-4.446928	-3.936027	-3.942749	-4.293606	-4.198173	-4.215305	-4.003071	-4.090839	-3.586692	-4.322375	-4.315096	-4.413849	-4.248119	-4.011787	-3.985659	-4.055277	-4.142162	-4.431846	-4.060231	-3.836891	-4.073560	-4.142091	-3.952187	-4.215575	-4.348986	-4.292181	-4.291940	-4.091324	-3.942282	-4.156617	-4.111356	-3.985806	-3.915341	-4.416050	-4.346063	-3.991801	-4.169211
	-4.0	-4.001454	-4.212297	-4.271675	-3.900275	-4.258182	-4.222244	-4.623613	-4.120907	-4.387002	-4.448857	-3.923764	-4.024909	-4.105692	-4.237461	-4.071293	-4.218505	-4.177151	-4.051530	-4.114080	-4.052773	-4.070694	-4.039759	-4.241783	-3.899486	-4.032353	-4.080229	-4.168462	-3.929208	-4.256458	-4.047517	-4.375011	-4.263250	-3.883303	-4.068075	-3.971525	-4.227704	-4.551930	-4.134058	-4.339336	-4.017262	-4.156335	-4.363993	-4.123828	-4.247819	-4.093972	-3.839885	-4.254695	-4.211874	-4.230287	-4.001127	-4.162916	-4.231460	-4.142558	-4.168305	-4.278699	-3.932668	-4.028729	-4.338776	-4.257864	-4.422601	-4.313199	-4.220854	-4.121581
	-4.0	-3.930314	-4.276464	-4.052898	-4.391123	-4.329017	-4.196295	-4.020777	-4.055727	-4.233227	-4.174364	-4.400147	-4.045274	-4.124663	-4.160619	-4.125275	-4.250479	-3.939926	-4.335542	-4.145311	-4.331405	-4.202121	-4.284960	-4.091873	-4.040263	-4.110679	-4.022185	-4.030146	-4.108443	-3.942091	-4.635029	-4.194940	-4.388090	-3.980822	-4.168883	-4.145151	-4.111605	-4.308154	-4.310975	-4.024232	-4.424290	-4.186125	-4.347954	-4.213462	-4.527771	-4.250622	-4.560762	-3.996991	-4.148728	-4.243728	-4.069203	-4.252332	-4.108429	-4.156894	-4.177263	-3.990350	-3.966473	-4.175474	-4.224313	-4.176057	-4.258706	-4.370137	-3.953393	-4.206426
	-3.0	-3.118275	-3.196788	-3.177727	-3.222628	-3.301241	-3.257013	-3.207245	-3.111725	-3.378829	-3.217728	-3.118906	-3.128543	-3.146284	-3.219332	-3.079383	-3.170051	-3.134158	-3.255870	-3.185600	-3.182577	-3.232262	-3.107383	-3.075112	-3.227493	-3.127395	-3.211508	-3.187407	-3.039930	-3.099439	-3.337542	-3.296448	-3.273550	-3.150597	-3.261979	-3.182925	-3.162802	-3.362813	-3.105854	-3.266263	-3.238409	-3.125440	-3.185439	-3.243354	-3.400713	-3.258902	-3.262550	-3.225275	-3.087975	-3.070490	-3.226286	-3.113320	-3.133003	-3.214902	-3.146858	-3.148249	-3.105303	-3.148565	-3.194620	-3.065664	-3.378298	-3.183076	-3.101010	-3.266281
	-3.0	-3.169830	-3.258835	-3.078402	-3.277869	-3.553989	-3.102540	-3.116943	-3.169472	-3.325230	-3.087996	-3.100973	-3.097349	-3.166046	-3.162376	-3.030251	-3.262636	-3.074547	-3.193446	-3.102880	-3.116539	-3.194888	-3.057727	-3.057483	-3.133313	-3.110935	-3.087848	-3.258330	-3.134582	-3.040152	-3.467737	-3.258443	-3.190373	-3.135494	-3.115722	-3.107875	-3.060766	-3.296792	-3.190598	-3.202451	-3.197963	-3.068671	-3.179785	-3.357882	-3.189885	-3.193097	-3.204967	-3.205869	-3.128315	-3.049806	-3.124679	-3.187807	-3.162454	-3.127142	-3.215064	-3.097637	-3.106273	-3.119685	-3.180130	-3.130726	-3.468505	-3.100260	-2.965964	-3.195775
	-3.0	-3.049647	-3.160635	-3.097007	-3.173951	-3.226763	-3.135058	-3.187113	-3.085705	-3.354148	-3.134687	-3.118099	-3.099361	-3.063911	-3.149740	-3.064518	-3.181085	-3.094129	-3.227465	-3.209265	-3.248416	-3.267656	-3.187277	-3.101655	-3.097547	-3.137633	-3.142377	-3.207423	-3.000984	-3.046509	-3.307763	-3.166754	-3.158720	-3.154055	-3.125406	-3.164419	-3.084944	-3.254538	-3.095773	-3.371403	-3.170131	-3.093559	-3.171929	-3.281795	-3.128848	-3.199014	-3.189986	-3.169189	-3.069477	-3.051173	-3.051596	-3.115687	-3.172140	-3.271113	-3.186316	-3.081071	-3.168769	-3.154108	-3.169501	-3.157004	-3.393460	-3.145287	-2.987536	-3.183082
	-2.0	-2.029083	-2.088135	-2.046017	-2.066106	-2.106022	-2.101208	-2.098804	-2.016537	-2.203966	-2.059017	-2.035838	-2.012472	-2.032326	-2.031399	-2.037605	-2.087150	-2.024460	-2.072033	-2.076409	-2.097345	-2.041743	-2.012853	-1.995931	-2.065817	-2.070803	-1.995144	-2.094357	-1.995695	-2.018219	-2.099709	-2.166090	-2.083584	-2.040276	-2.024531	-2.002549	-1.986843	-2.075327	-2.038062	-2.145630	-2.094374	-1.986386	-2.083737	-2.067529	-2.078139	-2.032969	-2.035293	-2.063873	-2.032443	-1.982430	-2.054825	-2.003652	-2.048463	-2.088321	-2.105814	-2.038796	-2.027523	-2.014872	-2.023628	-2.054940	-2.135884	-2.035906	-1.970236	-2.043101
	-2.0	-2.076071	-2.151917	-2.094093	-2.131726	-2.283158	-2.094940	-2.111473	-2.068386	-2.214510	-2.094860	-2.085493	-2.029543	-2.047832	-2.134354	-2.034321	-2.165627	-2.072521	-2.169304	-2.120868	-2.082499	-2.077534	-2.004034	-2.089301	-2.103606	-2.109655	-2.019987	-2.148368	-2.032238	-2.029850	-2.137740	-2.186265	-2.097998	-2.111838	-2.047180	-2.037558	-2.063282	-2.197797	-2.070485	-2.152348	-2.120703	-2.030187	-2.084827	-2.157038	-2.208208	-2.064338	-2.105604	-2.122387	-2.081482	-2.018480	-2.094924	-2.061868	-2.075666	-2.098116	-2.083887	-2.057914	-2.089152	-2.023481	-2.022432	-2.048313	-2.214566	-2.108285	-2.078951	-2.116261
	-2.0	-2.029665	-2.234659	-2.054553	-2.089692	-2.142515	-2.054621	-2.100663	-2.085937	-2.151785	-2.065651	-2.098654	-2.051162	-2.032698	-2.083856	-2.009937	-2.145667	-2.040254	-2.114510	-2.093313	-2.218599	-2.053477	-2.029721	-2.047181	-2.097547	-2.096315	-2.003502	-2.195815	-2.014801	-2.032268	-2.216373	-2.163566	-2.081758	-2.048996	-2.035842	-2.045953	-2.068039	-2.164111	-2.064162	-2.121872	-2.087462	-2.028981	-2.107238	-2.145860	-2.097021	-2.113100	-2.173341	-2.108011	-2.043455	-2.009930	-2.034394	-2.038829	-2.034473	-2.087719	-2.095848	-2.050092	-2.043737	-2.030935	-2.071520	-2.071366	-2.264018	-2.067528	-2.002536	-2.100319
	-1.0	-1.065814	-1.070305	-1.088680	-1.086035	-1.106898	-1.084584	-1.106942	-1.087049	-1.121992	-1.127666	-1.059839	-1.085195	-1.081024	-1.147660	-1.027022	-1.147352	-1.138170	-1.086260	-1.146074	-1.123419	-1.073497	-1.072803	-1.072638	-1.105044	-1.068704	-1.054172	-1.094755	-1.075988	-1.047624	-1.182916	-1.122478	-1.074212	-1.068950	-1.056280	-1.084454	-1.045970	-1.125552	-1.092889	-1.116720	-1.107738	-1.084571	-1.073686	-1.145012	-1.090653	-1.073662	-1.082122	-1.102242	-1.085078	-1.039555	-1.072566	-1.058586	-1.055281	-1.079823	-1.086846	-1.067605	-1.083285	-1.052467	-1.049110	-1.080305	-1.056514	-1.073158	-1.046039	-1.103607
	-1.0	-1.044791	-1.042277	-1.077004	-1.054253	-1.108858	-1.112997	-1.113830	-1.095387	-1.112653	-1.091414	-1.050769	-1.085752	-1.098840	-1.105804	-1.032417	-1.102863	-1.065077	-1.102555	-1.170807	-1.100623	-1.067512	-1.133045	-1.046890	-1.094373	-1.054291	-1.029963	-1.110564	-1.065916	-1.021886	-1.122784	-1.110433	-1.096650	-1.066105	-1.062137	-1.042381	-1.077060	-1.138672	-1.081232	-1.096517	-1.124005	-1.082069	-1.092170	-1.123626	-1.089891	-1.056400	-1.111428	-1.082277	-1.087975	-1.046542	-1.085336	-1.056214	-1.059061	-1.139160	-1.148994	-1.069531	-1.106596	-1.042135	-1.069696	-1.078114	-1.164429	-1.070590	-1.098984	-1.084238
	-1.0	-1.041783	-1.056795	-1.036691	-1.054930	-1.044085	-1.088116	-1.083798	-1.042127	-1.099108	-1.090272	-1.030534	-1.051678	-1.086882	-1.062833	-1.040361	-1.109775	-0.995704	-1.114828	-1.204436	-1.119106	-1.025616	-1.008421	-1.020390	-1.063193	-1.037518	-1.003502	-1.065509	-1.058428	-0.991169	-1.115456	-1.081408	-1.011063	-1.062845	-1.016494	-1.052523	-0.988698	-1.078041	-1.038907	-1.068665	-1.081033	-1.073314	-1.045192	-1.146391	-1.035367	-1.056162	-1.105173	-1.062279	-1.078983	-1.003257	-1.038064	-1.018574	-1.043750	-1.042182	-1.053973	-1.040599	-1.063500	-1.060204	-1.010264	-1.056093	-1.049748	-1.033313	-1.002536	-1.109144
	0.0	-0.037310	0.016114	-0.035738	-0.058706	0.006802	-0.021584	-0.010468	-0.063920	-0.021443	-0.043990	-0.026598	-0.002681	0.023057	0.000378	-0.016953	0.001301	-0.044565	-0.061058	-0.026994	-0.009676	-0.008679	-0.018295	-0.016307	-0.019074	-0.019702	-0.042860	-0.024353	0.008085	-0.040976	-0.007225	-0.035998	-0.011008	-0.003259	-0.026192	-0.041412	-0.033718	-0.010234	-0.009734	-0.009675	-0.055876	-0.020042	-0.021274	-0.003860	-0.024283	-0.035006	-0.044553	-0.000920	0.009879	-0.012177	-0.042910	-0.024579	-0.039931	-0.045671	-0.036768	-0.026387	-0.061162	-0.023481	-0.001452	0.016653	0.019801	-0.025858	-0.032450	-0.013201
	0.0	0.020645	0.017309	0.024076	0.054591	0.023803	0.017286	0.015463	0.022302	0.016404	0.027534	0.009919	0.013385	-0.052866	0.006016	-0.037056	0.011959	0.029213	0.005429	0.079272	0.010528	0.064403	0.043466	0.017558	0.025263	0.033063	0.060774	0.020625	0.012406	0.065288	0.011040	0.020876	-0.003717	0.013585	0.055391	0.022667	-0.011604	0.021249	0.010613	0.012774	0.036046	0.019398	0.021232	0.017126	0.027835	0.030186	0.023470	0.026973	0.031109	0.042770	0.008147	0.046743	0.034436	0.034025	-0.001522	0.031758	0.030469	0.019726	0.079307	0.024395	0.030163	0.034639	0.053979	0.015608
	0.0	0.014369	-0.035487	0.009448	-0.003271	-0.032509	0.003408	-0.005433	0.035097	0.004185	0.013207	0.015487	-0.011060	0.025341	-0.006485	0.049245	-0.013640	0.011970	0.048666	-0.065495	-0.001089	-0.065536	-0.028729	-0.001918	-0.007414	-0.015361	-0.025131	0.002553	-0.021258	-0.032538	-0.004035	0.012965	0.014331	-0.010683	-0.035037	0.015934	0.041814	-0.011823	-0.001119	-0.003409	0.014599	-0.000250	-0.000999	-0.013844	-0.005161	0.002366	0.017856	-0.027779	-0.044440	-0.034255	0.031467	-0.026232	0.002306	0.007886	0.035299	-0.007409	0.024767	0.002669	-0.095291	-0.044250	-0.054812	-0.011096	-0.027034	-0.002899
SSx	30																																																															
		AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDKN3	CHD5	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC	ULK2	WSB1
	slope = bias	1.020877	1.069038	1.025320	1.085050	1.103610	1.054489	1.067589	1.036442	1.101139	1.065901	1.028461	1.023364	1.022078	1.056117	1.023572	1.054917	1.032683	1.056921	1.026426	1.044235	1.054549	1.033894	1.027573	1.019790	1.022546	1.021007	1.055702	0.997366	1.013052	1.088125	1.064642	1.072441	0.999198	1.033737	0.989233	1.050438	1.097354	1.063216	1.059366	1.039665	1.023405	1.061949	1.047525	1.097173	1.042318	1.027580	1.033353	1.034407	1.030906	1.025727	1.060126	1.052242	1.050908	1.037541	1.018927	1.007554	1.029883	1.049270	1.027700	1.105153	1.076858	1.007601	1.044720
	correlation = R	0.998545	0.999619	0.999033	0.994480	0.998042	0.999575	0.997057	0.999195	0.999189	0.998846	0.997869	0.999412	0.999559	0.999447	0.999838	0.999729	0.998500	0.998987	0.999081	0.998941	0.999068	0.998995	0.999492	0.998367	0.999722	0.999266	0.998397	0.999238	0.998737	0.996665	0.999408	0.999506	0.998744	0.999318	0.995485	0.999204	0.999121	0.998946	0.998528	0.997859	0.999368	0.999023	0.998771	0.998505	0.999138	0.993526	0.998936	0.999714	0.998889	0.999141	0.999321	0.999568	0.999374	0.999566	0.998738	0.998873	0.999586	0.998525	0.998791	0.998896	0.999348	0.998812	0.999514
																																																																
	Sres	0.083764	0.044847	0.068559	0.173904	0.105055	0.046702	0.124691	0.063226	0.067416	0.077856	0.102162	0.053327	0.046141	0.053382	0.028029	0.037319	0.086018	0.072334	0.066899	0.073079	0.069223	0.070461	0.049777	0.088631	0.036638	0.059472	0.090925	0.059192	0.077409	0.135340	0.055672	0.051208	0.076140	0.058020	0.143289	0.063702	0.069928	0.074203	0.087403	0.103514	0.055312	0.071354	0.078963	0.091245	0.065792	0.178494	0.072462	0.037561	0.073884	0.064640	0.059385	0.046987	0.056520	0.046453	0.077831	0.072719	0.045034	0.086662	0.076826	0.078953	0.059083	0.074671	0.049484
	Sxx	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
	se of slope	0.015293	0.008188	0.012517	0.031750	0.019180	0.008527	0.022765	0.011543	0.012308	0.014215	0.018652	0.009736	0.008424	0.009746	0.005117	0.006813	0.015705	0.013206	0.012214	0.013342	0.012638	0.012864	0.009088	0.016182	0.006689	0.010858	0.016601	0.010807	0.014133	0.024710	0.010164	0.009349	0.013901	0.010593	0.026161	0.011630	0.012767	0.013547	0.015958	0.018899	0.010099	0.013027	0.014417	0.016659	0.012012	0.032588	0.013230	0.006858	0.013489	0.011802	0.010842	0.008579	0.010319	0.008481	0.014210	0.013277	0.008222	0.015822	0.014026	0.014415	0.010787	0.013633	0.009034
expected slope	1																																																															
	t	1.365130	8.431725	2.022783	2.678691	5.401871	6.390439	2.968954	3.156992	8.217095	4.636169	1.525857	2.399707	2.620770	5.757833	4.606281	8.060037	2.081105	4.310145	2.163610	3.315391	4.316182	2.634749	3.033992	1.223009	3.370474	1.934678	3.355421	0.243710	0.923534	3.566433	6.359740	7.748330	0.057727	3.184878	0.411586	4.336739	7.625381	4.666254	3.720224	2.098774	2.317704	4.755268	3.296556	5.833057	3.522992	0.846315	2.521055	5.017352	2.291176	2.179953	5.545519	6.089871	4.933433	4.426386	1.331952	0.568993	3.634570	3.113983	1.974845	7.294842	7.124968	0.557557	4.949954
	p (slope = 1)	1.9537e-01	1.2520e-06	6.4164e-02	1.8948e-02	1.2075e-04	2.3789e-05	1.0869e-02	7.5691e-03	1.6660e-06	4.6606e-04	1.5100e-01	3.2103e-02	2.1155e-02	6.6229e-05	4.9205e-04	2.0602e-06	5.7758e-02	8.4720e-04	4.9704e-02	5.5800e-03	8.3778e-04	2.0601e-02	9.5909e-03	2.4303e-01	5.0192e-03	7.5092e-02	5.1666e-03	8.1126e-01	3.7255e-01	3.4462e-03	2.4969e-05	3.1675e-06	9.5484e-01	7.1734e-03	6.8735e-01	8.0652e-04	3.7653e-06	4.4134e-04	2.5691e-03	5.5937e-02	3.7409e-02	3.7585e-04	5.7859e-03	5.8466e-05	3.7453e-03	4.1269e-01	2.5553e-02	2.3562e-04	3.9297e-02	4.8239e-02	9.4561e-05	3.8428e-05	2.7336e-04	6.8365e-04	2.0576e-01	5.7906e-01	3.0252e-03	8.2224e-03	6.9914e-02	6.0489e-06	7.7591e-06	5.8662e-01	2.6546e-04
																																																																
	Derivation from regression																																																															
	is independent of scaling																																																															
	ncount	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
	ngroups	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
																																																																
	var	2.239779	2.450815	2.257108	2.550938	2.620152	2.384768	2.456752	2.305597	2.602451	2.440225	2.276258	2.246799	2.240498	2.392753	2.245801	2.385971	2.292088	2.398607	2.261766	2.341588	2.387467	2.295190	2.264957	2.235807	2.241817	2.237117	2.395904	2.134838	2.204724	2.554186	2.431726	2.466997	2.144802	2.293010	2.116025	2.368239	2.584939	2.427459	2.411927	2.326170	2.247181	2.421304	2.357166	2.587278	2.332076	2.292272	2.293056	2.294163	2.282429	2.258414	2.411561	2.374651	2.369556	2.308771	2.230365	2.180265	2.274725	2.366190	2.268697	2.622995	2.488147	2.180735	2.341073
	SStotal	31.356908	34.311416	31.599510	35.713128	36.682132	33.386749	34.394535	32.278358	36.434313	34.163144	31.867618	31.455190	31.366979	33.498539	31.441213	33.403596	32.089229	33.580503	31.664720	32.782230	33.424532	32.132663	31.709392	31.301295	31.385442	31.319634	33.542659	29.887731	30.866142	35.758598	34.044168	34.537964	30.027235	32.102138	29.624343	33.155344	36.189152	33.984429	33.766972	32.566379	31.460530	33.898254	33.000317	36.221891	32.649057	32.091805	32.102784	32.118276	31.954008	31.617800	33.761848	33.245112	33.173788	32.322787	31.225112	30.523712	31.846153	33.126662	31.761757	36.721925	34.834056	30.530290	32.775028
																																																																
	variance per concentration	0.036499	0.003219	0.022794	0.182814	0.024518	0.002631	0.091886	0.016764	0.022843	0.018861	0.064866	0.012679	0.001483	0.007746	0.000959	0.000269	0.037667	0.023086	0.000592	0.019481	0.012300	0.015681	0.011549	0.033101	0.001641	0.000866	0.045064	0.010316	0.032873	0.087050	0.010618	0.007956	0.004058	0.002795	0.081687	0.011144	0.019261	0.020028	0.026289	0.055977	0.011701	0.030204	0.002242	0.020240	0.010321	0.173944	0.017514	0.001484	0.027086	0.012008	0.008660	0.008765	0.006793	0.002232	0.033105	0.014575	0.005412	0.032429	0.031998	0.008610	0.000817	0.020913	0.001809
		0.003635	0.002467	0.002788	0.002703	0.029417	0.006632	0.002247	0.001838	0.000720	0.004318	0.000103	0.000305	0.002935	0.001374	0.000635	0.002557	0.000923	0.000977	0.003120	0.004348	0.001324	0.004272	0.000494	0.004506	0.000181	0.003841	0.001337	0.004721	0.001060	0.007238	0.004445	0.003518	0.000097	0.006690	0.001529	0.002843	0.002978	0.002713	0.007279	0.001179	0.000810	0.000046	0.003397	0.020347	0.001325	0.001468	0.000811	0.000905	0.000134	0.007697	0.001792	0.000415	0.005265	0.001173	0.001225	0.001322	0.000342	0.000159	0.002211	0.002333	0.001719	0.005263	0.002009
		0.000727	0.005397	0.000658	0.001105	0.008748	0.000639	0.000047	0.001302	0.001128	0.000364	0.001097	0.000376	0.000078	0.002650	0.000228	0.001664	0.000600	0.002378	0.000504	0.005574	0.000333	0.000170	0.002186	0.000412	0.000390	0.000160	0.002577	0.000334	0.000056	0.003540	0.000155	0.000079	0.001524	0.000128	0.000530	0.002076	0.004003	0.000295	0.000256	0.000308	0.000622	0.000176	0.002379	0.004940	0.001630	0.004765	0.000930	0.000662	0.000355	0.000948	0.000860	0.000439	0.000034	0.000121	0.000092	0.001021	0.000065	0.000784	0.000141	0.004176	0.001317	0.003117	0.001480
		0.000171	0.000196	0.000744	0.000330	0.001357	0.000240	0.000248	0.000821	0.000132	0.000452	0.000225	0.000381	0.000082	0.001799	0.000045	0.000573	0.005075	0.000205	0.000858	0.000147	0.000681	0.003884	0.000683	0.000473	0.000244	0.000642	0.000523	0.000078	0.000799	0.001370	0.000446	0.001969	0.000009	0.000617	0.000482	0.002009	0.001018	0.000807	0.000582	0.000471	0.000035	0.000560	0.000163	0.001005	0.000101	0.000238	0.000399	0.000021	0.000540	0.000598	0.000504	0.000064	0.002390	0.002329	0.000262	0.000465	0.000082	0.000911	0.000179	0.004141	0.000497	0.002333	0.000171
		0.001011	0.000909	0.000972	0.003210	0.000834	0.000388	0.000189	0.002900	0.000373	0.001432	0.000523	0.000154	0.001981	0.000039	0.002039	0.000165	0.001489	0.003055	0.005622	0.000103	0.004243	0.001523	0.000289	0.000528	0.000858	0.003072	0.000512	0.000336	0.003489	0.000095	0.000949	0.000170	0.000155	0.002485	0.001240	0.001508	0.000348	0.000104	0.000134	0.002313	0.000389	0.000452	0.000250	0.000695	0.001070	0.001426	0.000750	0.001518	0.001573	0.001447	0.001736	0.001391	0.001651	0.001299	0.000879	0.002635	0.000474	0.007635	0.001414	0.002149	0.000995	0.002344	0.000213
	SS per concentration	0.072998	0.006438	0.045588	0.365627	0.049037	0.005262	0.183772	0.033528	0.045685	0.037722	0.129733	0.025357	0.002966	0.015492	0.001919	0.000537	0.075335	0.046173	0.001184	0.038962	0.024600	0.031362	0.023099	0.066203	0.003281	0.001731	0.090127	0.020633	0.065747	0.174100	0.021236	0.015913	0.008116	0.005591	0.163373	0.022288	0.038522	0.040055	0.052579	0.111954	0.023402	0.060407	0.004485	0.040480	0.020642	0.347888	0.035028	0.002967	0.054172	0.024016	0.017320	0.017529	0.013586	0.004464	0.066211	0.029150	0.010824	0.064858	0.063996	0.017220	0.001634	0.041825	0.003617
		0.007271	0.004933	0.005576	0.005407	0.058835	0.013264	0.004495	0.003676	0.001439	0.008635	0.000205	0.000610	0.005869	0.002749	0.001270	0.005115	0.001846	0.001954	0.006240	0.008696	0.002648	0.008544	0.000989	0.009012	0.000363	0.007681	0.002674	0.009441	0.002119	0.014476	0.008891	0.007035	0.000195	0.013379	0.003057	0.005686	0.005956	0.005425	0.014557	0.002357	0.001619	0.000092	0.006795	0.040695	0.002651	0.002935	0.001623	0.001810	0.000268	0.015394	0.003585	0.000831	0.010530	0.002345	0.002450	0.002645	0.000683	0.000318	0.004422	0.004666	0.003438	0.010526	0.004018
		0.001454	0.010795	0.001316	0.002210	0.017496	0.001278	0.000094	0.002604	0.002256	0.000727	0.002195	0.000752	0.000157	0.005301	0.000457	0.003327	0.001200	0.004756	0.001007	0.011149	0.000666	0.000341	0.004373	0.000824	0.000779	0.000320	0.005154	0.000668	0.000113	0.007080	0.000310	0.000158	0.003049	0.000256	0.001060	0.004153	0.008005	0.000591	0.000513	0.000615	0.001245	0.000352	0.004758	0.009879	0.003261	0.009530	0.001860	0.001324	0.000710	0.001896	0.001719	0.000878	0.000068	0.000241	0.000185	0.002041	0.000129	0.001568	0.000282	0.008352	0.002633	0.006234	0.002960
		0.000343	0.000393	0.001488	0.000659	0.002715	0.000480	0.000495	0.001641	0.000265	0.000905	0.000450	0.000762	0.000165	0.003598	0.000090	0.001146	0.010151	0.000411	0.001716	0.000293	0.001361	0.007768	0.001365	0.000946	0.000487	0.001285	0.001045	0.000155	0.001598	0.002740	0.000891	0.003939	0.000019	0.001234	0.000964	0.004018	0.002035	0.001614	0.001164	0.000941	0.000070	0.001120	0.000326	0.002010	0.000201	0.000476	0.000799	0.000042	0.001080	0.001196	0.001008	0.000127	0.004781	0.004657	0.000523	0.000931	0.000164	0.001822	0.000359	0.008281	0.000995	0.004666	0.000342
		0.002023	0.001817	0.001944	0.006419	0.001668	0.000776	0.000378	0.005801	0.000746	0.002864	0.001045	0.000309	0.003962	0.000078	0.004078	0.000331	0.002979	0.006110	0.011244	0.000206	0.008486	0.003045	0.000578	0.001057	0.001716	0.006145	0.001025	0.000671	0.006978	0.000190	0.001898	0.000340	0.000309	0.004970	0.002480	0.003016	0.000696	0.000209	0.000268	0.004625	0.000778	0.000904	0.000500	0.001390	0.002140	0.002851	0.001499	0.003036	0.003146	0.002894	0.003472	0.002782	0.003301	0.002597	0.001758	0.005271	0.000947	0.015271	0.002827	0.004298	0.001990	0.004687	0.000426
	SSwithin	0.084088	0.024376	0.055912	0.380322	0.129752	0.021061	0.189233	0.047250	0.050392	0.050854	0.133628	0.027789	0.013118	0.027218	0.007814	0.010456	0.091511	0.059403	0.021392	0.059305	0.037761	0.051060	0.030403	0.078041	0.006627	0.017161	0.100025	0.031569	0.076554	0.198587	0.033226	0.027386	0.011688	0.025430	0.170935	0.039161	0.055214	0.047893	0.069082	0.120493	0.027113	0.062876	0.016862	0.094454	0.028896	0.363680	0.040808	0.009180	0.059376	0.045396	0.027103	0.022147	0.032266	0.014305	0.071127	0.040038	0.012748	0.083837	0.071885	0.042818	0.010689	0.067939	0.011364
	SSbetween	31.272819	34.287039	31.543599	35.332805	36.552381	33.365688	34.205302	32.231107	36.383921	34.112290	31.733989	31.427401	31.353861	33.471320	31.433399	33.393140	31.997718	33.521100	31.643328	32.722925	33.386771	32.081602	31.678989	31.223254	31.378815	31.302473	33.442634	29.856162	30.789588	35.560011	34.010942	34.510578	30.015547	32.076708	29.453409	33.116182	36.133937	33.936536	33.697891	32.445886	31.433417	33.835379	32.983455	36.127437	32.620162	31.728125	32.061976	32.109095	31.894632	31.572404	33.734744	33.222964	33.141523	32.308483	31.153985	30.483674	31.833405	33.042826	31.689871	36.679107	34.823367	30.462351	32.763664
																																																																
