		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
ratio	Bias as ratio mean	8944.68	9571.85	42016.79	9430.22	8066.21	8901.95	10620.14	9346.29	9538.79	10408.86	9312.60	8855.46	9912.46	9902.79	9738.07	10188.40	10158.55	9151.35	9464.43	9973.93	9736.19	9270.20	9731.61	9625.10	9256.86	9776.98	9013.95	9259.68	9774.65	8970.51	8023.99	9477.80	9643.46	8955.87	9261.65	7352.26	10616.39	9563.24	10524.00	8803.29	9016.07	9359.17	9365.17	9056.32	9973.86	9278.56	7490.01	9032.06	10444.50	9833.37	9406.08	10325.96	9831.02	9765.52	9608.64	9160.14	9405.37	9637.29	9296.92	9455.94	8932.90	10713.16	9860.44	9612.38
																																																																	
	take log																																																																
	-4.0	-4.185137	-4.024426	-4.891305	-3.859280	-4.323675	-4.114320	-4.072720	-3.994448	-4.133042	-3.993126	-4.098536	-3.858762	-4.095370	-3.967063	-4.074236	-4.030014	-3.999213	-4.151757	-4.060823	-3.975271	-3.977080	-4.069971	-3.950166	-3.885605	-4.181129	-3.995822	-3.954159	-4.194448	-3.916093	-3.867398	-3.899671	-3.928421	-3.931363	-3.996156	-3.952966	-3.603055	-4.112130	-3.921140	-4.137966	-3.991338	-3.839366	-3.798264	-3.792840	-3.921246	-4.059540	-3.881820	-3.738334	-3.919635	-3.968296	-3.818042	-4.095472	-4.113582	-4.062901	-4.067096	-3.948486	-3.841126	-4.106463	-3.987874	-3.801154	-3.816783	-3.981255	-4.026518	-3.934779	-3.967097
	-4.0	-3.817188	-3.942963	-4.686162	-4.164482	-3.632774	-3.863264	-4.029593	-4.271774	-3.964930	-4.168985	-4.005935	-3.835219	-3.948042	-3.996425	-3.928402	-3.980458	-4.002292	-4.023794	-3.820123	-4.033723	-3.891010	-3.860056	-3.886064	-4.115951	-3.818654	-3.942817	-3.971903	-3.929216	-3.958587	-4.175830	-3.717091	-4.081069	-3.953717	-3.887340	-3.944203	-4.006730	-4.051750	-4.135848	-3.928713	-4.105168	-3.885623	-4.056493	-4.106225	-3.946961	-3.881819	-3.942783	-3.744077	-4.093661	-4.087719	-4.126588	-3.915920	-3.923489	-4.020203	-3.961442	-3.995144	-4.214799	-3.909328	-3.909027	-4.139147	-4.087044	-4.027809	-4.009827	-4.179559	-3.967097
	-4.0	-3.928991	-3.979418	-4.420702	-3.953169	-4.038426	-3.909588	-3.980938	-3.779338	-3.877845	-3.924985	-3.842240	-4.266022	-3.959966	-4.025768	-3.975273	-4.015348	-4.019259	-3.788764	-4.103851	-3.989717	-4.129690	-3.997930	-4.179686	-3.978887	-3.973220	-4.037140	-3.939297	-3.846565	-4.121488	-3.879374	-4.251311	-3.936892	-4.082366	-3.981007	-4.005380	-4.220781	-3.933411	-3.918471	-4.024841	-3.795137	-4.237666	-4.133036	-4.092000	-4.007054	-4.084478	-4.108074	-4.424885	-3.881994	-4.009002	-4.106084	-3.930643	-4.025587	-3.909440	-3.949875	-4.006560	-3.912380	-3.929998	-4.069782	-4.036059	-4.081230	-3.861289	-4.054581	-3.913977	-4.016119
	-3.0	-3.122406	-3.022185	-0.543312	-3.011326	-3.023076	-3.197294	-2.968809	-2.930538	-3.033666	-2.855134	-2.999537	-2.999610	-2.999833	-3.087038	-3.031536	-2.920105	-3.059368	-2.946814	-3.041421	-2.983662	-2.996769	-3.005669	-2.921253	-2.985036	-3.087966	-3.037689	-3.030447	-3.056571	-3.146341	-3.001823	-3.171667	-3.024314	-2.977829	-3.128327	-2.971494	-3.159620	-2.855576	-3.002146	-3.011821	-3.044166	-3.068773	-3.008449	-2.957659	-3.194657	-2.918442	-3.042953	-3.095195	-3.093000	-3.006686	-2.919127	-3.034019	-2.975258	-2.983241	-2.961988	-3.100670	-3.025789	-3.075486	-2.998703	-3.005014	-3.023454	-3.099085	-2.871946	-2.955450	-3.082946
	-3.0	-3.039872	-2.954707	-4.104049	-3.020019	-2.933554	-2.932593	-3.017556	-3.040868	-2.975779	-2.911935	-3.037686	-3.023169	-3.029315	-3.049249	-3.060461	-2.952222	-3.025232	-2.993366	-3.032634	-3.083039	-3.097559	-3.048898	-3.086861	-2.999466	-2.984168	-3.066947	-3.074859	-3.062372	-3.016505	-3.067914	-3.033416	-2.976261	-2.963887	-3.167631	-3.018070	-3.205522	-2.904565	-2.982794	-2.926927	-3.180806	-3.054375	-3.046681	-2.974590	-3.137477	-2.896201	-3.074962	-3.057370	-3.078482	-2.963042	-2.957157	-2.986907	-2.955425	-3.028892	-3.068140	-3.100670	-3.031483	-3.174096	-3.039639	-3.030676	-3.061749	-3.047056	-2.925060	-2.976536	-3.077128
	-3.0	-2.989648	-2.988513	-4.275241	-3.096239	-2.958554	-2.995367	-2.988948	-3.021066	-2.981307	-2.968570	-3.081186	-3.025895	-3.064702	-3.078486	-3.127514	-3.001968	-3.002292	-3.019424	-3.007012	-3.024618	-3.045788	-3.034219	-3.026010	-2.979142	-3.126581	-3.008221	-3.128157	-3.039366	-3.025563	-3.088745	-3.052577	-3.097735	-3.028335	-3.161588	-3.137525	-3.208604	-2.965178	-3.062758	-2.929759	-3.104011	-3.112030	-3.067258	-2.997053	-3.085958	-3.071201	-3.068984	-3.182507	-3.130728	-2.986378	-2.980682	-3.151384	-2.932826	-2.966337	-3.073753	-3.056970	-3.031483	-3.087443	-3.048516	-3.042156	-2.985245	-3.052764	-2.947443	-3.066025	-3.088561
	-2.0	-2.009306	-1.977621	-3.350887	-1.993174	-1.943177	-1.917221	-1.988140	-1.970932	-1.939948	-1.893066	-2.025717	-1.988065	-1.966400	-2.022566	-1.985554	-1.997154	-1.976901	-1.959772	-1.961933	-1.988886	-2.019423	-1.906722	-1.976737	-1.938583	-2.012605	-2.040998	-1.946664	-1.989923	-2.008166	-2.025761	-1.914878	-2.010199	-1.946053	-2.045794	-1.963825	-2.058762	-1.918943	-1.920783	-1.959306	-2.057542	-2.009563	-1.942622	-1.961442	-1.993309	-1.935581	-1.966090	-2.001247	-2.008018	-1.937435	-1.905362	-2.034321	-1.916465	-1.952067	-1.974449	-2.051804	-1.972840	-2.032391	-1.954021	-1.951233	-1.977444	-1.946294	-1.887892	-1.922614	-1.976818
	-2.0	-1.994636	-2.017002	-4.018463	-2.010665	-1.976703	-2.056561	-1.988140	-1.979482	-1.977614	-1.955441	-1.993035	-2.023169	-1.954526	-2.022566	-2.096188	-1.976636	-2.002530	-1.965608	-2.059226	-2.015406	-2.002043	-1.938465	-1.962187	-2.023036	-2.054210	-2.049947	-1.979449	-2.046986	-2.005164	-2.019652	-1.956464	-2.024314	-1.943276	-2.121489	-1.972546	-2.061800	-1.962153	-1.997865	-1.984685	-2.028940	-2.038444	-1.977824	-1.950192	-2.061977	-1.991057	-1.986517	-2.044866	-2.074875	-2.018986	-1.876006	-2.060763	-1.905102	-1.963582	-1.974449	-1.990660	-2.005446	-2.059632	-1.951145	-1.928262	-1.977444	-1.987317	-1.963398	-2.027226	-2.019962
	-2.0	-2.038829	-2.081421	-2.375032	-1.993174	-1.951711	-1.947258	-1.953828	-1.965324	-2.021293	-1.901518	-1.933044	-1.929532	-1.960423	-2.013792	-2.032283	-1.964874	-2.025482	-1.977288	-2.007578	-1.986129	-2.047956	-1.949936	-1.991224	-1.970571	-2.030521	-2.073460	-1.932052	-2.032869	-2.017199	-2.025761	-2.000687	-2.012811	-1.929166	-2.061139	-1.969695	-2.098470	-1.990857	-1.978495	-1.947930	-1.992025	-2.006645	-1.980791	-1.896597	-2.061977	-1.935581	-2.003958	-2.097254	-2.057476	-1.978188	-1.964055	-2.010538	-1.939164	-1.926538	-1.971370	-2.022722	-1.987658	-2.032391	-1.977525	-1.994174	-2.036021	-2.044728	-1.946597	-1.970406	-2.022867
	-1.0	-1.040568	-0.961347	-1.553296	-1.033742	-1.003517	-0.975615	-1.047720	-1.045683	-0.991438	-0.973578	-1.016538	-1.023416	-1.041801	-1.066554	-1.059266	-0.986385	-1.056935	-0.969923	-1.028456	-1.061588	-1.056103	-0.980579	-1.038148	-0.991274	-1.062006	-1.032773	-1.011018	-1.034609	-1.066248	-1.013627	-0.990207	-1.007028	-0.961519	-1.111578	-0.976555	-1.086288	-0.973496	-1.001716	-1.039609	-1.053565	-1.054080	-1.032589	-1.001954	-1.063679	-0.983183	-1.019962	-1.041079	-1.007294	-1.028294	-0.979849	-1.007974	-0.990975	-1.003330	-1.012288	-1.047062	-1.012121	-1.091217	-1.002835	-1.000587	-1.007814	-0.952152	-0.982134	-1.003270	-1.058014
	-1.0	-0.972925	-0.952798	-2.803019	-1.039355	-0.941899	-0.989381	-1.053543	-1.051306	-1.008866	-0.979246	-1.019230	-1.000078	-1.041801	-1.072479	-1.079621	-0.986385	-1.042616	-0.987385	-1.011274	-1.088224	-1.047646	-0.983423	-1.023561	-0.985295	-1.067946	-1.032773	-0.975461	-1.046218	-1.066248	-1.007685	-1.015065	-1.012811	-1.014776	-1.050973	-0.979453	-1.077119	-1.028311	-1.037536	-1.039609	-1.056345	-1.074298	-1.044377	-0.993507	-1.057971	-1.008115	-1.022919	-1.064364	-1.059511	-1.037186	-1.000291	-1.049054	-1.030878	-1.006098	-1.052396	-1.087729	-1.020931	-1.109136	-1.011689	-1.014915	-1.039942	-1.034239	-0.984895	-1.063001	-1.049409
	-1.0	-0.993384	-0.938844	-2.417938	-1.004104	-0.953018	-0.931980	-1.039242	-0.983336	-0.933588	-0.950917	-0.975596	-0.944317	-1.015359	-1.051896	-1.036036	-0.951503	-1.028502	-0.923435	-0.996950	-0.933148	-1.030314	-0.943121	-0.994637	-0.947484	-1.011382	-0.994328	-0.951897	-1.014655	-1.045112	-0.962553	-0.987627	-0.970414	-0.925286	-1.023923	-0.959055	-1.061800	-0.910068	-0.957810	-0.971645	-1.002105	-1.022254	-1.014843	-0.914511	-1.043630	-0.944318	-1.002446	-1.041079	-1.016064	-1.016616	-0.965126	-0.996205	-0.959755	-0.952067	-0.980673	-1.017607	-0.982274	-1.025355	-1.005844	-0.957569	-0.981327	-0.938431	-0.954163	-0.976227	-1.040717
	0.0	-0.048305	0.035403	0.167118	-0.033046	-0.035565	0.006755	-0.006895	-0.009948	-0.048563	-0.045618	-0.004728	-0.014850	0.021154	-0.002137	-0.001971	-0.010934	-0.000158	-0.046601	-0.066298	0.003017	-0.015660	-0.005369	-0.012413	0.000000	-0.019185	-0.018348	-0.025118	-0.022333	0.011543	-0.049182	-0.004832	-0.021039	0.011413	-0.002101	-0.027110	-0.052620	-0.033863	-0.016802	-0.018190	-0.015315	-0.046771	0.015621	-0.011538	0.008993	-0.022486	-0.030097	-0.028565	-0.053032	0.014723	-0.004086	-0.025951	0.016690	-0.020203	-0.067444	-0.044890	-0.027335	-0.024193	-0.007939	0.044818	0.017754	0.031179	-0.020465	-0.026879	-0.006891
	0.0	0.019250	0.001727	-0.064067	0.031508	0.037180	0.020472	0.018863	0.029695	0.026777	0.025383	0.014525	0.017370	0.000666	-0.016930	0.006657	-0.010934	0.011281	0.025950	0.031130	0.032171	0.018946	0.083850	0.048801	0.005837	0.025286	0.034523	0.078593	0.026176	0.017583	0.070570	0.014655	0.021324	-0.033259	0.007112	0.066044	0.039114	-0.013763	0.021709	0.015824	0.010374	0.042771	0.024339	0.016782	0.020431	0.016406	0.042330	0.017795	0.005011	0.020729	0.051701	0.021136	0.028025	0.025059	0.044245	0.016294	0.052577	0.023378	0.015456	0.067742	0.035327	0.031179	0.038246	0.056728	0.013462
	0.0	0.025282	-0.040442	-0.175335	-0.000861	-0.004695	-0.028698	-0.012620	-0.021418	0.017951	0.016833	-0.010186	-0.003134	-0.022940	0.018343	-0.004768	0.021075	-0.011420	0.017105	0.028272	-0.038038	-0.004003	-0.097281	-0.041316	-0.005916	-0.007331	-0.018348	-0.066604	-0.005244	-0.030701	-0.031224	-0.010219	-0.001321	0.019986	-0.005104	-0.047561	0.008544	0.043835	-0.005818	0.001696	0.004526	-0.000608	-0.043000	-0.005762	-0.031093	0.005163	-0.015662	0.009379	0.042711	-0.037806	-0.054067	0.003518	-0.048582	-0.006098	0.015606	0.025294	-0.030442	-0.000488	-0.007939	-0.141171	-0.058722	-0.070000	-0.020465	-0.035986	-0.006891
SSx	30																																																																
		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	slope = bias	1.000005	0.999980	1.000004	0.999982	1.000011	0.999989	1.000000	0.999997	1.000027	0.999976	0.999990	0.999988	0.999980	1.000030	1.000008	1.000003	0.999992	1.000013	1.000006	1.000003	1.000006	0.999999	0.999992	1.000011	1.000031	1.000007	0.999985	1.000016	0.999999	1.000005	1.000004	0.999958	0.999988	0.999996	0.999996	0.999991	1.000015	0.999991	0.999978	0.999981	1.000021	1.000003	1.000014	1.000000	1.000002	1.000002	1.000012	0.999977	0.999978	1.000007	1.000018	0.999983	0.999986	1.000006	0.999990	0.999988	1.000010	0.999967	1.000009	1.000006	0.999983	0.999991	0.999996	1.000016
	correlation = R	0.998411	0.999615	0.807914	0.998974	0.995770	0.998321	0.999726	0.997702	0.999221	0.998742	0.999178	0.997866	0.999542	0.999694	0.999365	0.999806	0.999867	0.998681	0.998993	0.999552	0.999289	0.999020	0.998829	0.999446	0.998457	0.999706	0.999149	0.998713	0.999200	0.998572	0.996740	0.999521	0.999524	0.998606	0.999383	0.994913	0.998974	0.999237	0.999273	0.998372	0.998021	0.998708	0.998688	0.998843	0.999098	0.999245	0.994031	0.998894	0.999674	0.998477	0.999187	0.999249	0.999602	0.999468	0.999494	0.998539	0.998853	0.999623	0.998359	0.998981	0.999096	0.999381	0.998866	0.999612
																																																																	
	Sres	0.085738	0.042164	1.108058	0.068864	0.140175	0.088144	0.035590	0.103159	0.060001	0.076255	0.061618	0.099403	0.045992	0.037578	0.054142	0.029954	0.024793	0.078090	0.068231	0.045463	0.057301	0.067310	0.073584	0.050588	0.084493	0.036832	0.062719	0.077133	0.060814	0.081267	0.122965	0.047043	0.046876	0.080301	0.053405	0.153817	0.068876	0.059379	0.057948	0.086778	0.095714	0.077310	0.077900	0.073127	0.064560	0.059046	0.166729	0.071491	0.038785	0.083934	0.061278	0.058919	0.042884	0.049589	0.048335	0.082198	0.072829	0.041737	0.087144	0.068622	0.064628	0.053485	0.072417	0.042349
	Sxx	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
	se of slope	0.015653	0.007698	0.202303	0.012573	0.025592	0.016093	0.006498	0.018834	0.010955	0.013922	0.011250	0.018148	0.008397	0.006861	0.009885	0.005469	0.004527	0.014257	0.012457	0.008300	0.010462	0.012289	0.013435	0.009236	0.015426	0.006724	0.011451	0.014082	0.011103	0.014837	0.022450	0.008589	0.008558	0.014661	0.009750	0.028083	0.012575	0.010841	0.010580	0.015843	0.017475	0.014115	0.014222	0.013351	0.011787	0.010780	0.030440	0.013052	0.007081	0.015324	0.011188	0.010757	0.007830	0.009054	0.008825	0.015007	0.013297	0.007620	0.015910	0.012529	0.011799	0.009765	0.013221	0.007732
expected slope	1																																																																
	t	0.000290	0.002579	0.000020	0.001459	0.000443	0.000662	0.000038	0.000139	0.002504	0.001706	0.000930	0.000665	0.002358	0.004407	0.000831	0.000481	0.001686	0.000934	0.000507	0.000324	0.000576	0.000059	0.000609	0.001148	0.002009	0.000967	0.001321	0.001143	0.000046	0.000340	0.000173	0.004840	0.001390	0.000250	0.000445	0.000305	0.001180	0.000830	0.002074	0.001213	0.001219	0.000202	0.000988	0.000007	0.000195	0.000203	0.000393	0.001786	0.003124	0.000487	0.001638	0.001598	0.001787	0.000612	0.001180	0.000802	0.000734	0.004328	0.000568	0.000518	0.001399	0.000883	0.000338	0.002076
	p (slope = 1)	9.9977e-01	9.9798e-01	9.9998e-01	9.9886e-01	9.9965e-01	9.9948e-01	9.9997e-01	9.9989e-01	9.9804e-01	9.9866e-01	9.9927e-01	9.9948e-01	9.9815e-01	9.9655e-01	9.9935e-01	9.9962e-01	9.9868e-01	9.9927e-01	9.9960e-01	9.9975e-01	9.9955e-01	9.9995e-01	9.9952e-01	9.9910e-01	9.9843e-01	9.9924e-01	9.9897e-01	9.9911e-01	9.9996e-01	9.9973e-01	9.9986e-01	9.9621e-01	9.9891e-01	9.9980e-01	9.9965e-01	9.9976e-01	9.9908e-01	9.9935e-01	9.9838e-01	9.9905e-01	9.9905e-01	9.9984e-01	9.9923e-01	9.9999e-01	9.9985e-01	9.9984e-01	9.9969e-01	9.9860e-01	9.9756e-01	9.9962e-01	9.9872e-01	9.9875e-01	9.9860e-01	9.9952e-01	9.9908e-01	9.9937e-01	9.9943e-01	9.9661e-01	9.9956e-01	9.9959e-01	9.9890e-01	9.9931e-01	9.9974e-01	9.9838e-01
																																																																	
	Derivation from regression																																																																
	is independent of scaling																																																																
	ncount	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
	ngroups	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
																																																																	
	var	2.149702	2.144423	3.282968	2.147182	2.161151	2.150026	2.144034	2.152727	2.146318	2.148155	2.146338	2.151981	2.144737	2.144298	2.145614	2.143702	2.143395	2.148577	2.147207	2.144788	2.145932	2.147061	2.147850	2.145279	2.149619	2.144145	2.146445	2.148451	2.146289	2.149011	2.156914	2.144734	2.144847	2.148829	2.145487	2.164790	2.147326	2.146093	2.145881	2.149767	2.151455	2.148419	2.148552	2.147822	2.146737	2.146104	2.168721	2.147503	2.144159	2.149431	2.146423	2.146007	2.144505	2.145164	2.144982	2.149079	2.147824	2.144333	2.149948	2.147258	2.146665	2.145476	2.147708	2.144591
	SStotal	30.095835	30.021921	45.961548	30.060549	30.256118	30.100363	30.016482	30.138185	30.048448	30.074167	30.048731	30.127729	30.026311	30.020172	30.038600	30.011822	30.007533	30.080074	30.060900	30.027031	30.043046	30.058855	30.069899	30.033904	30.094668	30.018026	30.050230	30.078309	30.048048	30.086158	30.196799	30.026276	30.027852	30.083607	30.036816	30.307060	30.062562	30.045296	30.042337	30.096742	30.120374	30.077870	30.079732	30.069512	30.054322	30.045454	30.362099	30.065043	30.018228	30.092031	30.049915	30.044098	30.023068	30.032301	30.029748	30.087113	30.069539	30.020667	30.099265	30.061606	30.053307	30.036671	30.067906	30.024277
																																																																	
	variance per concentration	0.035583	0.001665	0.055670	0.024436	0.120544	0.017848	0.002109	0.060946	0.016828	0.015851	0.016843	0.058668	0.006697	0.000862	0.005543	0.000648	0.000117	0.033896	0.023382	0.000927	0.014611	0.011377	0.023834	0.013425	0.033084	0.002236	0.000266	0.033034	0.011755	0.030527	0.073730	0.007360	0.006642	0.003474	0.001094	0.098393	0.008265	0.015560	0.010971	0.024595	0.047453	0.030769	0.031318	0.001939	0.012213	0.013705	0.155814	0.012751	0.003686	0.029765	0.009937	0.009050	0.006274	0.004173	0.000947	0.039361	0.011738	0.006461	0.030008	0.023835	0.007381	0.000512	0.021814	0.000801
		0.004493	0.001138	4.439243	0.002183	0.002134	0.019130	0.000600	0.003460	0.001021	0.003217	0.001669	0.000209	0.001055	0.000393	0.002424	0.001701	0.000825	0.001353	0.000320	0.002494	0.002540	0.000483	0.007017	0.000109	0.005424	0.000862	0.002393	0.000143	0.005254	0.002060	0.005610	0.003743	0.001150	0.000448	0.007334	0.000753	0.003014	0.001740	0.002325	0.004692	0.000900	0.000891	0.000391	0.002957	0.009076	0.000290	0.004119	0.000727	0.000477	0.000965	0.007174	0.000451	0.001047	0.003965	0.000637	0.000011	0.002896	0.000706	0.000362	0.001463	0.000814	0.001504	0.003447	0.000033
		0.000507	0.002746	0.683137	0.000102	0.000304	0.005378	0.000392	0.000051	0.001657	0.001145	0.002209	0.002238	0.000035	0.000026	0.003085	0.000267	0.000591	0.000080	0.002369	0.000261	0.000537	0.000501	0.000211	0.001818	0.000436	0.000281	0.000589	0.000883	0.000039	0.000012	0.001841	0.000056	0.000082	0.001601	0.000020	0.000488	0.001310	0.001608	0.000354	0.001079	0.000309	0.000451	0.001201	0.001572	0.001026	0.000359	0.002311	0.001203	0.001663	0.002010	0.000631	0.000301	0.000359	0.000003	0.000935	0.000267	0.000247	0.000209	0.001119	0.001144	0.002445	0.001572	0.002743	0.000665
		0.001203	0.000129	0.409617	0.000359	0.001078	0.000898	0.000052	0.001423	0.001553	0.000225	0.000598	0.001652	0.000233	0.000112	0.000476	0.000406	0.000202	0.001093	0.000249	0.006876	0.000173	0.000506	0.000490	0.000564	0.000966	0.000493	0.000886	0.000255	0.000149	0.000780	0.000230	0.000529	0.002026	0.002015	0.000122	0.000153	0.003502	0.001594	0.001540	0.000933	0.000688	0.000221	0.002326	0.000107	0.001034	0.000122	0.000181	0.000782	0.000106	0.000312	0.000770	0.001271	0.000926	0.001292	0.001240	0.000410	0.001946	0.000020	0.000891	0.000862	0.002684	0.000289	0.001971	0.000075
		0.001669	0.001444	0.030517	0.001042	0.001333	0.000644	0.000281	0.000719	0.001696	0.001502	0.000169	0.000266	0.000487	0.000314	0.000035	0.000342	0.000129	0.001567	0.003074	0.001244	0.000310	0.008203	0.002117	0.000035	0.000530	0.000932	0.005593	0.000605	0.000692	0.004171	0.000171	0.000449	0.000817	0.000041	0.003667	0.002182	0.001626	0.000394	0.000292	0.000181	0.002005	0.001341	0.000224	0.000732	0.000401	0.001470	0.000610	0.002326	0.001037	0.002800	0.000566	0.001710	0.000536	0.003365	0.001458	0.002215	0.000566	0.000182	0.013127	0.002500	0.003412	0.001149	0.002611	0.000138
	SS per concentration	0.071166	0.003330	0.111340	0.048872	0.241088	0.035697	0.004217	0.121892	0.033657	0.031702	0.033686	0.117335	0.013394	0.001723	0.011086	0.001296	0.000233	0.067792	0.046763	0.001854	0.029222	0.022754	0.047667	0.026849	0.066168	0.004471	0.000533	0.066067	0.023510	0.061053	0.147459	0.014720	0.013284	0.006948	0.002189	0.196785	0.016530	0.031120	0.021941	0.049191	0.094905	0.061538	0.062636	0.003878	0.024426	0.027409	0.311628	0.025502	0.007372	0.059530	0.019875	0.018101	0.012547	0.008346	0.001893	0.078722	0.023476	0.012923	0.060016	0.047669	0.014763	0.001023	0.043628	0.001602
		0.008986	0.002277	8.878486	0.004365	0.004267	0.038261	0.001200	0.006920	0.002041	0.006434	0.003338	0.000418	0.002110	0.000785	0.004848	0.003403	0.001650	0.002706	0.000639	0.004989	0.005081	0.000966	0.014034	0.000219	0.010849	0.001724	0.004787	0.000286	0.010509	0.004119	0.011221	0.007485	0.002300	0.000896	0.014668	0.001505	0.006029	0.003481	0.004650	0.009383	0.001801	0.001781	0.000781	0.005913	0.018152	0.000579	0.008238	0.001455	0.000954	0.001930	0.014349	0.000902	0.002094	0.007930	0.001273	0.000022	0.005792	0.001412	0.000723	0.002926	0.001628	0.003007	0.006893	0.000065
		0.001013	0.005492	1.366273	0.000204	0.000607	0.010755	0.000785	0.000102	0.003314	0.002290	0.004418	0.004475	0.000070	0.000051	0.006169	0.000534	0.001181	0.000159	0.004739	0.000523	0.001075	0.001002	0.000422	0.003636	0.000871	0.000562	0.001178	0.001767	0.000078	0.000025	0.003683	0.000113	0.000164	0.003202	0.000040	0.000977	0.002621	0.003216	0.000708	0.002158	0.000618	0.000902	0.002401	0.003144	0.002052	0.000718	0.004622	0.002406	0.003325	0.004020	0.001262	0.000602	0.000719	0.000006	0.001871	0.000533	0.000495	0.000419	0.002239	0.002288	0.004889	0.003143	0.005485	0.001330
		0.002407	0.000258	0.819234	0.000718	0.002157	0.001796	0.000103	0.002846	0.003106	0.000449	0.001196	0.003304	0.000466	0.000225	0.000951	0.000811	0.000404	0.002185	0.000498	0.013752	0.000346	0.001012	0.000981	0.001128	0.001933	0.000985	0.001772	0.000510	0.000298	0.001560	0.000459	0.001057	0.004053	0.004029	0.000244	0.000306	0.007003	0.003189	0.003079	0.001866	0.001377	0.000442	0.004653	0.000213	0.002067	0.000245	0.000361	0.001564	0.000213	0.000624	0.001540	0.002542	0.001852	0.002584	0.002480	0.000821	0.003893	0.000041	0.001781	0.001723	0.005368	0.000578	0.003943	0.000150
		0.003338	0.002888	0.061034	0.002084	0.002666	0.001288	0.000562	0.001439	0.003393	0.003005	0.000337	0.000532	0.000974	0.000627	0.000071	0.000683	0.000258	0.003133	0.006148	0.002488	0.000620	0.016405	0.004235	0.000069	0.001061	0.001864	0.011186	0.001211	0.001384	0.008342	0.000342	0.000899	0.001635	0.000081	0.007334	0.004364	0.003253	0.000787	0.000584	0.000363	0.004010	0.002682	0.000448	0.001464	0.000801	0.002939	0.001220	0.004652	0.002074	0.005599	0.001132	0.003419	0.001073	0.006731	0.002917	0.004429	0.001132	0.000365	0.026254	0.005001	0.006825	0.002298	0.005223	0.000276
	SSwithin	0.086911	0.014245	11.236367	0.056242	0.250786	0.087796	0.006868	0.133198	0.045511	0.043880	0.042976	0.126064	0.017014	0.003412	0.023125	0.006727	0.003726	0.075976	0.058787	0.023605	0.036343	0.042140	0.067339	0.031901	0.080881	0.009607	0.019456	0.069841	0.035779	0.075099	0.163165	0.024274	0.021435	0.015157	0.024475	0.203937	0.035436	0.041793	0.030963	0.062960	0.102711	0.067345	0.070919	0.014613	0.047498	0.031891	0.326069	0.035579	0.013938	0.071702	0.038158	0.025565	0.018285	0.025597	0.010434	0.084527	0.034787	0.015159	0.091013	0.059607	0.033474	0.010050	0.065172	0.003423
